b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
100,62,1,0.0001,62,55,200,92,1,100,0.0002,bi_a100_b100_p01%_v1.col,0.0001
100,69,1,0.0001,69,50,200,103,2,100,0.0002,bi_a100_b100_p01%_v2.col,0.0001
100,54,1,0.0001,54,52,200,100,3,100,0.0002,bi_a100_b100_p01%_v3.col,0.0001
100,57,1,0.0001,55,45,200,78,4,100,0.0002,bi_a100_b100_p01%_v4.col,0.0001
100,64,1,0.0001,59,49,200,95,5,100,0.0002,bi_a100_b100_p01%_v5.col,0.0001
100,67,3,0.0002,59,70,200,306,1,100,0.0003,bi_a100_b100_p03%_v1.col,0.0002
100,70,3,0.0002,57,70,200,317,2,100,0.0004,bi_a100_b100_p03%_v2.col,0.0002
100,72,3,0.0002,68,72,200,331,3,100,0.0004,bi_a100_b100_p03%_v3.col,0.0002
100,63,3,0.0002,52,70,200,289,4,100,0.0003,bi_a100_b100_p03%_v4.col,0.0002
100,59,3,0.0002,57,70,200,294,5,100,0.0003,bi_a100_b100_p03%_v5.col,0.0002
100,55,5,0.0003,48,72,200,497,1,100,0.0004,bi_a100_b100_p05%_v1.col,0.0003
100,57,5,0.0003,51,74,200,488,2,100,0.0004,bi_a100_b100_p05%_v2.col,0.0003
100,63,5,0.0003,57,77,200,529,3,100,0.0005,bi_a100_b100_p05%_v3.col,0.0004
100,71,5,0.0003,57,74,200,483,4,100,0.0005,bi_a100_b100_p05%_v4.col,0.0003
100,59,5,0.0003,48,65,200,479,5,100,0.0004,bi_a100_b100_p05%_v5.col,0.0003
100,77,10,0.0005,68,78,200,971,1,100,0.0007,bi_a100_b100_p10%_v1.col,0.0004
100,74,10,0.0004,61,73,200,922,2,100,0.0007,bi_a100_b100_p10%_v2.col,0.0004
100,77,10,0.0004,67,83,200,1030,3,100,0.0007,bi_a100_b100_p10%_v3.col,0.0004
