a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,500,600,1,525,1,1.3301432307999999,0.7751019818662721,79.4,1.4,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,0.5509294396,0.1208781823257965,82.8,2.6343879744638983,bi_a100_b500_p01%_v2.col
100,500,600,1,518,3,0.519085754,0.09111402811214611,84.0,5.338539126015656,bi_a100_b500_p01%_v3.col
100,500,600,1,503,4,0.6227854578,0.02975612034620318,77.4,1.630950643030009,bi_a100_b500_p01%_v4.col
100,500,600,1,511,5,0.5430085726,0.045611248390500334,83.0,0.7071067811865476,bi_a100_b500_p01%_v5.col
100,500,600,3,1537,1,0.6098624960000001,0.13338825997165793,89.0,1.4491376746189437,bi_a100_b500_p03%_v1.col
100,500,600,3,1444,2,0.6459467342,0.053295989783313104,83.0,0.5477225575051661,bi_a100_b500_p03%_v2.col
100,500,600,3,1499,3,0.9422082289999999,0.06662883337706989,83.0,1.4142135623730951,bi_a100_b500_p03%_v3.col
100,500,600,3,1505,4,0.6168848404,0.10243974804646283,86.0,2.024845673131659,bi_a100_b500_p03%_v4.col
100,500,600,3,1550,5,0.624186457,0.03808292733729765,86.2,0.48989794855663554,bi_a100_b500_p03%_v5.col
100,500,600,5,2497,1,0.7423272658,0.13190261806164622,100.8,1.1575836902790224,bi_a100_b500_p05%_v1.col
100,500,600,5,2502,2,0.7398324006,0.0531734280866412,99.8,0.7999999999999999,bi_a100_b500_p05%_v2.col
100,500,600,5,2543,3,0.638486829,0.06552445155883031,102.6,0.39999999999999997,bi_a100_b500_p05%_v3.col
100,500,600,5,2442,4,0.9949201522,0.1291213703628766,98.4,1.16619037896906,bi_a100_b500_p05%_v4.col
100,500,600,5,2454,5,0.6359812156,0.06613120034082606,100.4,0.6,bi_a100_b500_p05%_v5.col
100,500,600,10,5152,1,1.3447400366,0.1634915982475684,167.0,0.31622776601683794,bi_a100_b500_p10%_v1.col
100,500,600,10,4977,2,1.3821557534000002,0.14225794030889724,160.8,0.19999999999999998,bi_a100_b500_p10%_v2.col
100,500,600,10,5109,3,1.245710974,0.08782576594678866,166.0,0.4472135954999579,bi_a100_b500_p10%_v3.col
100,500,600,10,4929,4,1.197415286,0.2121197976447231,160.0,0.5477225575051661,bi_a100_b500_p10%_v4.col
100,500,600,10,5103,5,1.4430816936,0.15629833287096911,164.6,0.24494897427831777,bi_a100_b500_p10%_v5.col
100,500,600,20,10077,1,5.5871789568,0.7250547354450165,341.6,1.5362291495737215,bi_a100_b500_p20%_v1.col
100,500,600,20,10063,2,5.5208387636,0.4742715363107781,337.2,1.4966629547095764,bi_a100_b500_p20%_v2.col
100,500,600,20,9741,3,4.6993447422,0.2625104350554609,327.8,0.48989794855663554,bi_a100_b500_p20%_v3.col
100,500,600,20,10069,4,4.9131116837999995,0.3280717209875078,339.4,0.8124038404635959,bi_a100_b500_p20%_v4.col
100,500,600,20,9842,5,4.2592043423999995,0.5085876239178531,329.0,0.8366600265340755,bi_a100_b500_p20%_v5.col
100,500,600,30,15047,1,8.3711447582,0.6531955526942614,514.6,0.24494897427831783,bi_a100_b500_p30%_v1.col
100,500,600,30,15090,2,8.0028380272,1.1305029348078215,522.2,0.9695359714832658,bi_a100_b500_p30%_v2.col
100,500,600,30,15149,3,7.6833136848,0.6258187320320984,525.4,0.39999999999999997,bi_a100_b500_p30%_v3.col
100,500,600,30,15116,4,7.3352855034,0.4221391937293466,520.4,0.6,bi_a100_b500_p30%_v4.col
100,500,600,30,14883,5,7.860291781999999,0.9596142588214964,524.4,0.39999999999999997,bi_a100_b500_p30%_v5.col
100,500,600,40,20050,1,11.7548788136,0.853323303239905,553.2,0.19999999999999998,bi_a100_b500_p40%_v1.col
100,500,600,40,19920,2,11.489302075000001,0.5513390271227945,552.4,0.39999999999999997,bi_a100_b500_p40%_v2.col
100,500,600,40,20094,3,11.991742479600001,1.261486511144283,554.2,0.20000000000000004,bi_a100_b500_p40%_v3.col
100,500,600,40,20053,4,12.4328008324,1.2602245420270746,553.2,0.19999999999999998,bi_a100_b500_p40%_v4.col
100,500,600,40,20043,5,11.753858612,0.6745582877444506,553.0,0.31622776601683794,bi_a100_b500_p40%_v5.col
100,500,600,50,25075,1,15.2427316892,0.7514685459216545,568.6,0.24494897427831783,bi_a100_b500_p50%_v1.col
100,500,600,50,24945,2,15.963232819599998,0.3674116419455512,568.6,0.24494897427831783,bi_a100_b500_p50%_v2.col
100,500,600,50,24951,3,16.1350859904,0.3404835401191773,568.2,0.19999999999999998,bi_a100_b500_p50%_v3.col
100,500,600,50,25104,4,15.625330435,0.9918032043943793,568.6,0.24494897427831783,bi_a100_b500_p50%_v4.col
100,500,600,50,24738,5,14.9052887308,0.47616852584738484,567.8,0.20000000000000004,bi_a100_b500_p50%_v5.col
100,500,600,60,29954,1,20.2527029146,1.1337462379056387,578.2,0.3741657386773941,bi_a100_b500_p60%_v1.col
100,500,600,60,29933,2,23.970644972,2.793880129909296,577.6,0.5099019513592784,bi_a100_b500_p60%_v2.col
100,500,600,60,30037,3,19.2039443612,1.2983912167923901,578.2,0.3741657386773941,bi_a100_b500_p60%_v3.col
