b,p,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
100,1,0.20696430660000004,0.19340192870333978,200,92,1,49.6,100,bi_a100_b100_p01%_v1.col,0.6782329983125268
100,1,0.0141604482,0.0006931208052403565,200,103,2,46.2,100,bi_a100_b100_p01%_v2.col,0.6633249580710798
100,1,0.0238863374,0.008344028862190635,200,100,3,42.4,100,bi_a100_b100_p01%_v3.col,1.0295630140987
100,1,0.012932885,0.00017444096519395906,200,78,4,39.4,100,bi_a100_b100_p01%_v4.col,0.39999999999999997
100,1,0.0174549116,0.0023430482174532944,200,95,5,45.4,100,bi_a100_b100_p01%_v5.col,0.24494897427831777
100,3,0.0417369194,0.0005932585752260649,200,306,1,58.2,100,bi_a100_b100_p03%_v1.col,0.7348469228349533
100,3,0.0478610232,0.002971857391680552,200,317,2,54.4,100,bi_a100_b100_p03%_v2.col,1.2884098726725124
100,3,0.046473703,0.0007812695720567268,200,331,3,54.6,100,bi_a100_b100_p03%_v3.col,0.7483314773547882
100,3,0.04022139400000001,0.00043492650163826573,200,289,4,55.4,100,bi_a100_b100_p03%_v4.col,0.8124038404635959
100,3,0.0414633676,0.0007498403131615167,200,294,5,56.8,100,bi_a100_b100_p03%_v5.col,0.6633249580710798
100,5,0.056208300999999995,0.00046581903851925156,200,497,1,49.0,100,bi_a100_b100_p05%_v1.col,0.4472135954999579
100,5,0.053759993799999996,0.0006637140860080798,200,488,2,51.4,100,bi_a100_b100_p05%_v2.col,0.5099019513592784
100,5,0.05828805299999999,0.0005167873388421005,200,529,3,53.4,100,bi_a100_b100_p05%_v3.col,0.24494897427831777
100,5,0.0524709218,0.0007438649635120876,200,483,4,53.0,100,bi_a100_b100_p05%_v4.col,1.0488088481701516
100,5,0.052138612200000004,0.00038457693218358767,200,479,5,51.8,100,bi_a100_b100_p05%_v5.col,0.6633249580710799
100,10,0.07932933160000001,0.0002465360248472022,200,971,1,66.4,100,bi_a100_b100_p10%_v1.col,0.39999999999999997
100,10,0.07873346159999998,0.0007510593936658796,200,922,2,64.6,100,bi_a100_b100_p10%_v2.col,0.24494897427831777
100,10,0.08453194700000001,0.000453109988839796,200,1030,3,69.8,100,bi_a100_b100_p10%_v3.col,0.19999999999999998
100,10,0.1495486822,0.04616873693962933,200,992,4,67.4,100,bi_a100_b100_p10%_v4.col,0.39999999999999997
100,10,0.07980907820000001,0.002558142409563713,200,1020,5,68.8,100,bi_a100_b100_p10%_v5.col,0.3741657386773941
100,20,0.1608908198,0.0010607649986350619,200,1973,1,110.2,100,bi_a100_b100_p20%_v1.col,0.3741657386773941
100,20,0.1609922582,0.00010962787101800258,200,2003,2,112.2,100,bi_a100_b100_p20%_v2.col,0.3741657386773941
100,20,0.16759964759999998,0.003090835244481524,200,2018,3,112.2,100,bi_a100_b100_p20%_v3.col,0.48989794855663554
100,20,0.2373898514,0.02384929816274,200,1982,4,110.6,100,bi_a100_b100_p20%_v4.col,0.24494897427831777
100,20,0.17607153700000003,0.009631626991791641,200,1952,5,109.0,100,bi_a100_b100_p20%_v5.col,0.0
100,30,0.3193125614,0.003624534745915337,200,2897,1,141.8,100,bi_a100_b100_p30%_v1.col,0.3741657386773941
100,30,0.3325153126,0.002776773371617241,200,3016,2,145.6,100,bi_a100_b100_p30%_v2.col,0.39999999999999997
100,30,0.33587915,0.0016770126720213807,200,3048,3,145.2,100,bi_a100_b100_p30%_v3.col,0.3741657386773941
100,30,0.3355304314,0.003007371180322681,200,3080,4,145.8,100,bi_a100_b100_p30%_v4.col,0.2
100,30,0.33225327480000005,0.002551444771660236,200,3024,5,145.6,100,bi_a100_b100_p30%_v5.col,0.24494897427831777
100,40,0.48323558679999995,0.0015458236734377712,200,3953,1,162.2,100,bi_a100_b100_p40%_v1.col,0.19999999999999998
100,40,0.597011,0.08833092223993005,200,4048,2,165.2,100,bi_a100_b100_p40%_v2.col,0.19999999999999998
100,40,0.5429760798000001,0.009203609643252049,200,4017,3,163.4,100,bi_a100_b100_p40%_v3.col,0.24494897427831777
