a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
500,500,1000,1,2537,1,2.3064236404,0.5820006231203249,273.6,1.8055470085267786,bi_a500_b500_p01%_v1.col
500,500,1000,1,2396,2,1.5931981932000001,0.015132664530923226,275.0,1.224744871391589,bi_a500_b500_p01%_v2.col
500,500,1000,1,2522,3,1.6565473267999997,0.010892527757731479,267.0,2.2803508501982757,bi_a500_b500_p01%_v3.col
500,500,1000,1,2462,4,1.8202865037999998,0.17553294010771453,272.0,1.51657508881031,bi_a500_b500_p01%_v4.col
500,500,1000,1,2493,5,1.6666921475999998,0.005070754116862331,275.4,1.8055470085267786,bi_a500_b500_p01%_v5.col
500,500,1000,3,7384,1,1.9501760404000001,0.016492396395073175,204.8,0.48989794855663554,bi_a500_b500_p03%_v1.col
500,500,1000,3,7474,2,1.952181864,0.036185974107673026,207.0,0.4472135954999579,bi_a500_b500_p03%_v2.col
500,500,1000,3,7541,3,2.4304996442,0.17122480609499266,207.6,0.24494897427831777,bi_a500_b500_p03%_v3.col
500,500,1000,3,7501,4,2.2357293012,0.048800489088431515,207.4,0.5099019513592785,bi_a500_b500_p03%_v4.col
500,500,1000,3,7478,5,2.4217556173999997,0.1484936407843683,207.2,0.3741657386773941,bi_a500_b500_p03%_v5.col
500,500,1000,5,12438,1,3.2366989348000006,0.05638272579439086,300.6,0.39999999999999997,bi_a500_b500_p05%_v1.col
500,500,1000,5,12517,2,3.30756362,0.08042007355442268,302.4,0.39999999999999997,bi_a500_b500_p05%_v2.col
500,500,1000,5,12417,3,3.5401337488,0.20098092028191447,300.2,0.48989794855663554,bi_a500_b500_p05%_v3.col
500,500,1000,5,12678,4,3.680267654,0.10685008468836815,303.8,0.7348469228349535,bi_a500_b500_p05%_v4.col
500,500,1000,5,12596,5,3.8737057842,0.19863933326210384,304.2,0.3741657386773941,bi_a500_b500_p05%_v5.col
500,500,1000,10,25253,1,8.5799232094,0.11364518860819518,529.8,0.6633249580710799,bi_a500_b500_p10%_v1.col
500,500,1000,10,24872,2,8.834392162,0.3183686161918934,524.6,1.0295630140987,bi_a500_b500_p10%_v2.col
500,500,1000,10,25214,3,9.224773203800002,0.26134684452120027,529.4,0.6,bi_a500_b500_p10%_v3.col
500,500,1000,10,25129,4,9.503515670599999,0.2705551460467902,525.4,0.8717797887081347,bi_a500_b500_p10%_v4.col
500,500,1000,10,24870,5,9.650377669000001,0.23984046352247831,522.6,0.6782329983125267,bi_a500_b500_p10%_v5.col
500,500,1000,20,50042,1,37.984597924400006,0.8059849574961063,803.8,0.7348469228349535,bi_a500_b500_p20%_v1.col
500,500,1000,20,50009,2,41.9637280642,2.3197522885074338,801.8,0.7999999999999999,bi_a500_b500_p20%_v2.col
500,500,1000,20,49881,3,41.8901569776,2.4392203381113267,801.4,0.7483314773547882,bi_a500_b500_p20%_v3.col
500,500,1000,20,50029,4,39.4920034558,0.8280402756600687,801.6,0.7483314773547882,bi_a500_b500_p20%_v4.col
500,500,1000,20,50011,5,39.140863768200006,0.5835478517933855,803.6,0.39999999999999997,bi_a500_b500_p20%_v5.col
500,500,1000,30,75280,1,80.558423688,3.4058788320961573,900.4,0.39999999999999997,bi_a500_b500_p30%_v1.col
500,500,1000,30,75133,2,85.0902737918,6.790576909213451,899.6,0.6,bi_a500_b500_p30%_v2.col
500,500,1000,30,75090,3,78.162585976,1.5106334748420034,899.6,0.24494897427831783,bi_a500_b500_p30%_v3.col
500,500,1000,30,75347,4,87.42390136200001,5.426341253253858,900.6,0.24494897427831783,bi_a500_b500_p30%_v4.col
500,500,1000,30,75084,5,77.9797847922,1.2283719104532342,899.6,0.39999999999999997,bi_a500_b500_p30%_v5.col
500,500,1000,40,100391,1,121.606861508,2.489349713224055,940.8,0.58309518948453,bi_a500_b500_p40%_v1.col
500,500,1000,40,100075,2,115.920427485,1.0806938204548546,941.0,0.31622776601683794,bi_a500_b500_p40%_v2.col
500,500,1000,40,100085,3,120.6825738424,1.3841423109567268,941.0,0.31622776601683794,bi_a500_b500_p40%_v3.col
500,500,1000,40,100045,4,121.6634035152,1.4057196171534634,941.0,0.4472135954999579,bi_a500_b500_p40%_v4.col
500,500,1000,40,100122,5,124.95234796559998,3.8450410710999976,940.6,0.24494897427831783,bi_a500_b500_p40%_v5.col
500,500,1000,50,124819,1,173.75574915919998,2.406442613576638,962.0,0.31622776601683794,bi_a500_b500_p50%_v1.col
500,500,1000,50,125009,2,176.74476064979999,3.4494210122553577,961.6,0.24494897427831783,bi_a500_b500_p50%_v2.col
500,500,1000,50,124539,3,177.6935647946,1.6904854745005093,962.0,0.31622776601683794,bi_a500_b500_p50%_v3.col
500,500,1000,50,124813,4,178.1277978606,2.3388793997195307,961.4,0.24494897427831783,bi_a500_b500_p50%_v4.col
500,500,1000,50,124972,5,177.58038130740002,2.6893115553086244,962.0,0.0,bi_a500_b500_p50%_v5.col
500,500,1000,60,149899,1,233.3508370084,4.950263580291621,974.4,0.24494897427831783,bi_a500_b500_p60%_v1.col
500,500,1000,60,149722,2,223.3294636934,1.5321362935951075,974.2,0.20000000000000004,bi_a500_b500_p60%_v2.col
500,500,1000,60,150125,3,227.7451739118,1.2901471007412084,974.6,0.24494897427831783,bi_a500_b500_p60%_v3.col
500,500,1000,60,150210,4,224.3640458516,1.6520828716921574,974.6,0.24494897427831783,bi_a500_b500_p60%_v4.col
500,500,1000,60,150122,5,223.5674273184,1.2541879099283866,974.0,0.31622776601683794,bi_a500_b500_p60%_v5.col
500,500,1000,70,175289,1,270.8598998376,0.998877434402185,982.2,0.3741657386773941,bi_a500_b500_p70%_v1.col
