a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,peak_mem_mb,mean_mem_mb,instancia
100,500,600,1,525,1,12.380545152,2.7758626325586806,73.6,1.16619037896906,403.01959228515625,262.50305328369143,bi_a100_b500_p01%_v1.col
100,500,600,3,1537,1,25.217652451999996,4.0133432814488055,79.8,0.9695359714832658,423.81420135498047,313.1784606933594,bi_a100_b500_p03%_v1.col
100,500,600,5,2497,1,39.7262399616,4.305418134615699,95.4,0.39999999999999997,513.9272613525391,367.1359497070313,bi_a100_b500_p05%_v1.col
100,500,600,10,5152,1,68.3270344992,10.258396101152323,161.4,0.39999999999999997,399.4723587036133,255.41272430419923,bi_a100_b500_p10%_v1.col
100,500,600,20,10077,1,241.701498126,15.868563996825426,328.4,0.8717797887081347,297.85157775878906,259.81097106933595,bi_a100_b500_p20%_v1.col
100,500,600,30,15047,1,444.1004119646001,42.31102436664593,510.4,0.5099019513592785,288.4774703979492,243.69739532470703,bi_a100_b500_p30%_v1.col
100,500,600,40,20050,1,651.7976673882,125.2029242949889,549.6,0.24494897427831783,352.88219451904297,231.57738647460937,bi_a100_b500_p40%_v1.col
100,500,600,50,25075,1,819.6855556480001,232.19611615063556,566.2,0.3741657386773941,411.91851806640625,209.04437255859375,bi_a100_b500_p50%_v1.col
100,500,600,60,29954,1,1339.9903060702,628.2489239030598,576.2,0.19999999999999998,731.0597534179688,263.30032501220705,bi_a100_b500_p60%_v1.col
100,500,600,70,35049,1,988.6475984034001,175.02093739413192,583.2,0.3741657386773941,298.3133316040039,170.81966400146484,bi_a100_b500_p70%_v1.col
100,500,600,80,40002,1,1849.440735606,385.1207865655173,588.0,0.0,416.62884521484375,235.3790771484375,bi_a100_b500_p80%_v1.col
100,500,600,90,45019,1,915.6203495668,118.68808466855808,592.4,0.24494897427831783,158.69295501708984,124.01764831542968,bi_a100_b500_p90%_v1.col
