instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,31.0,0.0,0.35912,0.3573
galaxy_a01_b10_c100_v2.col,1,10,100,2,80,79,80.0,0.0,0.00601,0.0
galaxy_a01_b10_c100_v3.col,1,10,100,3,98,97,98.0,0.0,0.00729,0.0001
galaxy_a01_b10_c100_v4.col,1,10,100,4,22,21,22.0,0.0,0.00096,0.0
galaxy_a01_b10_c100_v5.col,1,10,100,5,52,51,52.0,0.0,0.00306,0.0
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,19.0,0.0,0.00083,0.0
galaxy_a01_b10_c20_v2.col,1,10,20,2,15,14,15.0,0.0,0.00061,0.0
galaxy_a01_b10_c20_v3.col,1,10,20,3,11,10,11.0,0.0,0.00043,0.0
galaxy_a01_b10_c20_v4.col,1,10,20,4,14,13,14.0,0.0,0.00055,0.0
galaxy_a01_b10_c20_v5.col,1,10,20,5,15,14,15.0,0.0,0.0006,0.0
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,16.0,0.0,0.00063,0.0
galaxy_a01_b10_c30_v2.col,1,10,30,2,13,12,13.0,0.0,0.00056,0.0
galaxy_a01_b10_c30_v3.col,1,10,30,3,27,26,27.0,0.0,0.00118,0.0
galaxy_a01_b10_c30_v4.col,1,10,30,4,20,19,20.0,0.0,0.00086,0.0
galaxy_a01_b10_c30_v5.col,1,10,30,5,21,20,21.0,0.0,0.00083,0.0
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,33.0,0.0,0.00154,0.0
galaxy_a01_b10_c40_v2.col,1,10,40,2,18,17,18.0,0.0,0.00071,0.0
galaxy_a01_b10_c40_v3.col,1,10,40,3,34,33,34.0,0.0,0.00154,0.0
galaxy_a01_b10_c40_v4.col,1,10,40,4,23,22,23.0,0.0,0.00095,0.0
galaxy_a01_b10_c40_v5.col,1,10,40,5,32,31,32.0,0.0,0.00145,0.0
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,12.0,0.0,0.00051,0.0
galaxy_a01_b10_c50_v2.col,1,10,50,2,11,10,11.0,0.0,0.0004,0.0
galaxy_a01_b10_c50_v3.col,1,10,50,3,29,28,29.0,0.0,0.00134,0.0
galaxy_a01_b10_c50_v4.col,1,10,50,4,37,36,37.0,0.0,0.00176,0.0
galaxy_a01_b10_c50_v5.col,1,10,50,5,31,30,31.0,0.0,0.00146,0.0
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,15.0,0.0,0.0007,0.0
galaxy_a01_b10_c60_v2.col,1,10,60,2,40,39,40.0,0.0,0.00202,0.0001
galaxy_a01_b10_c60_v3.col,1,10,60,3,18,17,18.0,0.0,0.00071,0.0
galaxy_a01_b10_c60_v4.col,1,10,60,4,18,17,18.0,0.0,0.00077,0.0
galaxy_a01_b10_c60_v5.col,1,10,60,5,55,54,55.0,0.0,0.0035,0.0
galaxy_a01_b10_c70_v1.col,1,10,70,1,33,32,33.0,0.0,0.00187,0.0
galaxy_a01_b10_c70_v2.col,1,10,70,2,19,18,19.0,0.0,0.00098,0.0
galaxy_a01_b10_c70_v3.col,1,10,70,3,71,70,71.0,0.0,0.00526,0.0001
galaxy_a01_b10_c70_v4.col,1,10,70,4,24,23,24.0,0.0,0.00114,0.0
galaxy_a01_b10_c70_v5.col,1,10,70,5,43,42,43.0,0.0,0.00238,0.0
galaxy_a01_b10_c80_v1.col,1,10,80,1,39,38,39.0,0.0,0.00207,0.0
galaxy_a01_b10_c80_v2.col,1,10,80,2,75,74,75.0,0.0,0.00552,0.0
galaxy_a01_b10_c80_v3.col,1,10,80,3,64,63,64.0,0.0,0.00445,0.0
galaxy_a01_b10_c80_v4.col,1,10,80,4,81,80,81.0,0.0,0.00615,0.0001
galaxy_a01_b10_c80_v5.col,1,10,80,5,15,14,15.0,0.0,0.00073,0.0
galaxy_a01_b10_c90_v1.col,1,10,90,1,26,25,26.0,0.0,0.00134,0.0
galaxy_a01_b10_c90_v2.col,1,10,90,2,79,78,79.0,0.0,0.00615,0.0
galaxy_a01_b10_c90_v3.col,1,10,90,3,54,53,54.0,0.0,0.01726,0.0138
galaxy_a01_b10_c90_v4.col,1,10,90,4,77,76,77.0,0.0,0.0051,0.0
galaxy_a01_b10_c90_v5.col,1,10,90,5,69,68,69.0,0.0,0.00438,0.0
galaxy_a05_b10_c100_v1.col,5,10,100,1,245,240,74.0,0.0,0.36929,0.3281
galaxy_a05_b10_c100_v2.col,5,10,100,2,318,313,91.0,0.0,0.05271,0.0032
galaxy_a05_b10_c100_v3.col,5,10,100,3,304,299,93.0,0.0,0.0452,0.0023
galaxy_a05_b10_c100_v4.col,5,10,100,4,179,174,67.0,0.0,0.01889,0.0016
galaxy_a05_b10_c100_v5.col,5,10,100,5,251,246,77.0,0.0,0.03642,0.0006
galaxy_a05_b10_c20_v1.col,5,10,20,1,63,58,18.0,0.0,0.00521,0.0
galaxy_a05_b10_c20_v2.col,5,10,20,2,81,76,20.0,0.0,0.00773,0.0005
galaxy_a05_b10_c20_v3.col,5,10,20,3,81,76,19.0,0.0,0.00926,0.0006
galaxy_a05_b10_c20_v4.col,5,10,20,4,68,63,19.0,0.0,0.00607,0.0005
galaxy_a05_b10_c20_v5.col,5,10,20,5,80,75,20.0,0.0,0.00921,0.0006
galaxy_a05_b10_c30_v1.col,5,10,30,1,108,103,31.0,0.0,0.01024,0.0005
galaxy_a05_b10_c30_v2.col,5,10,30,2,111,106,31.0,0.0,0.0113,0.0006
galaxy_a05_b10_c30_v3.col,5,10,30,3,108,103,27.0,0.0,0.01233,0.0005
galaxy_a05_b10_c30_v4.col,5,10,30,4,96,91,29.0,0.0,0.00951,0.0006
galaxy_a05_b10_c30_v5.col,5,10,30,5,102,97,31.0,0.0,0.00917,0.0007
galaxy_a05_b10_c40_v1.col,5,10,40,1,149,144,40.0,0.0,0.01666,0.0011
galaxy_a05_b10_c40_v2.col,5,10,40,2,161,156,41.0,0.0,0.0188,0.0005
galaxy_a05_b10_c40_v3.col,5,10,40,3,142,137,40.0,0.0,0.01493,0.0005
galaxy_a05_b10_c40_v4.col,5,10,40,4,118,113,32.0,0.0,0.01177,0.0006
galaxy_a05_b10_c40_v5.col,5,10,40,5,162,157,42.0,0.0,0.01999,0.001
galaxy_a05_b10_c50_v1.col,5,10,50,1,165,160,48.0,0.0,0.01905,0.0006
galaxy_a05_b10_c50_v2.col,5,10,50,2,130,125,35.0,0.0,0.01388,0.0006
galaxy_a05_b10_c50_v3.col,5,10,50,3,150,145,51.0,0.0,0.01678,0.0006
galaxy_a05_b10_c50_v4.col,5,10,50,4,156,151,45.0,0.0,0.01779,0.0006
galaxy_a05_b10_c50_v5.col,5,10,50,5,150,145,41.0,0.0,0.01684,0.0012
galaxy_a05_b10_c60_v1.col,5,10,60,1,158,153,47.0,0.0,0.02076,0.0012
galaxy_a05_b10_c60_v2.col,5,10,60,2,166,161,41.0,0.0,0.02512,0.001
galaxy_a05_b10_c60_v3.col,5,10,60,3,216,211,61.0,0.0,0.02966,0.0006
galaxy_a05_b10_c60_v4.col,5,10,60,4,222,217,60.0,0.0,0.03037,0.0004
galaxy_a05_b10_c60_v5.col,5,10,60,5,147,142,58.0,0.0,0.01318,0.0006
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,67.0,0.0,0.02662,0.0036
galaxy_a05_b10_c70_v2.col,5,10,70,2,166,161,70.0,0.0,0.01619,0.0005
galaxy_a05_b10_c70_v3.col,5,10,70,3,178,173,67.0,0.0,0.01982,0.0008
galaxy_a05_b10_c70_v4.col,5,10,70,4,264,259,68.0,0.0,0.03819,0.0004
galaxy_a05_b10_c70_v5.col,5,10,70,5,265,260,67.0,0.0,0.03865,0.0001
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,66.0,0.0,0.03774,0.0007
galaxy_a05_b10_c80_v2.col,5,10,80,2,165,160,75.0,0.0,0.01594,0.0006
galaxy_a05_b10_c80_v3.col,5,10,80,3,217,212,67.0,0.0,0.02924,0.0005
galaxy_a05_b10_c80_v4.col,5,10,80,4,237,232,81.0,0.0,0.03318,0.0014
galaxy_a05_b10_c80_v5.col,5,10,80,5,204,199,63.0,0.0,0.02723,0.0005
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,88.0,0.0,0.03578,0.0004
galaxy_a05_b10_c90_v2.col,5,10,90,2,312,307,90.0,0.0,0.05037,0.0004
galaxy_a05_b10_c90_v3.col,5,10,90,3,252,247,69.0,0.0,0.03719,0.0004
galaxy_a05_b10_c90_v4.col,5,10,90,4,221,216,78.0,0.0,0.02709,0.0016
galaxy_a05_b10_c90_v5.col,5,10,90,5,254,249,90.0,0.0,0.03606,0.0022
galaxy_a100_b10_c100_v1.col,100,10,100,1,5804,5704,141.6,1.0296,23.22963,1.4737
galaxy_a100_b10_c100_v2.col,100,10,100,2,5555,5455,141.0,1.0488,16.74441,1.9197
galaxy_a100_b10_c100_v3.col,100,10,100,3,5712,5612,140.2,1.4629,18.35863,0.7536
galaxy_a100_b10_c100_v4.col,100,10,100,4,5713,5613,138.8,1.5937,19.29724,2.0433
galaxy_a100_b10_c100_v5.col,100,10,100,5,6255,6155,151.6,3.4728,19.41583,3.4094
galaxy_a100_b10_c20_v1.col,100,10,20,1,1608,1508,108.6,0.6,1.3632,0.1308
galaxy_a100_b10_c20_v2.col,100,10,20,2,1614,1514,108.2,0.3742,1.49885,0.1249
galaxy_a100_b10_c20_v3.col,100,10,20,3,1561,1461,108.0,0.5477,1.24049,0.0443
galaxy_a100_b10_c20_v4.col,100,10,20,4,1660,1560,109.0,0.6325,1.581,0.1709
galaxy_a100_b10_c20_v5.col,100,10,20,5,1571,1471,108.0,0.5477,1.43868,0.0988
galaxy_a100_b10_c30_v1.col,100,10,30,1,2041,1941,111.6,1.4353,2.19562,0.4009
galaxy_a100_b10_c30_v2.col,100,10,30,2,2092,1992,111.0,0.7071,2.69615,0.1904
galaxy_a100_b10_c30_v3.col,100,10,30,3,2188,2088,112.2,0.5831,2.49783,0.0549
galaxy_a100_b10_c30_v4.col,100,10,30,4,2001,1901,110.2,0.9695,2.11852,0.3577
galaxy_a100_b10_c30_v5.col,100,10,30,5,1985,1885,109.2,0.8602,2.39663,0.3453
galaxy_a100_b10_c40_v1.col,100,10,40,1,2631,2531,112.6,0.8718,4.34579,0.3495
galaxy_a100_b10_c40_v2.col,100,10,40,2,2674,2574,116.0,1.4142,3.2904,0.5012
galaxy_a100_b10_c40_v3.col,100,10,40,3,2496,2396,114.2,1.1576,3.26866,0.4758
galaxy_a100_b10_c40_v4.col,100,10,40,4,2400,2300,110.2,0.5831,3.65674,0.3
galaxy_a100_b10_c40_v5.col,100,10,40,5,2555,2455,114.6,1.8601,3.82361,0.7076
galaxy_a100_b10_c50_v1.col,100,10,50,1,2995,2895,117.8,2.4372,4.50698,1.0927
galaxy_a100_b10_c50_v2.col,100,10,50,2,3021,2921,115.6,0.5099,5.48378,0.355
galaxy_a100_b10_c50_v3.col,100,10,50,3,3012,2912,115.2,1.4967,5.25722,0.5693
galaxy_a100_b10_c50_v4.col,100,10,50,4,3256,3156,118.2,1.0677,5.13437,0.6224
galaxy_a100_b10_c50_v5.col,100,10,50,5,3075,2975,117.6,1.4353,4.67117,0.5527
galaxy_a100_b10_c60_v1.col,100,10,60,1,3448,3348,119.0,1.4142,6.45164,0.6867
galaxy_a100_b10_c60_v2.col,100,10,60,2,3563,3463,119.4,1.1225,9.46195,0.9083
galaxy_a100_b10_c60_v3.col,100,10,60,3,3582,3482,121.4,2.5807,7.95675,1.1188
galaxy_a100_b10_c60_v4.col,100,10,60,4,3518,3418,121.0,2.51,6.01318,0.947
galaxy_a100_b10_c60_v5.col,100,10,60,5,3714,3614,120.6,0.9274,8.82161,0.5589
galaxy_a100_b10_c70_v1.col,100,10,70,1,3990,3890,121.8,1.4967,8.6164,1.1219
galaxy_a100_b10_c70_v2.col,100,10,70,2,4165,4065,126.0,2.2136,10.74423,1.388
galaxy_a100_b10_c70_v3.col,100,10,70,3,4326,4226,125.6,1.7776,11.58073,0.7939
galaxy_a100_b10_c70_v4.col,100,10,70,4,4240,4140,129.0,2.569,9.63389,1.6776
galaxy_a100_b10_c70_v5.col,100,10,70,5,3969,3869,125.8,1.4967,8.80153,1.1464
galaxy_a100_b10_c80_v1.col,100,10,80,1,4490,4390,126.8,1.1576,12.55889,0.9703
galaxy_a100_b10_c80_v2.col,100,10,80,2,4929,4829,136.8,1.9596,15.70197,1.6265
