instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,31.0,0.0,0.49989,0.4967,106.9924545288086,42.71120910644531
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,19.0,0.0,0.00185,0.0,26.54779052734375,26.534336853027344
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,16.0,0.0,0.00163,0.0,26.659828186035156,26.608424377441406
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,33.0,0.0,0.00334,0.0,26.88611602783203,26.861143493652342
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,12.0,0.0,0.00133,0.0,26.605628967285156,26.555628967285156
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,15.0,0.0,0.00151,0.0,26.63904571533203,26.613035583496092
galaxy_a01_b10_c70_v1.col,1,10,70,1,33,32,33.0,0.0,0.00336,0.0001,26.88982391357422,26.865126037597655
galaxy_a01_b10_c80_v1.col,1,10,80,1,39,38,39.0,0.0,0.00404,0.0,26.97858428955078,26.941378784179687
galaxy_a01_b10_c90_v1.col,1,10,90,1,26,25,26.0,0.0,0.00253,0.0,26.80695343017578,26.780943298339842
galaxy_a05_b10_c100_v1.col,5,10,100,1,245,240,74.0,0.0,0.40277,0.327,43.09832000732422,41.60970916748047
galaxy_a05_b10_c20_v1.col,5,10,20,1,63,58,18.0,0.0,0.01359,0.0,31.655380249023438,31.578697204589844
galaxy_a05_b10_c30_v1.col,5,10,30,1,108,103,31.0,0.0,0.02395,0.0006,32.755943298339844,32.68508605957031
galaxy_a05_b10_c40_v1.col,5,10,40,1,149,144,40.0,0.0,0.04504,0.0005,37.021026611328125,36.83887786865235
galaxy_a05_b10_c50_v1.col,5,10,50,1,165,160,48.0,0.0,0.04455,0.0022,38.629608154296875,36.87296905517578
galaxy_a05_b10_c60_v1.col,5,10,60,1,158,153,47.0,0.0,0.05376,0.0025,40.26811218261719,38.90186309814453
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,67.0,0.0,0.05218,0.0029,41.90172576904297,41.065155029296875
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,66.0,0.0,0.09906,0.0046,47.73516082763672,46.8671630859375
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,88.0,0.0,0.07633,0.0001,43.231117248535156,43.14972839355469
galaxy_a100_b10_c100_v1.col,100,10,100,1,5804,5704,133.8,0.8602,228.06133,53.0703,1520.076057434082,901.3827911376953
galaxy_a100_b10_c20_v1.col,100,10,20,1,1608,1508,107.6,0.2449,15.64452,2.5166,326.11498260498047,220.28914947509764
galaxy_a100_b10_c30_v1.col,100,10,30,1,2041,1941,109.8,0.3742,17.70488,1.5599,280.2268295288086,223.23514862060546
galaxy_a100_b10_c40_v1.col,100,10,40,1,2631,2531,112.0,0.9487,28.49182,5.501,476.3572006225586,295.9369186401367
galaxy_a100_b10_c50_v1.col,100,10,50,1,2995,2895,112.6,0.8124,56.5449,15.1418,707.6416091918945,429.69630279541013
galaxy_a100_b10_c60_v1.col,100,10,60,1,3448,3348,115.0,0.3162,77.36019,11.0044,745.3234024047852,546.9296340942383
galaxy_a100_b10_c70_v1.col,100,10,70,1,3990,3890,116.2,1.0198,94.90161,13.8072,775.3339157104492,606.6304550170898
galaxy_a100_b10_c80_v1.col,100,10,80,1,4490,4390,123.6,1.1662,156.70777,25.7253,1200.9617538452148,772.2705627441406
galaxy_a100_b10_c90_v1.col,100,10,90,1,5110,5010,126.4,1.2884,239.23155,71.1004,1801.6165161132812,1023.2165145874023
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,94.0,0.0,0.21357,0.0022,56.17859649658203,55.725033569335935
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,22.0,0.0,0.17423,0.0127,80.79351043701172,69.88741302490234
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,28.0,0.0,0.21324,0.0063,44.064659118652344,39.55988464355469
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,37.0,0.0,0.10603,0.0002,55.35370635986328,55.31842041015625
