instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,31.0,0.0,0.47333,0.4704
galaxy_a01_b10_c100_v2.col,1,10,100,2,80,79,80.0,0.0,0.01032,0.0
galaxy_a01_b10_c100_v3.col,1,10,100,3,98,97,98.0,0.0,0.0134,0.0002
galaxy_a01_b10_c100_v4.col,1,10,100,4,22,21,22.0,0.0,0.00188,0.0
galaxy_a01_b10_c100_v5.col,1,10,100,5,52,51,52.0,0.0,0.00621,0.0001
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,19.0,0.0,0.00163,0.0
galaxy_a01_b10_c20_v2.col,1,10,20,2,15,14,15.0,0.0,0.00139,0.0
galaxy_a01_b10_c20_v3.col,1,10,20,3,11,10,11.0,0.0,0.00106,0.0
galaxy_a01_b10_c20_v4.col,1,10,20,4,14,13,14.0,0.0,0.00142,0.0
galaxy_a01_b10_c20_v5.col,1,10,20,5,15,14,15.0,0.0,0.00148,0.0
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,16.0,0.0,0.00155,0.0
galaxy_a01_b10_c30_v2.col,1,10,30,2,13,12,13.0,0.0,0.00135,0.0
galaxy_a01_b10_c30_v3.col,1,10,30,3,27,26,27.0,0.0,0.0027,0.0001
galaxy_a01_b10_c30_v4.col,1,10,30,4,20,19,20.0,0.0,0.00212,0.0
galaxy_a01_b10_c30_v5.col,1,10,30,5,21,20,21.0,0.0,0.00228,0.0
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,33.0,0.0,0.00362,0.0
galaxy_a01_b10_c40_v2.col,1,10,40,2,18,17,18.0,0.0,0.00879,0.0068
galaxy_a01_b10_c40_v3.col,1,10,40,3,34,33,34.0,0.0,0.00301,0.0
galaxy_a01_b10_c40_v4.col,1,10,40,4,23,22,23.0,0.0,0.00193,0.0
galaxy_a01_b10_c40_v5.col,1,10,40,5,32,31,32.0,0.0,0.00286,0.0
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,12.0,0.0,0.0011,0.0
galaxy_a01_b10_c50_v2.col,1,10,50,2,11,10,11.0,0.0,0.00091,0.0
galaxy_a01_b10_c50_v3.col,1,10,50,3,29,28,29.0,0.0,0.00253,0.0
galaxy_a01_b10_c50_v4.col,1,10,50,4,37,36,37.0,0.0,0.00335,0.0
galaxy_a01_b10_c50_v5.col,1,10,50,5,31,30,31.0,0.0,0.00274,0.0
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,15.0,0.0,0.00129,0.0
galaxy_a01_b10_c60_v2.col,1,10,60,2,40,39,40.0,0.0,0.00373,0.0
galaxy_a01_b10_c60_v3.col,1,10,60,3,18,17,18.0,0.0,0.0015,0.0
galaxy_a01_b10_c60_v4.col,1,10,60,4,18,17,18.0,0.0,0.00148,0.0
galaxy_a01_b10_c60_v5.col,1,10,60,5,55,54,55.0,0.0,0.00642,0.0
galaxy_a01_b10_c70_v1.col,1,10,70,1,33,32,33.0,0.0,0.003,0.0
galaxy_a01_b10_c70_v2.col,1,10,70,2,19,18,19.0,0.0,0.00417,0.0026
galaxy_a01_b10_c70_v3.col,1,10,70,3,71,70,71.0,0.0,0.00867,0.0
galaxy_a01_b10_c70_v4.col,1,10,70,4,24,23,24.0,0.0,0.00202,0.0
galaxy_a01_b10_c70_v5.col,1,10,70,5,43,42,43.0,0.0,0.00418,0.0
galaxy_a01_b10_c80_v1.col,1,10,80,1,39,38,39.0,0.0,0.0036,0.0
galaxy_a01_b10_c80_v2.col,1,10,80,2,75,74,75.0,0.0,0.00939,0.0
galaxy_a01_b10_c80_v3.col,1,10,80,3,64,63,64.0,0.0,0.00846,0.0008
galaxy_a01_b10_c80_v4.col,1,10,80,4,81,80,81.0,0.0,0.01056,0.0
galaxy_a01_b10_c80_v5.col,1,10,80,5,15,14,15.0,0.0,0.00129,0.0
galaxy_a01_b10_c90_v1.col,1,10,90,1,26,25,26.0,0.0,0.00222,0.0
galaxy_a01_b10_c90_v2.col,1,10,90,2,79,78,79.0,0.0,0.01007,0.0
galaxy_a01_b10_c90_v3.col,1,10,90,3,54,53,54.0,0.0,0.00698,0.0007
galaxy_a01_b10_c90_v4.col,1,10,90,4,77,76,77.0,0.0,0.0097,0.0
galaxy_a01_b10_c90_v5.col,1,10,90,5,69,68,69.0,0.0,0.00891,0.0006
galaxy_a05_b10_c100_v1.col,5,10,100,1,245,240,74.0,0.0,0.35418,0.2763
galaxy_a05_b10_c100_v2.col,5,10,100,2,318,313,91.0,0.0,0.10616,0.0011
galaxy_a05_b10_c100_v3.col,5,10,100,3,304,299,93.0,0.0,0.11277,0.0115
galaxy_a05_b10_c100_v4.col,5,10,100,4,179,174,67.0,0.0,0.10302,0.0667
galaxy_a05_b10_c100_v5.col,5,10,100,5,251,246,77.0,0.0,0.07746,0.0015
galaxy_a05_b10_c20_v1.col,5,10,20,1,63,58,18.0,0.0,0.01178,0.0
galaxy_a05_b10_c20_v2.col,5,10,20,2,81,76,20.0,0.0,0.02058,0.0012
galaxy_a05_b10_c20_v3.col,5,10,20,3,81,76,19.0,0.0,0.02324,0.0001
galaxy_a05_b10_c20_v4.col,5,10,20,4,68,63,19.0,0.0,0.0125,0.0
galaxy_a05_b10_c20_v5.col,5,10,20,5,80,75,20.0,0.0,0.02368,0.0007
galaxy_a05_b10_c30_v1.col,5,10,30,1,108,103,31.0,0.0,0.02196,0.0006
galaxy_a05_b10_c30_v2.col,5,10,30,2,111,106,31.0,0.0,0.02406,0.0012
galaxy_a05_b10_c30_v3.col,5,10,30,3,108,103,27.0,0.0,0.02932,0.0014
galaxy_a05_b10_c30_v4.col,5,10,30,4,96,91,29.0,0.0,0.0196,0.0005
galaxy_a05_b10_c30_v5.col,5,10,30,5,102,97,31.0,0.0,0.02043,0.0004
galaxy_a05_b10_c40_v1.col,5,10,40,1,149,144,40.0,0.0,0.04169,0.0006
galaxy_a05_b10_c40_v2.col,5,10,40,2,161,156,41.0,0.0,0.04142,0.0014
galaxy_a05_b10_c40_v3.col,5,10,40,3,142,137,40.0,0.0,0.03185,0.0003
galaxy_a05_b10_c40_v4.col,5,10,40,4,118,113,32.0,0.0,0.02459,0.0006
galaxy_a05_b10_c40_v5.col,5,10,40,5,162,157,42.0,0.0,0.04747,0.0002
galaxy_a05_b10_c50_v1.col,5,10,50,1,165,160,48.0,0.0,0.04172,0.0024
galaxy_a05_b10_c50_v2.col,5,10,50,2,130,125,35.0,0.0,0.03077,0.0018
galaxy_a05_b10_c50_v3.col,5,10,50,3,150,145,51.0,0.0,0.03502,0.0004
galaxy_a05_b10_c50_v4.col,5,10,50,4,156,151,45.0,0.0,0.03879,0.002
galaxy_a05_b10_c50_v5.col,5,10,50,5,150,145,41.0,0.0,0.03924,0.0023
galaxy_a05_b10_c60_v1.col,5,10,60,1,158,153,47.0,0.0,0.04747,0.0006
galaxy_a05_b10_c60_v2.col,5,10,60,2,166,161,41.0,0.0,0.07013,0.001
galaxy_a05_b10_c60_v3.col,5,10,60,3,216,211,61.0,0.0,0.05981,0.0009
galaxy_a05_b10_c60_v4.col,5,10,60,4,222,217,60.0,0.0,0.06251,0.0006
galaxy_a05_b10_c60_v5.col,5,10,60,5,147,142,58.0,0.0,0.02545,0.0005
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,67.0,0.0,0.04799,0.0038
galaxy_a05_b10_c70_v2.col,5,10,70,2,166,161,70.0,0.0,0.03178,0.0005
galaxy_a05_b10_c70_v3.col,5,10,70,3,178,173,67.0,0.0,0.04308,0.0029
galaxy_a05_b10_c70_v4.col,5,10,70,4,264,259,68.0,0.0,0.07769,0.0004
galaxy_a05_b10_c70_v5.col,5,10,70,5,265,260,67.0,0.0,0.07832,0.0002
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,66.0,0.0,0.08947,0.0049
galaxy_a05_b10_c80_v2.col,5,10,80,2,165,160,75.0,0.0,0.03192,0.0006
galaxy_a05_b10_c80_v3.col,5,10,80,3,217,212,67.0,0.0,0.06051,0.0002
galaxy_a05_b10_c80_v4.col,5,10,80,4,237,232,81.0,0.0,0.07489,0.0019
galaxy_a05_b10_c80_v5.col,5,10,80,5,204,199,63.0,0.0,0.05078,0.0038
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,88.0,0.0,0.07403,0.0006
galaxy_a05_b10_c90_v2.col,5,10,90,2,312,307,90.0,0.0,0.19039,0.0847
