chi_sat,M_real,tempo_max,chi_max,chi_min,v_config,p_config,tempo_sat,n_config,N_real,instancia,tempo_min
35,51,6.3e-5,35,28,1,1,7.9e-5,100,100,simples_n100_p01%_v1.col,4.6e-5
31,48,5.0e-5,31,25,2,1,7.3e-5,100,100,simples_n100_p01%_v2.col,4.5e-5
33,43,5.8e-5,33,26,3,1,6.9e-5,100,100,simples_n100_p01%_v3.col,4.1e-5
33,51,4.6e-5,33,28,4,1,6.9e-5,100,100,simples_n100_p01%_v4.col,5.6e-5
33,56,5.3e-5,33,32,5,1,7.5e-5,100,100,simples_n100_p01%_v5.col,6.3e-5
33,155,9.8e-5,33,34,1,3,0.000112,100,100,simples_n100_p03%_v1.col,8.0e-5
37,154,0.000101,29,34,2,3,0.00012,100,100,simples_n100_p03%_v2.col,9.7e-5
35,151,9.9e-5,33,34,3,3,0.000126,100,100,simples_n100_p03%_v3.col,8.5e-5
31,149,0.00012,31,36,4,3,0.000116,100,100,simples_n100_p03%_v4.col,7.4e-5
33,161,0.000127,33,39,5,3,0.000126,100,100,simples_n100_p03%_v5.col,0.0001
40,213,0.000123,32,37,1,5,0.000172,100,100,simples_n100_p05%_v1.col,0.00011
38,253,0.000122,32,37,2,5,0.000171,100,100,simples_n100_p05%_v2.col,0.000115
39,268,0.000125,37,42,3,5,0.000166,100,100,simples_n100_p05%_v3.col,0.000125
35,219,0.000113,32,38,4,5,0.000156,100,100,simples_n100_p05%_v4.col,0.000104
35,271,0.000138,34,39,5,5,0.000169,100,100,simples_n100_p05%_v5.col,0.00012
52,499,0.000176,48,56,1,10,0.000256,100,100,simples_n100_p10%_v1.col,0.000188
49,493,0.000184,48,54,2,10,0.000281,100,100,simples_n100_p10%_v2.col,0.000171
56,548,0.000217,50,57,3,10,0.000274,100,100,simples_n100_p10%_v3.col,0.000199
53,520,0.00019,47,56,4,10,0.000264,100,100,simples_n100_p10%_v4.col,0.000195
54,513,0.000185,49,58,5,10,0.000276,100,100,simples_n100_p10%_v5.col,0.000198
82,993,0.000377,82,85,1,20,0.000532,100,100,simples_n100_p20%_v1.col,0.000412
82,992,0.000377,83,85,2,20,0.000522,100,100,simples_n100_p20%_v2.col,0.000379
86,991,0.00038,85,87,4,20,0.000528,100,100,simples_n100_p20%_v4.col,0.000367
100,1444,0.000649,100,100,1,30,0.000815,100,100,simples_n100_p30%_v1.col,0.000612
100,1480,0.000647,100,100,2,30,0.000864,100,100,simples_n100_p30%_v2.col,0.000643
99,1454,0.000609,99,99,3,30,0.000829,100,100,simples_n100_p30%_v3.col,0.000634
99,1455,0.000622,99,99,4,30,0.00085,100,100,simples_n100_p30%_v4.col,0.000629
100,1472,0.000621,100,100,5,30,0.000846,100,100,simples_n100_p30%_v5.col,0.000625
100,1963,0.000982,100,100,1,40,0.001288,100,100,simples_n100_p40%_v1.col,0.000968
100,1948,0.000958,100,100,2,40,0.001263,100,100,simples_n100_p40%_v2.col,0.000941
100,1980,0.001003,100,100,3,40,0.001298,100,100,simples_n100_p40%_v3.col,0.001
100,1970,0.001008,100,100,4,40,0.001309,100,100,simples_n100_p40%_v4.col,0.000985
100,1946,0.000977,100,100,5,40,0.001275,100,100,simples_n100_p40%_v5.col,0.000969
100,2528,0.001484,100,100,1,50,0.00189,100,100,simples_n100_p50%_v1.col,0.001502
100,2487,0.001455,100,100,2,50,0.001875,100,100,simples_n100_p50%_v2.col,0.001441
100,2456,0.001425,100,100,3,50,0.001809,100,100,simples_n100_p50%_v3.col,0.001415
100,2556,0.00151,100,100,4,50,0.001917,100,100,simples_n100_p50%_v4.col,0.001497
100,2507,0.001445,100,100,5,50,0.001844,100,100,simples_n100_p50%_v5.col,0.001453
100,2969,0.002017,100,100,1,60,0.00253,100,100,simples_n100_p60%_v1.col,0.002023
100,3005,0.002166,100,100,2,60,0.002801,100,100,simples_n100_p60%_v2.col,0.002235
100,2954,0.00221,100,100,3,60,0.002731,100,100,simples_n100_p60%_v3.col,0.002249
100,2967,0.002232,100,100,4,60,0.002742,100,100,simples_n100_p60%_v4.col,0.002225
100,3018,0.002277,100,100,5,60,0.002637,100,100,simples_n100_p60%_v5.col,0.002075
100,3482,0.002561,100,100,1,70,0.003269,100,100,simples_n100_p70%_v1.col,0.002578
100,3500,0.002616,100,100,2,70,0.003302,100,100,simples_n100_p70%_v2.col,0.002631
100,3429,0.002532,100,100,3,70,0.003193,100,100,simples_n100_p70%_v3.col,0.002507
100,3413,0.002459,100,100,4,70,0.003325,100,100,simples_n100_p70%_v4.col,0.002592
100,3490,0.002787,100,100,5,70,0.003487,100,100,simples_n100_p70%_v5.col,0.002785
100,3983,0.003298,100,100,1,80,0.004149,100,100,simples_n100_p80%_v1.col,0.003343
100,3972,0.003289,100,100,2,80,0.004154,100,100,simples_n100_p80%_v2.col,0.003253
100,3983,0.003317,100,100,3,80,0.004085,100,100,simples_n100_p80%_v3.col,0.003353
100,3941,0.003221,100,100,4,80,0.004049,100,100,simples_n100_p80%_v4.col,0.00328
100,3970,0.00325,100,100,5,80,0.004088,100,100,simples_n100_p80%_v5.col,0.003348
100,4487,0.003499,100,100,1,90,0.004423,100,100,simples_n100_p90%_v1.col,0.003572
100,4447,0.003571,100,100,2,90,0.00455,100,100,simples_n100_p90%_v2.col,0.003667
100,4482,0.003605,100,100,3,90,0.004489,100,100,simples_n100_p90%_v3.col,0.003594
100,4505,0.003546,100,100,4,90,0.004281,100,100,simples_n100_p90%_v4.col,0.003529
100,4468,0.003311,100,100,5,90,0.00429,100,100,simples_n100_p90%_v5.col,0.003406
