n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
100,4.6e-5,1,100,28,simples_n100_p01%_v1.col,MinGrau,51,1
100,4.5e-5,2,100,25,simples_n100_p01%_v2.col,MinGrau,48,1
100,4.1e-5,3,100,26,simples_n100_p01%_v3.col,MinGrau,43,1
100,5.6e-5,4,100,28,simples_n100_p01%_v4.col,MinGrau,51,1
100,6.3e-5,5,100,32,simples_n100_p01%_v5.col,MinGrau,56,1
100,9.8e-5,1,100,33,simples_n100_p03%_v1.col,MaxGrau,155,3
100,0.000101,2,100,29,simples_n100_p03%_v2.col,MaxGrau,154,3
100,9.9e-5,3,100,33,simples_n100_p03%_v3.col,MaxGrau,151,3
100,0.000116,4,100,31,simples_n100_p03%_v4.col,Satur,149,3
100,0.000126,5,100,33,simples_n100_p03%_v5.col,Satur,161,3
100,0.000123,1,100,32,simples_n100_p05%_v1.col,MaxGrau,213,5
100,0.000122,2,100,32,simples_n100_p05%_v2.col,MaxGrau,253,5
100,0.000125,3,100,37,simples_n100_p05%_v3.col,MaxGrau,268,5
100,0.000113,4,100,32,simples_n100_p05%_v4.col,MaxGrau,219,5
100,0.000138,5,100,34,simples_n100_p05%_v5.col,MaxGrau,271,5
100,0.000176,1,100,48,simples_n100_p10%_v1.col,MaxGrau,499,10
100,0.000184,2,100,48,simples_n100_p10%_v2.col,MaxGrau,493,10
100,0.000217,3,100,50,simples_n100_p10%_v3.col,MaxGrau,548,10
100,0.00019,4,100,47,simples_n100_p10%_v4.col,MaxGrau,520,10
100,0.000185,5,100,49,simples_n100_p10%_v5.col,MaxGrau,513,10
100,0.000377,1,100,82,simples_n100_p20%_v1.col,MaxGrau,993,20
100,0.000522,2,100,82,simples_n100_p20%_v2.col,Satur,992,20
100,0.00038,4,100,85,simples_n100_p20%_v4.col,MaxGrau,991,20
100,0.000612,1,100,100,simples_n100_p30%_v1.col,MinGrau,1444,30
100,0.000643,2,100,100,simples_n100_p30%_v2.col,MinGrau,1480,30
100,0.000609,3,100,99,simples_n100_p30%_v3.col,MaxGrau,1454,30
100,0.000622,4,100,99,simples_n100_p30%_v4.col,MaxGrau,1455,30
100,0.000621,5,100,100,simples_n100_p30%_v5.col,MaxGrau,1472,30
100,0.000968,1,100,100,simples_n100_p40%_v1.col,MinGrau,1963,40
100,0.000941,2,100,100,simples_n100_p40%_v2.col,MinGrau,1948,40
100,0.001,3,100,100,simples_n100_p40%_v3.col,MinGrau,1980,40
100,0.000985,4,100,100,simples_n100_p40%_v4.col,MinGrau,1970,40
100,0.000969,5,100,100,simples_n100_p40%_v5.col,MinGrau,1946,40
100,0.001484,1,100,100,simples_n100_p50%_v1.col,MaxGrau,2528,50
100,0.001441,2,100,100,simples_n100_p50%_v2.col,MinGrau,2487,50
100,0.001415,3,100,100,simples_n100_p50%_v3.col,MinGrau,2456,50
100,0.001497,4,100,100,simples_n100_p50%_v4.col,MinGrau,2556,50
100,0.001445,5,100,100,simples_n100_p50%_v5.col,MaxGrau,2507,50
100,0.002017,1,100,100,simples_n100_p60%_v1.col,MaxGrau,2969,60
100,0.002166,2,100,100,simples_n100_p60%_v2.col,MaxGrau,3005,60
100,0.00221,3,100,100,simples_n100_p60%_v3.col,MaxGrau,2954,60
100,0.002225,4,100,100,simples_n100_p60%_v4.col,MinGrau,2967,60
100,0.002075,5,100,100,simples_n100_p60%_v5.col,MinGrau,3018,60
100,0.002561,1,100,100,simples_n100_p70%_v1.col,MaxGrau,3482,70
100,0.002616,2,100,100,simples_n100_p70%_v2.col,MaxGrau,3500,70
100,0.002507,3,100,100,simples_n100_p70%_v3.col,MinGrau,3429,70
100,0.002459,4,100,100,simples_n100_p70%_v4.col,MaxGrau,3413,70
100,0.002785,5,100,100,simples_n100_p70%_v5.col,MinGrau,3490,70
100,0.003298,1,100,100,simples_n100_p80%_v1.col,MaxGrau,3983,80
100,0.003253,2,100,100,simples_n100_p80%_v2.col,MinGrau,3972,80
100,0.003317,3,100,100,simples_n100_p80%_v3.col,MaxGrau,3983,80
100,0.003221,4,100,100,simples_n100_p80%_v4.col,MaxGrau,3941,80
100,0.00325,5,100,100,simples_n100_p80%_v5.col,MaxGrau,3970,80
100,0.003499,1,100,100,simples_n100_p90%_v1.col,MaxGrau,4487,90
100,0.003571,2,100,100,simples_n100_p90%_v2.col,MaxGrau,4447,90
100,0.003594,3,100,100,simples_n100_p90%_v3.col,MinGrau,4482,90
100,0.003529,4,100,100,simples_n100_p90%_v4.col,MinGrau,4505,90
100,0.003311,5,100,100,simples_n100_p90%_v5.col,MaxGrau,4468,90
