N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
1500,1,1500,11366,1,7.32475,1.29104,simples_n1500_p01%_v1.col,259.4,1.93907
1500,1,1500,11342,2,7.68679,1.55796,simples_n1500_p01%_v2.col,256.6,2.5219
1500,1,1500,11148,3,5.92839,0.66601,simples_n1500_p01%_v3.col,256.8,1.82757
1500,1,1500,11074,4,7.64625,1.03703,simples_n1500_p01%_v4.col,253.4,1.91311
1500,1,1500,11227,5,6.82406,0.87935,simples_n1500_p01%_v5.col,255.2,1.74356
1500,3,1500,33773,1,9.81267,0.96971,simples_n1500_p03%_v1.col,599.0,0.44721
1500,3,1500,33497,2,11.40743,1.65,simples_n1500_p03%_v2.col,592.8,1.74356
1500,3,1500,33732,3,9.35213,0.48903,simples_n1500_p03%_v3.col,598.8,0.5831
1500,3,1500,33940,4,11.99501,1.45039,simples_n1500_p03%_v4.col,600.6,0.6
1500,3,1500,33924,5,9.80778,0.86577,simples_n1500_p03%_v5.col,601.6,0.24495
1500,5,1500,56316,1,25.46931,3.63645,simples_n1500_p05%_v1.col,938.0,0.94868
1500,5,1500,56011,2,28.69357,2.00488,simples_n1500_p05%_v2.col,930.0,1.92354
1500,5,1500,55766,3,23.54318,2.04007,simples_n1500_p05%_v3.col,928.8,1.15758
1500,5,1500,56187,4,25.38081,2.72616,simples_n1500_p05%_v4.col,932.4,1.86011
1500,5,1500,56021,5,25.13251,0.92153,simples_n1500_p05%_v5.col,932.0,1.04881
1500,10,1500,112217,1,21.34959,0.00853,simples_n1500_p10%_v1.col,1500.0,0.0
1500,10,1500,112691,2,21.53448,0.03723,simples_n1500_p10%_v2.col,1500.0,0.0
1500,10,1500,112672,3,21.41445,0.10087,simples_n1500_p10%_v3.col,1500.0,0.0
1500,10,1500,112801,4,21.44968,0.02159,simples_n1500_p10%_v4.col,1499.0,0.0
1500,10,1500,112693,5,21.63868,0.08295,simples_n1500_p10%_v5.col,1500.0,0.0
1500,20,1500,224745,1,76.83087,0.16808,simples_n1500_p20%_v1.col,1500.0,0.0
1500,20,1500,225120,2,77.30684,0.12459,simples_n1500_p20%_v2.col,1500.0,0.0
1500,20,1500,224419,3,76.76976,0.15112,simples_n1500_p20%_v3.col,1500.0,0.0
1500,20,1500,225907,4,77.66126,0.13613,simples_n1500_p20%_v4.col,1500.0,0.0
1500,20,1500,224803,5,77.12229,0.15069,simples_n1500_p20%_v5.col,1500.0,0.0
1500,30,1500,337438,1,165.11683,0.10642,simples_n1500_p30%_v1.col,1500.0,0.0
1500,30,1500,337407,2,160.56795,1.16309,simples_n1500_p30%_v2.col,1500.0,0.0
1500,30,1500,337774,3,159.89392,0.59915,simples_n1500_p30%_v3.col,1500.0,0.0
1500,30,1500,337081,4,159.33502,0.19455,simples_n1500_p30%_v4.col,1500.0,0.0
1500,30,1500,337047,5,159.41568,0.21267,simples_n1500_p30%_v5.col,1500.0,0.0
1500,40,1500,449641,1,300.26274,0.11426,simples_n1500_p40%_v1.col,1500.0,0.0
1500,40,1500,449668,2,290.04753,2.97421,simples_n1500_p40%_v2.col,1500.0,0.0
1500,40,1500,449631,3,299.6632,0.11448,simples_n1500_p40%_v3.col,1500.0,0.0
1500,40,1500,449348,4,292.89176,1.41215,simples_n1500_p40%_v4.col,1500.0,0.0
