N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
500,1,500,1247,1,33.94552,5.98008,simples_n500_p01%_v1.col,85.6,3.17175
500,1,500,1334,2,40.61909,7.62768,simples_n500_p01%_v2.col,82.2,2.51794
500,1,500,1196,3,17.7851,1.73032,simples_n500_p01%_v3.col,90.2,3.59722
500,1,500,1278,4,29.66098,3.34519,simples_n500_p01%_v4.col,84.4,1.96469
500,1,500,1243,5,32.79815,7.06914,simples_n500_p01%_v5.col,86.2,4.50999
500,3,500,3630,1,49.32965,5.70672,simples_n500_p03%_v1.col,134.2,0.37417
500,3,500,3730,2,44.28921,4.5103,simples_n500_p03%_v2.col,137.2,0.37417
500,3,500,3725,3,47.9102,7.5508,simples_n500_p03%_v3.col,138.2,0.2
500,3,500,3694,4,44.61834,3.23904,simples_n500_p03%_v4.col,135.8,0.4899
500,3,500,3741,5,48.4001,2.59197,simples_n500_p03%_v5.col,137.8,0.2
500,5,500,6413,1,68.16053,5.47956,simples_n500_p05%_v1.col,212.2,0.5831
500,5,500,6224,2,73.30551,9.26319,simples_n500_p05%_v2.col,205.4,0.87178
500,5,500,6266,3,89.0247,18.84334,simples_n500_p05%_v3.col,206.8,0.4899
500,5,500,6217,4,77.45494,12.10274,simples_n500_p05%_v4.col,207.0,0.31623
500,5,500,6277,5,71.10299,9.71503,simples_n500_p05%_v5.col,208.0,0.54772
500,10,500,12548,1,109.09688,26.87328,simples_n500_p10%_v1.col,384.4,0.8124
500,10,500,12537,2,88.31014,7.88073,simples_n500_p10%_v2.col,384.4,0.74833
500,10,500,12464,3,73.73956,5.80201,simples_n500_p10%_v3.col,382.6,0.6
500,10,500,12431,4,97.96039,13.01523,simples_n500_p10%_v4.col,382.2,0.66332
500,10,500,12664,5,82.60571,15.4415,simples_n500_p10%_v5.col,386.0,0.89443
500,20,500,25054,1,5.85928,0.04209,simples_n500_p20%_v1.col,500.0,0.0
500,20,500,24765,2,5.91288,0.0788,simples_n500_p20%_v2.col,500.0,0.0
500,20,500,24925,3,5.91974,0.00703,simples_n500_p20%_v3.col,500.0,0.0
500,20,500,25197,4,5.99796,0.00918,simples_n500_p20%_v4.col,500.0,0.0
500,20,500,24833,5,5.99043,0.10515,simples_n500_p20%_v5.col,500.0,0.0
500,30,500,37350,1,12.55219,0.00654,simples_n500_p30%_v1.col,500.0,0.0
500,30,500,37393,2,12.50521,0.00411,simples_n500_p30%_v2.col,500.0,0.0
500,30,500,37423,3,12.30785,0.15642,simples_n500_p30%_v3.col,500.0,0.0
500,30,500,37349,4,12.14619,0.02116,simples_n500_p30%_v4.col,500.0,0.0
500,30,500,37442,5,12.2405,0.03573,simples_n500_p30%_v5.col,500.0,0.0
500,40,500,49424,1,21.3975,0.05893,simples_n500_p40%_v1.col,500.0,0.0
500,40,500,50039,2,21.83482,0.00962,simples_n500_p40%_v2.col,500.0,0.0
500,40,500,49592,3,21.49249,0.0142,simples_n500_p40%_v3.col,500.0,0.0
500,40,500,49987,4,21.87973,0.07203,simples_n500_p40%_v4.col,500.0,0.0
500,40,500,50257,5,22.11349,0.01308,simples_n500_p40%_v5.col,500.0,0.0
500,50,500,61956,1,32.50644,0.01565,simples_n500_p50%_v1.col,500.0,0.0
500,50,500,62439,2,32.99162,0.12371,simples_n500_p50%_v2.col,500.0,0.0
500,50,500,62304,3,32.87629,0.01454,simples_n500_p50%_v3.col,500.0,0.0
500,50,500,62309,4,32.86803,0.02191,simples_n500_p50%_v4.col,500.0,0.0
500,50,500,62349,5,33.03811,0.09822,simples_n500_p50%_v5.col,500.0,0.0
500,60,500,74574,1,46.27839,0.01588,simples_n500_p60%_v1.col,500.0,0.0
500,60,500,74736,2,46.33319,0.00529,simples_n500_p60%_v2.col,500.0,0.0
500,60,500,74632,3,45.293,0.21825,simples_n500_p60%_v3.col,500.0,0.0
500,60,500,75011,4,46.75087,0.03628,simples_n500_p60%_v4.col,500.0,0.0
500,60,500,74982,5,45.49496,0.21955,simples_n500_p60%_v5.col,500.0,0.0
500,70,500,87094,1,61.34633,0.25166,simples_n500_p70%_v1.col,500.0,0.0
500,70,500,87398,2,62.14301,0.03401,simples_n500_p70%_v2.col,500.0,0.0
500,70,500,87405,3,61.39244,0.44946,simples_n500_p70%_v3.col,500.0,0.0
500,70,500,87580,4,60.93049,0.09735,simples_n500_p70%_v4.col,500.0,0.0
500,70,500,87311,5,60.55495,0.16454,simples_n500_p70%_v5.col,500.0,0.0
500,80,500,99614,1,76.53831,0.22096,simples_n500_p80%_v1.col,500.0,0.0
500,80,500,99748,2,76.88897,0.17515,simples_n500_p80%_v2.col,500.0,0.0
500,80,500,99882,3,76.91927,0.16853,simples_n500_p80%_v3.col,500.0,0.0
500,80,500,99686,4,76.63074,0.27197,simples_n500_p80%_v4.col,500.0,0.0
500,80,500,99554,5,76.36394,0.28637,simples_n500_p80%_v5.col,500.0,0.0
500,90,500,112458,1,87.26334,0.15198,simples_n500_p90%_v1.col,500.0,0.0
500,90,500,112270,2,86.7154,0.2945,simples_n500_p90%_v2.col,500.0,0.0
500,90,500,112133,3,87.39307,0.19424,simples_n500_p90%_v3.col,500.0,0.0
500,90,500,112525,4,85.88311,0.36111,simples_n500_p90%_v4.col,500.0,0.0
500,90,500,112278,5,84.51331,0.07062,simples_n500_p90%_v5.col,500.0,0.0
