N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
1000,1,1000,4972,1,1.60023,0.31713,simples_n1000_p01%_v1.col,195.2,1.39284
1000,1,1000,4997,2,1.17167,0.00524,simples_n1000_p01%_v2.col,198.0,2.75681
1000,1,1000,5119,3,1.15809,0.00519,simples_n1000_p01%_v3.col,193.0,2.34521
1000,1,1000,4875,4,1.25678,0.09166,simples_n1000_p01%_v4.col,201.2,2.85307
1000,1,1000,4914,5,1.15337,0.00377,simples_n1000_p01%_v5.col,202.6,1.4
1000,3,1000,15032,1,2.09825,0.00288,simples_n1000_p03%_v1.col,350.0,0.63246
1000,3,1000,14860,2,2.15927,0.08948,simples_n1000_p03%_v2.col,348.4,0.4
1000,3,1000,14977,3,2.08816,0.00928,simples_n1000_p03%_v3.col,351.2,0.4899
1000,3,1000,15042,4,2.15602,0.08751,simples_n1000_p03%_v4.col,352.2,0.2
1000,3,1000,14848,5,2.02343,0.00531,simples_n1000_p03%_v5.col,348.0,0.7746
1000,5,1000,25093,1,3.72472,0.00986,simples_n1000_p05%_v1.col,538.0,0.70711
1000,5,1000,25053,2,3.80233,0.0827,simples_n1000_p05%_v2.col,537.8,0.2
1000,5,1000,25160,3,3.84978,0.08102,simples_n1000_p05%_v3.col,540.8,0.37417
1000,5,1000,24797,4,3.7408,0.00492,simples_n1000_p05%_v4.col,533.8,1.0198
1000,5,1000,24991,5,3.87592,0.0855,simples_n1000_p05%_v5.col,536.2,0.86023
1000,10,1000,50462,1,12.12494,0.02138,simples_n1000_p10%_v1.col,986.0,0.0
1000,10,1000,50213,2,12.61413,0.21658,simples_n1000_p10%_v2.col,980.0,0.0
1000,10,1000,49945,3,12.89225,0.04068,simples_n1000_p10%_v3.col,984.0,0.0
1000,10,1000,50219,4,13.58006,0.20805,simples_n1000_p10%_v4.col,983.0,0.0
1000,10,1000,49888,5,14.77755,0.85029,simples_n1000_p10%_v5.col,987.0,0.0
1000,20,1000,100166,1,63.56263,2.21433,simples_n1000_p20%_v1.col,1000.0,0.0
1000,20,1000,99937,2,88.04398,5.44063,simples_n1000_p20%_v2.col,1000.0,0.0
1000,20,1000,99503,3,110.56391,2.05934,simples_n1000_p20%_v3.col,1000.0,0.0
1000,20,1000,99768,4,107.66828,3.84159,simples_n1000_p20%_v4.col,1000.0,0.0
1000,20,1000,99473,5,104.66534,1.86068,simples_n1000_p20%_v5.col,1000.0,0.0
1000,30,1000,149824,1,222.07311,5.7278,simples_n1000_p30%_v1.col,1000.0,0.0
1000,30,1000,149947,2,221.16236,2.17758,simples_n1000_p30%_v2.col,1000.0,0.0
1000,30,1000,149431,3,209.15541,2.59789,simples_n1000_p30%_v3.col,1000.0,0.0
1000,30,1000,149807,4,224.37894,4.19087,simples_n1000_p30%_v4.col,1000.0,0.0
1000,30,1000,149667,5,222.4863,3.40801,simples_n1000_p30%_v5.col,1000.0,0.0
1000,40,1000,199724,1,377.60667,10.4325,simples_n1000_p40%_v1.col,1000.0,0.0
1000,40,1000,199519,2,383.53555,1.27992,simples_n1000_p40%_v2.col,1000.0,0.0
1000,40,1000,199351,3,376.07842,2.82449,simples_n1000_p40%_v3.col,1000.0,0.0
1000,40,1000,199889,4,387.05059,5.56962,simples_n1000_p40%_v4.col,1000.0,0.0
1000,40,1000,199704,5,379.98535,3.21317,simples_n1000_p40%_v5.col,1000.0,0.0
1000,50,1000,249890,1,554.79933,11.70622,simples_n1000_p50%_v1.col,1000.0,0.0
1000,50,1000,249852,2,526.89111,6.05511,simples_n1000_p50%_v2.col,1000.0,0.0
1000,50,1000,249634,3,521.70341,8.24914,simples_n1000_p50%_v3.col,1000.0,0.0
1000,50,1000,250057,4,525.50486,7.11768,simples_n1000_p50%_v4.col,1000.0,0.0
1000,50,1000,249847,5,516.58457,5.84776,simples_n1000_p50%_v5.col,1000.0,0.0
1000,60,1000,299535,1,718.97188,4.42678,simples_n1000_p60%_v1.col,1000.0,0.0
1000,60,1000,300172,2,699.74448,9.69643,simples_n1000_p60%_v2.col,1000.0,0.0
1000,60,1000,300038,3,726.03718,12.25946,simples_n1000_p60%_v3.col,1000.0,0.0
1000,60,1000,299442,4,702.8215,6.2711,simples_n1000_p60%_v4.col,1000.0,0.0
1000,60,1000,299127,5,707.25331,6.34342,simples_n1000_p60%_v5.col,1000.0,0.0
1000,70,1000,349750,1,958.33777,13.02103,simples_n1000_p70%_v1.col,1000.0,0.0
1000,70,1000,349819,2,962.04282,6.5147,simples_n1000_p70%_v2.col,1000.0,0.0
1000,70,1000,350170,3,915.81051,6.90909,simples_n1000_p70%_v3.col,1000.0,0.0
1000,70,1000,349548,4,917.16274,5.97973,simples_n1000_p70%_v4.col,1000.0,0.0
1000,70,1000,349995,5,917.03816,3.32114,simples_n1000_p70%_v5.col,1000.0,0.0
1000,80,1000,399441,1,1158.93024,9.22513,simples_n1000_p80%_v1.col,1000.0,0.0
1000,80,1000,399599,2,1121.13324,3.88988,simples_n1000_p80%_v2.col,1000.0,0.0
1000,80,1000,400003,3,1140.23273,4.76647,simples_n1000_p80%_v3.col,1000.0,0.0
1000,80,1000,399849,4,1126.05762,6.53966,simples_n1000_p80%_v4.col,1000.0,0.0
1000,80,1000,399695,5,1095.78346,6.09486,simples_n1000_p80%_v5.col,1000.0,0.0
1000,90,1000,449228,1,1307.63297,2.16768,simples_n1000_p90%_v1.col,1000.0,0.0
1000,90,1000,449678,2,1311.65126,3.18965,simples_n1000_p90%_v2.col,1000.0,0.0
1000,90,1000,449857,3,1299.98523,11.10403,simples_n1000_p90%_v3.col,1000.0,0.0
1000,90,1000,449445,4,1280.20226,5.52339,simples_n1000_p90%_v4.col,1000.0,0.0
1000,90,1000,449707,5,1280.90051,5.95728,simples_n1000_p90%_v5.col,1000.0,0.0
