a,b,N,p,M,v,tempo_melhor,heuristica_vencedora,melhor_chi,instancia
100,100,200,1,92,1,0.0001,MinGrau,55,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,0.0001,MinGrau,50,bi_a100_b100_p01%_v2.col
100,100,200,1,100,3,0.0001,MinGrau,52,bi_a100_b100_p01%_v3.col
100,100,200,1,78,4,0.0001,MinGrau,45,bi_a100_b100_p01%_v4.col
100,100,200,1,95,5,0.0001,MinGrau,49,bi_a100_b100_p01%_v5.col
100,100,200,3,306,1,0.0002,MaxGrau,59,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,0.0002,MaxGrau,57,bi_a100_b100_p03%_v2.col
100,100,200,3,331,3,0.0002,MaxGrau,68,bi_a100_b100_p03%_v3.col
100,100,200,3,289,4,0.0002,MaxGrau,52,bi_a100_b100_p03%_v4.col
100,100,200,3,294,5,0.0002,MaxGrau,57,bi_a100_b100_p03%_v5.col
100,100,200,5,497,1,0.0003,MaxGrau,48,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,0.0003,MaxGrau,51,bi_a100_b100_p05%_v2.col
100,100,200,5,529,3,0.0003,MaxGrau,57,bi_a100_b100_p05%_v3.col
100,100,200,5,483,4,0.0003,MaxGrau,57,bi_a100_b100_p05%_v4.col
100,100,200,5,479,5,0.0003,MaxGrau,48,bi_a100_b100_p05%_v5.col
100,100,200,10,971,1,0.0005,MaxGrau,68,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,0.0004,MaxGrau,61,bi_a100_b100_p10%_v2.col
100,100,200,10,1030,3,0.0004,MaxGrau,67,bi_a100_b100_p10%_v3.col
100,100,200,10,992,4,0.0004,MaxGrau,67,bi_a100_b100_p10%_v4.col
100,100,200,10,1020,5,0.0005,MaxGrau,70,bi_a100_b100_p10%_v5.col
100,100,200,20,1973,1,0.0009,MaxGrau,106,bi_a100_b100_p20%_v1.col
100,100,200,20,2003,2,0.0009,MaxGrau,106,bi_a100_b100_p20%_v2.col
100,100,200,20,2018,3,0.0009,MaxGrau,114,bi_a100_b100_p20%_v3.col
100,100,200,20,1982,4,0.0009,MaxGrau,106,bi_a100_b100_p20%_v4.col
100,100,200,20,1952,5,0.0009,MaxGrau,109,bi_a100_b100_p20%_v5.col
100,100,200,30,2897,1,0.0016,MinGrau,148,bi_a100_b100_p30%_v1.col
100,100,200,30,3016,2,0.0018,MinGrau,150,bi_a100_b100_p30%_v2.col
100,100,200,30,3048,3,0.0018,MinGrau,151,bi_a100_b100_p30%_v3.col
100,100,200,30,3080,4,0.0018,MinGrau,151,bi_a100_b100_p30%_v4.col
100,100,200,30,3024,5,0.0017,MinGrau,148,bi_a100_b100_p30%_v5.col
100,100,200,40,3953,1,0.0026,MinGrau,166,bi_a100_b100_p40%_v1.col
100,100,200,40,4048,2,0.0026,MinGrau,167,bi_a100_b100_p40%_v2.col
100,100,200,40,4017,3,0.0027,MinGrau,166,bi_a100_b100_p40%_v3.col
100,100,200,40,3932,4,0.0026,MinGrau,166,bi_a100_b100_p40%_v4.col
100,100,200,40,4015,5,0.0026,MinGrau,166,bi_a100_b100_p40%_v5.col
100,100,200,50,5022,1,0.0036,MinGrau,176,bi_a100_b100_p50%_v1.col
100,100,200,50,5019,2,0.0036,MinGrau,176,bi_a100_b100_p50%_v2.col
100,100,200,50,5002,3,0.0035,MinGrau,178,bi_a100_b100_p50%_v3.col
100,100,200,50,4993,4,0.0035,MinGrau,177,bi_a100_b100_p50%_v4.col
100,100,200,50,5020,5,0.0034,MinGrau,176,bi_a100_b100_p50%_v5.col
100,100,200,60,6000,1,0.0045,MinGrau,183,bi_a100_b100_p60%_v1.col
100,100,200,60,5978,2,0.0047,MinGrau,185,bi_a100_b100_p60%_v2.col
100,100,200,60,5912,3,0.0043,MinGrau,184,bi_a100_b100_p60%_v3.col
100,100,200,60,6013,4,0.0046,MinGrau,183,bi_a100_b100_p60%_v4.col
100,100,200,60,6048,5,0.0047,MinGrau,184,bi_a100_b100_p60%_v5.col
100,100,200,70,7039,1,0.0055,MinGrau,188,bi_a100_b100_p70%_v1.col
100,100,200,70,7044,2,0.0056,MinGrau,190,bi_a100_b100_p70%_v2.col
100,100,200,70,7022,3,0.0058,MinGrau,189,bi_a100_b100_p70%_v3.col
100,100,200,70,7053,4,0.0061,MinGrau,189,bi_a100_b100_p70%_v4.col
100,100,200,70,7036,5,0.0057,MinGrau,188,bi_a100_b100_p70%_v5.col
100,100,200,80,8007,1,0.0063,MinGrau,191,bi_a100_b100_p80%_v1.col
100,100,200,80,7988,2,0.0066,MinGrau,192,bi_a100_b100_p80%_v2.col
100,100,200,80,8012,3,0.0066,MinGrau,192,bi_a100_b100_p80%_v3.col
100,100,200,80,7973,4,0.0065,MinGrau,192,bi_a100_b100_p80%_v4.col
100,100,200,80,7992,5,0.0066,MinGrau,192,bi_a100_b100_p80%_v5.col
100,100,200,90,9021,1,0.0065,MinGrau,195,bi_a100_b100_p90%_v1.col
100,100,200,90,8994,2,0.0069,MinGrau,195,bi_a100_b100_p90%_v2.col
100,100,200,90,9045,3,0.0123,MinGrau,194,bi_a100_b100_p90%_v3.col
100,100,200,90,8972,4,0.0068,MinGrau,196,bi_a100_b100_p90%_v4.col
100,100,200,90,9008,5,0.0066,MinGrau,195,bi_a100_b100_p90%_v5.col
100,500,600,1,525,1,0.0005,MinGrau,96,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,0.0005,MinGrau,96,bi_a100_b500_p01%_v2.col
100,500,600,1,518,3,0.0006,MinGrau,97,bi_a100_b500_p01%_v3.col
100,500,600,1,503,4,0.0005,MinGrau,95,bi_a100_b500_p01%_v4.col
