b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
750,292,1,0.0062,278,213,1000,1861,1,250,0.0098,bi_a250_b750_p01%_v1.col,0.0033
750,294,1,0.0063,286,215,1000,1820,2,250,0.01,bi_a250_b750_p01%_v2.col,0.0032
750,291,1,0.006,286,222,1000,1864,3,250,0.0089,bi_a250_b750_p01%_v3.col,0.0033
750,292,1,0.0039,273,216,1000,1758,4,250,0.0061,bi_a250_b750_p01%_v4.col,0.0023
750,306,1,0.004,283,223,1000,1841,5,250,0.0063,bi_a250_b750_p01%_v5.col,0.0025
750,245,3,0.0064,243,265,1000,5697,1,250,0.0096,bi_a250_b750_p03%_v1.col,0.0044
750,249,3,0.0067,250,263,1000,5536,2,250,0.0096,bi_a250_b750_p03%_v2.col,0.0044
750,248,3,0.0066,247,267,1000,5674,3,250,0.0096,bi_a250_b750_p03%_v3.col,0.0044
750,246,3,0.0066,244,262,1000,5589,4,250,0.0094,bi_a250_b750_p03%_v4.col,0.0044
750,241,3,0.0064,242,265,1000,5531,5,250,0.0093,bi_a250_b750_p03%_v5.col,0.0043
750,281,5,0.0087,281,304,1000,9230,1,250,0.013,bi_a250_b750_p05%_v1.col,0.007
750,282,5,0.0085,282,302,1000,9292,2,250,0.0129,bi_a250_b750_p05%_v2.col,0.0068
750,286,5,0.0086,286,300,1000,9269,3,250,0.0131,bi_a250_b750_p05%_v3.col,0.0067
750,286,5,0.0087,286,302,1000,9426,4,250,0.0198,bi_a250_b750_p05%_v4.col,0.0108
750,285,5,0.0124,285,297,1000,9407,5,250,0.0194,bi_a250_b750_p05%_v5.col,0.0097
750,410,10,0.0237,410,442,1000,18794,1,250,0.0362,bi_a250_b750_p10%_v1.col,0.033
750,401,10,0.0242,401,437,1000,18648,2,250,0.0367,bi_a250_b750_p10%_v2.col,0.0336
750,406,10,0.0249,406,440,1000,18933,3,250,0.113,bi_a250_b750_p10%_v3.col,0.0353
750,404,10,0.0228,404,432,1000,18581,4,250,0.0364,bi_a250_b750_p10%_v4.col,0.0339
750,395,10,0.0237,395,435,1000,18713,5,250,0.0368,bi_a250_b750_p10%_v5.col,0.0319
