a,b,N,p,M,v,tempo_melhor,heuristica_vencedora,melhor_chi,instancia
250,750,1000,1,1861,1,0.0033,MinGrau,213,bi_a250_b750_p01%_v1.col
250,750,1000,1,1820,2,0.0032,MinGrau,215,bi_a250_b750_p01%_v2.col
250,750,1000,1,1864,3,0.0033,MinGrau,222,bi_a250_b750_p01%_v3.col
250,750,1000,1,1758,4,0.0023,MinGrau,216,bi_a250_b750_p01%_v4.col
250,750,1000,1,1841,5,0.0025,MinGrau,223,bi_a250_b750_p01%_v5.col
250,750,1000,3,5697,1,0.0064,MaxGrau,243,bi_a250_b750_p03%_v1.col
250,750,1000,3,5536,2,0.0096,Satur,249,bi_a250_b750_p03%_v2.col
250,750,1000,3,5674,3,0.0066,MaxGrau,247,bi_a250_b750_p03%_v3.col
250,750,1000,3,5589,4,0.0066,MaxGrau,244,bi_a250_b750_p03%_v4.col
250,750,1000,3,5531,5,0.0093,Satur,241,bi_a250_b750_p03%_v5.col
250,750,1000,5,9230,1,0.0087,MaxGrau,281,bi_a250_b750_p05%_v1.col
250,750,1000,5,9292,2,0.0085,MaxGrau,282,bi_a250_b750_p05%_v2.col
250,750,1000,5,9269,3,0.0086,MaxGrau,286,bi_a250_b750_p05%_v3.col
250,750,1000,5,9426,4,0.0087,MaxGrau,286,bi_a250_b750_p05%_v4.col
250,750,1000,5,9407,5,0.0124,MaxGrau,285,bi_a250_b750_p05%_v5.col
250,750,1000,10,18794,1,0.0237,MaxGrau,410,bi_a250_b750_p10%_v1.col
250,750,1000,10,18648,2,0.0242,MaxGrau,401,bi_a250_b750_p10%_v2.col
250,750,1000,10,18933,3,0.0249,MaxGrau,406,bi_a250_b750_p10%_v3.col
250,750,1000,10,18581,4,0.0228,MaxGrau,404,bi_a250_b750_p10%_v4.col
250,750,1000,10,18713,5,0.0237,MaxGrau,395,bi_a250_b750_p10%_v5.col
