a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
1000,1000,2000,1,10032,1,17.5486509778,3.1628347954942297,354.6,9.77547952787995,bi_a1000_b1000_p01%_v1.col
1000,1000,2000,1,10197,2,15.617857579600003,3.426364280045542,367.2,8.76013698523031,bi_a1000_b1000_p01%_v2.col
1000,1000,2000,1,9969,3,12.447141744600001,2.19237807153007,377.2,7.983733462484829,bi_a1000_b1000_p01%_v3.col
1000,1000,2000,1,10087,4,15.8695466068,2.4714698811166618,361.6,8.902808545621994,bi_a1000_b1000_p01%_v4.col
1000,1000,2000,1,9898,5,12.8844689128,2.0115862529241935,380.0,10.677078252031311,bi_a1000_b1000_p01%_v5.col
1000,1000,2000,3,30236,1,14.2683628952,2.1353733816141154,492.4,0.8717797887081347,bi_a1000_b1000_p03%_v1.col
1000,1000,2000,3,30188,2,13.864134924199998,1.32722438140218,492.2,0.9695359714832658,bi_a1000_b1000_p03%_v2.col
1000,1000,2000,3,30148,3,16.164655754400002,1.208405030960641,490.2,0.8602325267042626,bi_a1000_b1000_p03%_v3.col
1000,1000,2000,3,30312,4,13.294152138200001,0.9786895733415131,494.2,0.58309518948453,bi_a1000_b1000_p03%_v4.col
1000,1000,2000,3,30135,5,16.1486945718,2.1808421461968948,491.2,0.916515138991168,bi_a1000_b1000_p03%_v5.col
1000,1000,2000,5,49500,1,22.682565227599998,1.7010146304542841,742.2,0.3741657386773941,bi_a1000_b1000_p05%_v1.col
1000,1000,2000,5,49961,2,22.963819676600004,1.191798774185729,748.0,0.31622776601683794,bi_a1000_b1000_p05%_v2.col
1000,1000,2000,5,49848,3,23.124416370800002,3.353221657793129,745.2,1.0677078252031311,bi_a1000_b1000_p05%_v3.col
1000,1000,2000,5,49699,4,21.017822815800002,2.8586583297850336,742.2,1.9849433241279208,bi_a1000_b1000_p05%_v4.col
1000,1000,2000,5,50052,5,24.4402105134,1.5513642136242303,748.0,0.4472135954999579,bi_a1000_b1000_p05%_v5.col
1000,1000,2000,10,100111,1,85.8333438474,6.231837020832439,1297.8,0.9695359714832658,bi_a1000_b1000_p10%_v1.col
1000,1000,2000,10,100123,2,73.4781769292,5.320215962719673,1297.0,0.9486832980505137,bi_a1000_b1000_p10%_v2.col
1000,1000,2000,10,99693,3,89.4272931342,9.26272047061239,1293.6,0.39999999999999997,bi_a1000_b1000_p10%_v3.col
1000,1000,2000,10,100116,4,81.8203893138,6.9006014905762605,1295.8,1.5937377450509227,bi_a1000_b1000_p10%_v4.col
1000,1000,2000,10,99775,5,70.7815739504,2.864942634360371,1292.6,0.7483314773547882,bi_a1000_b1000_p10%_v5.col
1000,1000,2000,20,200037,1,336.2319535708,22.332786395011006,1754.8,0.916515138991168,bi_a1000_b1000_p20%_v1.col
1000,1000,2000,20,199938,2,306.2860077974,22.76015147823205,1755.0,0.7071067811865476,bi_a1000_b1000_p20%_v2.col
1000,1000,2000,20,199668,3,312.20297236060003,27.93696304622709,1756.0,0.8366600265340755,bi_a1000_b1000_p20%_v3.col
1000,1000,2000,20,199918,4,332.9287368372,29.266851189418823,1755.0,0.8366600265340755,bi_a1000_b1000_p20%_v4.col
1000,1000,2000,20,200282,5,312.0868421648,14.258464234592974,1756.6,0.5099019513592785,bi_a1000_b1000_p20%_v5.col
