a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,1000,1100,1,1016,1,1.1022051847999998,0.54389702387781,104.8,0.969535971483266,bi_a100_b1000_p01%_v1.col
100,1000,1100,1,985,2,0.5012990453999999,0.004679157856616368,108.0,3.591656999213594,bi_a100_b1000_p01%_v2.col
100,1000,1100,1,1007,3,0.5388201212,0.02209260506102003,109.4,1.9390719429665315,bi_a100_b1000_p01%_v3.col
100,1000,1100,1,1017,4,0.6496901472,0.12430044549536468,111.4,2.541653005427767,bi_a100_b1000_p01%_v4.col
100,1000,1100,1,996,5,0.49078657059999997,0.0027374175902432603,105.0,2.4698178070456938,bi_a100_b1000_p01%_v5.col
100,1000,1100,3,2996,1,0.862460615,0.0028406630258351233,111.8,0.6633249580710798,bi_a100_b1000_p03%_v1.col
100,1000,1100,3,2967,2,1.0251760924,0.1619494026848089,112.0,1.3416407864998738,bi_a100_b1000_p03%_v2.col
100,1000,1100,3,2949,3,0.8493587918,0.006271806880501744,112.4,0.9273618495495702,bi_a100_b1000_p03%_v3.col
100,1000,1100,3,2942,4,0.882181649,0.0028231509353851356,111.8,0.3741657386773941,bi_a100_b1000_p03%_v4.col
100,1000,1100,3,2936,5,1.0301253996000002,0.1385172187275045,114.0,0.31622776601683794,bi_a100_b1000_p03%_v5.col
100,1000,1100,5,5012,1,1.226323,0.006533616690019382,137.0,0.31622776601683794,bi_a100_b1000_p05%_v1.col
100,1000,1100,5,4918,2,1.2048275633999999,0.0030428807538616775,135.0,0.4472135954999579,bi_a100_b1000_p05%_v2.col
100,1000,1100,5,4997,3,1.3480162292,0.13257617935231053,136.0,0.31622776601683794,bi_a100_b1000_p05%_v3.col
100,1000,1100,5,5031,4,1.2282561362000002,0.004171089145376224,136.6,0.39999999999999997,bi_a100_b1000_p05%_v4.col
100,1000,1100,5,4978,5,1.350320281,0.1263595290537545,136.2,0.3741657386773941,bi_a100_b1000_p05%_v5.col
