a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,92,1,0.7760277484,0.448655749386429,41.0,0.7071067811865476,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,0.48871809,0.14129838468312333,37.4,0.5099019513592785,bi_a100_b100_p01%_v2.col
100,100,200,1,100,3,0.5693547600000001,0.10305684058514589,31.4,0.9273618495495702,bi_a100_b100_p01%_v3.col
100,100,200,1,78,4,0.31086018800000004,0.06122749584130232,34.6,0.39999999999999997,bi_a100_b100_p01%_v4.col
100,100,200,1,95,5,0.3460864074,0.03769826300591138,35.4,0.6,bi_a100_b100_p01%_v5.col
100,100,200,3,306,1,3.320892465,0.8117161595894382,36.8,0.3741657386773941,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,3.4282320254,1.0181196097275815,35.6,1.0295630140987,bi_a100_b100_p03%_v2.col
100,100,200,3,331,3,3.9414382766000005,1.4836619196754401,35.4,0.7483314773547882,bi_a100_b100_p03%_v3.col
100,100,200,3,289,4,4.184042422799999,1.135086398612448,33.6,1.1224972160321824,bi_a100_b100_p03%_v4.col
100,100,200,3,294,5,4.1217627735999995,0.5362126909697483,37.6,0.5099019513592785,bi_a100_b100_p03%_v5.col
100,100,200,5,497,1,7.8939479164,1.9487531288603195,39.6,0.39999999999999997,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,6.684638525599999,1.2023644197134116,39.0,0.0,bi_a100_b100_p05%_v2.col
100,100,200,5,529,3,7.9847205042,0.9710953392621244,41.2,0.3741657386773941,bi_a100_b100_p05%_v3.col
100,100,200,5,483,4,4.2973888886,0.7987181657644934,39.4,0.5099019513592785,bi_a100_b100_p05%_v4.col
100,100,200,5,479,5,4.6510378580000005,0.36115238321100473,39.4,0.24494897427831777,bi_a100_b100_p05%_v5.col
100,100,200,10,971,1,7.694102891199999,0.5207436702161125,61.4,0.39999999999999997,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,7.563989360400001,0.36646856656169446,60.0,0.31622776601683794,bi_a100_b100_p10%_v2.col
100,100,200,10,1030,3,6.2000759148,0.8118554080094043,64.4,0.24494897427831777,bi_a100_b100_p10%_v3.col
100,100,200,10,992,4,9.0719736118,0.9602385558008157,63.0,0.0,bi_a100_b100_p10%_v4.col
100,100,200,10,1020,5,7.7156166648,1.139675038401291,64.0,0.31622776601683794,bi_a100_b100_p10%_v5.col
100,100,200,20,1973,1,18.2727498558,1.9970302501398054,105.0,0.31622776601683794,bi_a100_b100_p20%_v1.col
100,100,200,20,2003,2,17.102229991199998,2.434389313332442,106.2,0.48989794855663554,bi_a100_b100_p20%_v2.col
100,100,200,20,2018,3,16.701566895200003,1.374321534592438,107.4,0.24494897427831777,bi_a100_b100_p20%_v3.col
100,100,200,20,1982,4,16.243896045000003,3.5401675299368573,105.6,0.5099019513592785,bi_a100_b100_p20%_v4.col
100,100,200,20,1952,5,16.0885073828,2.1085638777961355,104.0,0.0,bi_a100_b100_p20%_v5.col
100,100,200,30,2897,1,28.231076473799998,6.1667565939864675,138.0,0.5477225575051661,bi_a100_b100_p30%_v1.col
100,100,200,30,3016,2,37.505479811,9.68779478927138,141.8,0.2,bi_a100_b100_p30%_v2.col
100,100,200,30,3048,3,32.27182659859999,11.610352234688008,142.2,0.8602325267042626,bi_a100_b100_p30%_v3.col
100,100,200,30,3080,4,31.680690609800003,3.0364040470093907,142.2,0.3741657386773941,bi_a100_b100_p30%_v4.col
100,100,200,30,3024,5,33.101059637800006,4.153189410591814,141.0,0.31622776601683794,bi_a100_b100_p30%_v5.col
100,100,200,40,3953,1,37.5680350728,3.3943136035150046,158.8,0.19999999999999998,bi_a100_b100_p40%_v1.col
100,100,200,40,4048,2,53.01695148460001,8.529833987901421,161.6,0.6782329983125267,bi_a100_b100_p40%_v2.col
100,100,200,40,4017,3,46.8386225062,6.718949290368813,160.4,0.39999999999999997,bi_a100_b100_p40%_v3.col
100,100,200,40,3932,4,39.506471899599994,4.658994253072227,159.0,0.31622776601683794,bi_a100_b100_p40%_v4.col
100,100,200,40,4015,5,29.6410506264,1.9395305675990455,161.0,0.0,bi_a100_b100_p40%_v5.col
100,100,200,50,5022,1,54.1777279514,8.988504700213314,172.2,0.3741657386773941,bi_a100_b100_p50%_v1.col
100,100,200,50,5019,2,53.9074881714,8.346116893487336,171.8,0.2,bi_a100_b100_p50%_v2.col
100,100,200,50,5002,3,44.433187073199996,8.286824434573234,172.4,0.24494897427831777,bi_a100_b100_p50%_v3.col
100,100,200,50,4993,4,55.643721866,9.345978729376563,172.0,0.0,bi_a100_b100_p50%_v4.col
100,100,200,50,5020,5,52.799583340599995,6.470974203331105,172.0,0.4472135954999579,bi_a100_b100_p50%_v5.col
