a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,peak_mem_mb,mean_mem_mb,instancia
100,1000,1100,1,1016,1,18.5503623032,4.549582616846751,91.2,1.772004514666935,682.8835983276367,314.5065032958984,bi_a100_b1000_p01%_v1.col
100,1000,1100,3,2996,1,52.792487015799985,8.641948604336749,104.0,0.5477225575051661,654.0732040405273,426.0911865234375,bi_a100_b1000_p03%_v1.col
100,1000,1100,5,5012,1,82.49184328819999,3.228093249795865,130.2,0.58309518948453,560.7780914306641,506.6528091430664,bi_a100_b1000_p05%_v1.col
100,1000,1100,10,10054,1,304.4775148924,83.7612847652026,250.4,0.39999999999999997,1607.8663330078125,785.7992919921875,bi_a100_b1000_p10%_v1.col
100,1000,1100,20,19912,1,1033.3873781688003,171.67526546817413,567.8,2.596150997149434,872.1919784545898,584.1559219360352,bi_a100_b1000_p20%_v1.col
100,1000,1100,30,29774,1,1620.9206134802,297.3799740105572,990.2,0.58309518948453,674.4838409423828,444.69993896484374,bi_a100_b1000_p30%_v1.col
100,1000,1100,40,39882,1,1829.9013159262001,167.51699358883553,1045.6,0.5099019513592785,372.8822708129883,317.6277114868164,bi_a100_b1000_p40%_v1.col
100,1000,1100,50,49850,1,1821.0793660276001,137.98939254807064,1063.8,0.19999999999999998,257.42362213134766,233.81210174560547,bi_a100_b1000_p50%_v1.col
100,1000,1100,60,59993,1,2727.8529335756,251.77446276688647,1075.4,0.24494897427831777,309.2940902709961,251.29964599609374,bi_a100_b1000_p60%_v1.col
100,1000,1100,70,70111,1,5485.707217722801,1176.651502745726,1082.6,0.24494897427831777,620.7064971923828,407.7314926147461,bi_a100_b1000_p70%_v1.col
100,1000,1100,80,80051,1,3188.2737716128,268.96032051711563,1088.0,0.0,231.48499298095703,203.1616638183594,bi_a100_b1000_p80%_v1.col
100,1000,1100,90,89871,1,4030.4020398236003,237.407231682973,1092.0,0.0,264.62296295166016,224.54559478759765,bi_a100_b1000_p90%_v1.col
