a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,peak_mem_mb,mean_mem_mb,instancia
100,500,600,1,525,1,14.128842559,1.5776137857771715,74.4,0.7483314773547882,283.60423278808594,233.33148345947265,bi_a100_b500_p01%_v1.col
100,500,600,3,1537,1,33.067668261200005,3.3110625762589594,79.0,1.0,440.8401565551758,361.0242446899414,bi_a100_b500_p03%_v1.col
100,500,600,5,2497,1,33.7902527844,3.8096417033183263,95.8,0.58309518948453,413.09596252441406,303.4262237548828,bi_a100_b500_p05%_v1.col
100,500,600,10,5152,1,102.23498490259999,18.157636879829333,160.8,0.58309518948453,445.8788070678711,311.69652252197267,bi_a100_b500_p10%_v1.col
100,500,600,20,10077,1,277.637138391,47.37131976150575,327.4,1.208304597359457,422.33641815185547,276.5612258911133,bi_a100_b500_p20%_v1.col
100,500,600,30,15047,1,408.6632531628,63.41076294182406,510.2,0.2,259.9227752685547,204.42752380371093,bi_a100_b500_p30%_v1.col
100,500,600,40,20050,1,543.4336790412001,135.8415002199816,550.0,0.5477225575051661,292.39269256591797,178.93295135498047,bi_a100_b500_p40%_v1.col
100,500,600,50,25075,1,894.0838580907999,319.0886340411666,566.4,0.39999999999999997,453.44266510009766,210.92092742919922,bi_a100_b500_p50%_v1.col
100,500,600,60,29954,1,928.167519593,177.13650111482087,576.4,0.24494897427831783,258.21720123291016,171.09576721191405,bi_a100_b500_p60%_v1.col
100,500,600,70,35049,1,723.219907405,66.4086633135239,583.8,0.20000000000000004,143.10492706298828,112.26549072265625,bi_a100_b500_p70%_v1.col
100,500,600,80,40002,1,1080.8890005866,130.5632853019613,588.6,0.24494897427831783,184.6743927001953,135.36661529541016,bi_a100_b500_p80%_v1.col
100,500,600,90,45019,1,1036.2803600235998,260.55170637215826,592.6,0.24494897427831783,199.7517318725586,123.60682525634766,bi_a100_b500_p90%_v1.col
