a,b,mean_fit_t,mean_mut_t,mean_init_t,mean_cross_t,mean_sel_t,instancia,mean_upd_t
100,100,0.013098341400000001,0.0,0.10515397940000001,0.0,0.0,bi_a100_b100_p01%_v1.col,0.0
100,100,0.013820582399999998,0.0,0.0141087296,0.0,0.0,bi_a100_b100_p01%_v2.col,0.0
100,100,0.014973077199999999,0.0,0.023837589,0.0,0.0,bi_a100_b100_p01%_v3.col,0.0
100,100,0.012573404199999996,0.0,0.0128761064,0.0,0.0,bi_a100_b100_p01%_v4.col,0.0
100,100,0.0171303578,0.0,0.0174057236,0.0,0.0,bi_a100_b100_p01%_v5.col,0.0
100,100,0.04134475160000001,0.0,0.041684247599999995,0.0,0.0,bi_a100_b100_p03%_v1.col,0.0
100,100,0.0474221408,0.0,0.0478034014,0.0,0.0,bi_a100_b100_p03%_v2.col,0.0
100,100,0.046018647600000004,0.0,0.0464108566,0.0,0.0,bi_a100_b100_p03%_v3.col,0.0
100,100,0.0397457506,0.0,0.0401624156,0.0,0.0,bi_a100_b100_p03%_v4.col,0.0
100,100,0.0410006514,0.0,0.04140083260000001,0.0,0.0,bi_a100_b100_p03%_v5.col,0.0
100,100,0.055775010599999994,0.0,0.0561573342,0.0,0.0,bi_a100_b100_p05%_v1.col,0.0
100,100,0.053068061199999995,0.0,0.0537031972,0.0,0.0,bi_a100_b100_p05%_v2.col,0.0
100,100,0.05759941659999999,0.0,0.058230742999999995,0.0,0.0,bi_a100_b100_p05%_v3.col,0.0
100,100,0.0520712356,0.0,0.05241242040000001,0.0,0.0,bi_a100_b100_p05%_v4.col,0.0
100,100,0.05136433980000001,0.0,0.052081027,0.0,0.0,bi_a100_b100_p05%_v5.col,0.0
100,100,0.07886696800000002,0.0,0.0792684468,0.0,0.0,bi_a100_b100_p10%_v1.col,0.0
100,100,0.07757250219999999,0.0,0.0786768114,0.0,0.0,bi_a100_b100_p10%_v2.col,0.0
100,100,0.08373816800000003,0.0,0.0844782856,0.0,0.0,bi_a100_b100_p10%_v3.col,0.0
100,100,0.14902512239999993,0.0,0.14949342520000003,0.0,0.0,bi_a100_b100_p10%_v4.col,0.0
100,100,0.07930170399999999,0.0,0.07975536180000001,0.0,0.0,bi_a100_b100_p10%_v5.col,0.0
100,100,0.16038205079999998,0.0,0.1608359116,0.0,0.0,bi_a100_b100_p20%_v1.col,0.0
100,100,0.16046655040000005,0.0,0.16093841339999998,0.0,0.0,bi_a100_b100_p20%_v2.col,0.0
100,100,0.16700216559999997,0.0,0.1675341058,0.0,0.0,bi_a100_b100_p20%_v3.col,0.0
100,100,0.2362276982,0.0,0.23724435759999998,0.0,0.0,bi_a100_b100_p20%_v4.col,0.0
100,100,0.1753050548,0.0,0.175970245,0.0,0.0,bi_a100_b100_p20%_v5.col,0.0
100,100,0.31817488620000006,0.0,0.319248138,0.0,0.0,bi_a100_b100_p30%_v1.col,0.0
100,100,0.3316264352,0.0,0.3324648958,0.0,0.0,bi_a100_b100_p30%_v2.col,0.0
100,100,0.3350881202,0.0,0.3358191266,0.0,0.0,bi_a100_b100_p30%_v3.col,0.0
100,100,0.3348195037999999,0.0,0.335481133,0.0,0.0,bi_a100_b100_p30%_v4.col,0.0
100,100,0.3314996432,0.0,0.33219255459999997,0.0,0.0,bi_a100_b100_p30%_v5.col,0.0
100,100,0.48240263000000005,0.0,0.48317347339999994,0.0,0.0,bi_a100_b100_p40%_v1.col,0.0
100,100,0.5962221702,0.0,0.5969507932,0.0,0.0,bi_a100_b100_p40%_v2.col,0.0
100,100,0.5421515955999998,0.0,0.542916533,0.0,0.0,bi_a100_b100_p40%_v3.col,0.0
100,100,0.4968313845999999,0.0,0.49750125,0.0,0.0,bi_a100_b100_p40%_v4.col,0.0
100,100,0.49381993580000005,0.0,0.49457891619999994,0.0,0.0,bi_a100_b100_p40%_v5.col,0.0
100,100,0.6820547522000003,0.0,0.6827942339999999,0.0,0.0,bi_a100_b100_p50%_v1.col,0.0
100,100,0.6754799874,0.0,0.6763890986,0.0,0.0,bi_a100_b100_p50%_v2.col,0.0
100,100,0.6652137579999999,0.0,0.6660040888000001,0.0,0.0,bi_a100_b100_p50%_v3.col,0.0
100,100,0.6606490331999996,0.0,0.6613941348000001,0.0,0.0,bi_a100_b100_p50%_v4.col,0.0
100,100,0.7307785506,0.0,0.7319695742000001,0.0,0.0,bi_a100_b100_p50%_v5.col,0.0
100,100,0.8599890124000004,0.0,0.8607112038,0.0,0.0,bi_a100_b100_p60%_v1.col,0.0
100,100,0.8643876220000001,0.0,0.8656304962,0.0,0.0,bi_a100_b100_p60%_v2.col,0.0
100,100,0.8583722180000001,0.0,0.859289472,0.0,0.0,bi_a100_b100_p60%_v3.col,0.0
100,100,0.8726475611999998,0.0,0.8735523304000001,0.0,0.0,bi_a100_b100_p60%_v4.col,0.0
100,100,0.873405018,0.0,0.8742406556000001,0.0,0.0,bi_a100_b100_p60%_v5.col,0.0
100,100,1.0831034911999997,0.0,1.0844212154000001,0.0,0.0,bi_a100_b100_p70%_v1.col,0.0
100,100,1.1243925988,0.0,1.1252918846,0.0,0.0,bi_a100_b100_p70%_v2.col,0.0
100,100,1.1314077716,0.0,1.1321742554,0.0,0.0,bi_a100_b100_p70%_v3.col,0.0
100,100,1.0896215589999998,0.0,1.0904332477999998,0.0,0.0,bi_a100_b100_p70%_v4.col,0.0
100,100,1.080989819,0.0,1.0818152056,0.0,0.0,bi_a100_b100_p70%_v5.col,0.0
100,100,1.2678088527999998,0.0,1.2690138848,0.0,0.0,bi_a100_b100_p80%_v1.col,0.0
100,100,1.3017952220000002,0.0,1.3028943465999998,0.0,0.0,bi_a100_b100_p80%_v2.col,0.0
