b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
100,62,1,0.0023,62,55,200,92,1,100,0.0026,bi_a100_b100_p01%_v1.col,0.0024
100,69,1,0.0027,69,50,200,103,2,100,0.003,bi_a100_b100_p01%_v2.col,0.0022
100,54,1,0.0019,54,52,200,100,3,100,0.0023,bi_a100_b100_p01%_v3.col,0.0024
100,57,1,0.0018,55,45,200,78,4,100,0.0023,bi_a100_b100_p01%_v4.col,0.0018
100,64,1,0.0021,59,49,200,95,5,100,0.0027,bi_a100_b100_p01%_v5.col,0.0021
100,67,3,0.0047,59,70,200,306,1,100,0.0058,bi_a100_b100_p03%_v1.col,0.0061
100,70,3,0.0049,57,70,200,317,2,100,0.0059,bi_a100_b100_p03%_v2.col,0.0061
100,72,3,0.006,68,72,200,331,3,100,0.0069,bi_a100_b100_p03%_v3.col,0.0067
100,63,3,0.0044,52,70,200,289,4,100,0.0053,bi_a100_b100_p03%_v4.col,0.0059
100,59,3,0.0046,57,70,200,294,5,100,0.0051,bi_a100_b100_p03%_v5.col,0.006
100,55,5,0.0063,48,72,200,497,1,100,0.007,bi_a100_b100_p05%_v1.col,0.008
100,57,5,0.0064,51,74,200,488,2,100,0.0069,bi_a100_b100_p05%_v2.col,0.0084
100,63,5,0.0071,57,77,200,529,3,100,0.0079,bi_a100_b100_p05%_v3.col,0.0095
100,71,5,0.0063,57,74,200,483,4,100,0.0072,bi_a100_b100_p05%_v4.col,0.0089
100,59,5,0.0063,48,65,200,479,5,100,0.0072,bi_a100_b100_p05%_v5.col,0.0073
100,77,10,0.0121,68,78,200,971,1,100,0.013,bi_a100_b100_p10%_v1.col,0.012
100,74,10,0.0113,61,73,200,922,2,100,0.0127,bi_a100_b100_p10%_v2.col,0.0118
100,77,10,0.0128,67,83,200,1030,3,100,0.0134,bi_a100_b100_p10%_v3.col,0.0135
100,76,10,0.0125,67,79,200,992,4,100,0.0127,bi_a100_b100_p10%_v4.col,0.0124
100,81,10,0.0125,70,82,200,1020,5,100,0.0141,bi_a100_b100_p10%_v5.col,0.0129
100,116,20,0.0263,106,124,200,1973,1,100,0.0287,bi_a100_b100_p20%_v1.col,0.0281
100,116,20,0.0263,106,125,200,2003,2,100,0.0279,bi_a100_b100_p20%_v2.col,0.0276
100,121,20,0.0272,114,122,200,2018,3,100,0.0291,bi_a100_b100_p20%_v3.col,0.0286
100,119,20,0.0256,106,120,200,1982,4,100,0.0296,bi_a100_b100_p20%_v4.col,0.0264
100,116,20,0.0261,109,120,200,1952,5,100,0.0277,bi_a100_b100_p20%_v5.col,0.0256
100,149,30,0.0616,151,148,200,2897,1,100,0.0606,bi_a100_b100_p30%_v1.col,0.0528
100,154,30,0.065,155,150,200,3016,2,100,0.0673,bi_a100_b100_p30%_v2.col,0.0551
100,154,30,0.0673,152,151,200,3048,3,100,0.0702,bi_a100_b100_p30%_v3.col,0.0622
100,156,30,0.0691,154,151,200,3080,4,100,0.0733,bi_a100_b100_p30%_v4.col,0.0567
100,156,30,0.0685,153,148,200,3024,5,100,0.0681,bi_a100_b100_p30%_v5.col,0.0565
100,170,40,0.117,172,166,200,3953,1,100,0.1254,bi_a100_b100_p40%_v1.col,0.1072
100,170,40,0.1277,173,167,200,4048,2,100,0.1291,bi_a100_b100_p40%_v2.col,0.116
100,174,40,0.1229,171,166,200,4017,3,100,0.1321,bi_a100_b100_p40%_v3.col,0.1126
100,168,40,0.1167,171,166,200,3932,4,100,0.125,bi_a100_b100_p40%_v4.col,0.1118
100,177,40,0.1218,173,166,200,4015,5,100,0.1367,bi_a100_b100_p40%_v5.col,0.1093
100,183,50,0.1782,180,176,200,5022,1,100,0.206,bi_a100_b100_p50%_v1.col,0.1715
