a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,92,1,2.2199390514,1.5452247557288599,42.6,0.8717797887081347,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,0.754377633,0.04928184706887279,38.8,0.7348469228349533,bi_a100_b100_p01%_v2.col
100,100,200,3,306,1,1.6748066324,0.13701924253402376,47.6,1.208304597359457,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,1.5187167572,0.13746489411898252,44.0,1.4832396974191324,bi_a100_b100_p03%_v2.col
100,100,200,5,497,1,1.9670212594000003,0.14071026972168363,45.2,1.0677078252031311,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,1.8824478482,0.06888460186506792,46.0,1.4142135623730951,bi_a100_b100_p05%_v2.col
100,100,200,10,971,1,2.9068330409999996,0.4099424426729535,65.8,0.48989794855663554,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,2.7681554139999998,0.17014164764710102,63.4,0.39999999999999997,bi_a100_b100_p10%_v2.col
100,100,200,20,1973,1,4.940344179199999,0.3638503245286763,109.2,0.19999999999999998,bi_a100_b100_p20%_v1.col
100,100,200,20,2003,2,4.2416903994,0.3020996624327721,111.2,0.58309518948453,bi_a100_b100_p20%_v2.col
100,100,200,30,2897,1,7.787804657200001,0.12875808801064872,141.6,0.24494897427831777,bi_a100_b100_p30%_v1.col
100,100,200,30,3016,2,8.9936222936,0.25821757484859825,144.8,0.2,bi_a100_b100_p30%_v2.col
100,100,200,40,3953,1,18.531270241600005,1.6726310957468284,161.4,0.39999999999999997,bi_a100_b100_p40%_v1.col
100,100,200,40,4048,2,16.944467100999997,0.6264203520024079,163.6,0.24494897427831777,bi_a100_b100_p40%_v2.col
100,100,200,50,5022,1,21.731648149399998,0.9108820876692797,174.0,0.31622776601683794,bi_a100_b100_p50%_v1.col
100,100,200,50,5019,2,28.284678496999998,2.778719835467305,174.0,0.31622776601683794,bi_a100_b100_p50%_v2.col
100,100,200,60,6000,1,29.705214978999997,1.4911959324224708,181.8,0.19999999999999998,bi_a100_b100_p60%_v1.col
100,100,200,60,5978,2,21.9928818904,0.9824231094664534,181.8,0.19999999999999998,bi_a100_b100_p60%_v2.col
100,100,200,70,7039,1,29.492216221200003,2.7787670496385197,187.2,0.2,bi_a100_b100_p70%_v1.col
100,100,200,70,7044,2,33.152150325,2.0499956712241927,187.0,0.0,bi_a100_b100_p70%_v2.col
100,100,200,80,8007,1,29.040601422800002,0.5579269407636044,190.8,0.2,bi_a100_b100_p80%_v1.col
100,100,200,80,7988,2,34.6344566364,3.1658666422617134,190.2,0.19999999999999998,bi_a100_b100_p80%_v2.col
100,100,200,90,9021,1,41.937794567000005,1.6384790575106483,194.0,0.0,bi_a100_b100_p90%_v1.col
100,100,200,90,8994,2,40.2376167088,0.49086686485349706,194.0,0.0,bi_a100_b100_p90%_v2.col
100,500,600,1,525,1,4.9197125214,0.08549300171405501,81.4,2.039607805437114,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,4.766213757000001,0.3576506423026188,82.4,2.694438717061496,bi_a100_b500_p01%_v2.col
