a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,100,3,1.351824413,0.9004287199608763,30.8,0.58309518948453,bi_a100_b100_p01%_v3.col
100,100,200,1,78,4,0.2694049222,0.06894110079049379,33.8,0.58309518948453,bi_a100_b100_p01%_v4.col
100,100,200,1,95,5,0.29760325579999997,0.01760166453180542,34.6,0.5099019513592785,bi_a100_b100_p01%_v5.col
100,100,200,3,331,3,1.3968494516,0.14008645032565956,34.6,1.16619037896906,bi_a100_b100_p03%_v3.col
100,100,200,3,289,4,1.03054376,0.1094535309791529,36.4,0.5099019513592785,bi_a100_b100_p03%_v4.col
100,100,200,3,294,5,1.1013353574,0.1393418383320553,34.4,1.5033296378372907,bi_a100_b100_p03%_v5.col
100,100,200,5,529,3,1.3160850069999999,0.13169136949197102,42.4,0.24494897427831777,bi_a100_b100_p05%_v3.col
100,100,200,5,483,4,0.9278168898000001,0.11250451871703314,42.0,0.7071067811865476,bi_a100_b100_p05%_v4.col
100,100,200,5,479,5,1.123756551,0.1350150470602675,40.4,0.8717797887081347,bi_a100_b100_p05%_v5.col
100,100,200,10,1030,3,1.6476443646,0.21812126148504232,65.8,0.3741657386773941,bi_a100_b100_p10%_v3.col
100,100,200,10,992,4,1.695972819,0.2910023289682362,64.2,0.6633249580710798,bi_a100_b100_p10%_v4.col
100,100,200,10,1020,5,1.11580565,0.16040693174053697,66.4,0.39999999999999997,bi_a100_b100_p10%_v5.col
100,500,600,1,518,3,4.1135107368,0.5349033207970492,65.0,2.8635642126552705,bi_a100_b500_p01%_v3.col
100,500,600,1,503,4,4.0097511288,0.1911696245831485,62.2,1.9849433241279208,bi_a100_b500_p01%_v4.col
100,500,600,1,511,5,4.3227131839999995,0.4900169114504927,64.6,1.7776388834631176,bi_a100_b500_p01%_v5.col
100,500,600,3,1499,3,5.4829517732,0.6117184975665353,74.8,0.8602325267042625,bi_a100_b500_p03%_v3.col
100,500,600,3,1505,4,5.5793507548,0.5878238007953004,77.4,2.541653005427767,bi_a100_b500_p03%_v4.col
100,500,600,3,1550,5,5.8081180543999995,0.5820335379322829,75.6,1.568438714135812,bi_a100_b500_p03%_v5.col
100,500,600,5,2543,3,5.2250348632,0.5349617890802968,97.8,0.58309518948453,bi_a100_b500_p05%_v3.col
100,500,600,5,2442,4,4.8383844348,0.6014911517526645,97.0,0.4472135954999579,bi_a100_b500_p05%_v4.col
100,500,600,5,2454,5,4.731405755599999,0.43561447216510557,96.0,0.8366600265340755,bi_a100_b500_p05%_v5.col
100,500,600,10,5109,3,15.0479029008,1.8941693863449758,160.8,0.3741657386773941,bi_a100_b500_p10%_v3.col
100,500,600,10,4929,4,14.6152821246,0.6194051757845238,156.0,0.31622776601683794,bi_a100_b500_p10%_v4.col
100,500,600,10,5103,5,10.0697178472,0.9701228454588267,161.6,0.9273618495495702,bi_a100_b500_p10%_v5.col
500,500,1000,1,2522,3,44.068867423200004,3.731758188771287,156.2,2.576819745345025,bi_a500_b500_p01%_v3.col
500,500,1000,1,2462,4,52.8634725376,5.56417943583922,157.4,4.915282290977803,bi_a500_b500_p01%_v4.col
500,500,1000,1,2493,5,41.308373368999995,3.3258892964321274,162.0,6.058052492344383,bi_a500_b500_p01%_v5.col
500,500,1000,3,7541,3,22.258737432799997,1.351069918226625,200.4,0.6782329983125267,bi_a500_b500_p03%_v3.col
500,500,1000,3,7501,4,29.2172856088,5.502817495096586,199.4,1.0295630140987,bi_a500_b500_p03%_v4.col
500,500,1000,3,7478,5,27.311350967799996,1.5179267004513712,199.2,0.7348469228349535,bi_a500_b500_p03%_v5.col
500,500,1000,5,12417,3,43.6728022564,5.770487078843617,293.0,1.51657508881031,bi_a500_b500_p05%_v3.col
500,500,1000,5,12678,4,35.352150665799996,5.157499878386215,298.8,1.2,bi_a500_b500_p05%_v4.col
500,500,1000,5,12596,5,40.8550731902,2.5586303304672557,296.4,0.5099019513592785,bi_a500_b500_p05%_v5.col
500,500,1000,10,25214,3,137.8023206542,5.865383344832121,516.0,1.673320053068151,bi_a500_b500_p10%_v3.col
500,500,1000,10,25129,4,131.344735242,17.682568859223085,511.8,2.2226110770892866,bi_a500_b500_p10%_v4.col
500,500,1000,10,24870,5,131.1852709832,19.72204325752083,510.0,1.4491376746189437,bi_a500_b500_p10%_v5.col
