a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,92,1,2.5494821924,1.6133891602049224,38.2,0.58309518948453,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,1.015510827,0.17858033106385676,36.4,0.39999999999999997,bi_a100_b100_p01%_v2.col
100,100,200,3,306,1,2.9764907552000004,0.2653089985782487,34.0,0.6324555320336759,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,2.8551111862,0.25794766295319105,33.4,0.6782329983125267,bi_a100_b100_p03%_v2.col
100,100,200,5,497,1,3.6823113928,0.200172117293181,40.0,0.4472135954999579,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,2.9259952922000005,0.254035907283863,39.8,0.3741657386773941,bi_a100_b100_p05%_v2.col
100,100,200,10,971,1,4.413787543,0.4959123177706693,62.8,0.3741657386773941,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,4.8244378658,0.4671866218064807,60.6,0.24494897427831777,bi_a100_b100_p10%_v2.col
100,100,200,20,1973,1,8.457229713200002,0.5975629533459438,105.6,0.5099019513592785,bi_a100_b100_p20%_v1.col
100,100,200,20,2003,2,8.814647796,1.220533962149367,107.4,0.7483314773547882,bi_a100_b100_p20%_v2.col
100,100,200,30,2897,1,13.546968970200002,0.6686946254364953,138.4,0.5099019513592785,bi_a100_b100_p30%_v1.col
100,100,200,30,3016,2,14.2342336854,1.1688351872608596,142.4,0.6,bi_a100_b100_p30%_v2.col
100,100,200,40,3953,1,21.256453948799997,1.1741463924450293,158.6,0.5099019513592785,bi_a100_b100_p40%_v1.col
100,100,200,40,4048,2,19.980959808199998,1.2511628251637188,162.8,0.58309518948453,bi_a100_b100_p40%_v2.col
100,100,200,50,5022,1,25.522773590199996,1.5102426352943539,173.0,0.31622776601683794,bi_a100_b100_p50%_v1.col
100,100,200,50,5019,2,28.012850413000002,3.7413993326697796,173.0,0.31622776601683794,bi_a100_b100_p50%_v2.col
100,100,200,60,6000,1,33.4698785976,2.4808776508897377,181.4,0.24494897427831777,bi_a100_b100_p60%_v1.col
100,100,200,60,5978,2,29.710202079600002,1.2901584263692276,181.4,0.24494897427831777,bi_a100_b100_p60%_v2.col
100,100,200,70,7039,1,33.1285700612,3.6644571690201784,187.0,0.0,bi_a100_b100_p70%_v1.col
100,100,200,70,7044,2,27.3864685582,1.3099000603980402,187.2,0.19999999999999998,bi_a100_b100_p70%_v2.col
100,100,200,80,8007,1,29.877379813199997,1.4089681596044852,190.6,0.24494897427831777,bi_a100_b100_p80%_v1.col
100,100,200,80,7988,2,32.008978096199996,1.6290748805406845,190.0,0.31622776601683794,bi_a100_b100_p80%_v2.col
100,100,200,90,9021,1,31.299669604199998,1.0878365410193611,194.0,0.0,bi_a100_b100_p90%_v1.col
100,100,200,90,8994,2,42.394237068399995,3.8483167491730637,193.8,0.2,bi_a100_b100_p90%_v2.col
100,500,600,1,525,1,9.5845953432,0.7956389766450563,63.6,1.2083045973594573,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,8.368761740999998,0.4401037063232544,63.0,1.7888543819998317,bi_a100_b500_p01%_v2.col
100,500,600,3,1537,1,12.849816983,0.40031900822861266,77.4,1.3638181696985854,bi_a100_b500_p03%_v1.col
100,500,600,3,1444,2,13.4268157334,1.3419384024136285,72.2,0.6633249580710798,bi_a100_b500_p03%_v2.col
100,500,600,5,2497,1,13.126818630600003,1.1473363440586324,96.4,0.5099019513592785,bi_a100_b500_p05%_v1.col
100,500,600,5,2502,2,14.8608306132,1.7736809092207082,97.0,0.9486832980505137,bi_a100_b500_p05%_v2.col
100,500,600,10,5152,1,32.813697461,3.166099743572187,162.6,0.7483314773547882,bi_a100_b500_p10%_v1.col
100,500,600,10,4977,2,43.0279964242,6.609093035850061,156.0,0.5477225575051661,bi_a100_b500_p10%_v2.col
100,500,600,20,10077,1,158.5061852552,18.205262567866782,330.2,1.1135528725660042,bi_a100_b500_p20%_v1.col
100,500,600,20,10063,2,158.0846890518,18.673837219997726,326.8,0.7999999999999999,bi_a100_b500_p20%_v2.col
100,500,600,30,15047,1,229.2474203442,20.114250705810736,511.0,0.8366600265340755,bi_a100_b500_p30%_v1.col
100,500,600,30,15090,2,180.43871486580002,6.699025508581254,519.6,0.5099019513592785,bi_a100_b500_p30%_v2.col
