a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,92,1,1.0880876138,0.7715966898562197,41.8,0.7348469228349533,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,0.29401330039999996,0.060866052034107596,38.0,0.8366600265340755,bi_a100_b100_p01%_v2.col
100,100,200,1,100,3,0.2865092494,0.05247705080032433,35.2,0.58309518948453,bi_a100_b100_p01%_v3.col
100,100,200,1,78,4,0.16976623759999998,0.008315335104365008,36.0,0.5477225575051661,bi_a100_b100_p01%_v4.col
100,100,200,1,95,5,0.27011039379999996,0.08293296909849862,39.2,1.5297058540778354,bi_a100_b100_p01%_v5.col
100,100,200,3,306,1,0.5426320254,0.06987104142012497,48.6,1.4,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,0.5301616138,0.08338247001454005,46.2,1.5297058540778354,bi_a100_b100_p03%_v2.col
100,100,200,3,331,3,0.6676524667999999,0.0878445690831671,46.6,0.9797958971132713,bi_a100_b100_p03%_v3.col
100,100,200,3,289,4,0.6301661756,0.09964827656809064,43.0,1.0488088481701516,bi_a100_b100_p03%_v4.col
100,100,200,3,294,5,0.6308153678,0.08494593524084856,44.8,1.9849433241279208,bi_a100_b100_p03%_v5.col
100,100,200,5,497,1,0.5292479548,0.04930412096883025,48.4,0.8717797887081347,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,0.8419464723999999,0.10945301768001153,45.8,1.5297058540778354,bi_a100_b100_p05%_v2.col
100,100,200,5,529,3,0.7273767553999999,0.10817984098614067,47.4,1.5033296378372907,bi_a100_b100_p05%_v3.col
100,100,200,5,483,4,0.6847894094,0.08654519770770808,45.2,1.3190905958272918,bi_a100_b100_p05%_v4.col
100,100,200,5,479,5,0.7122380467999999,0.10085033676901445,44.2,1.3190905958272916,bi_a100_b100_p05%_v5.col
100,100,200,10,971,1,1.0089327870000002,0.13666120660941494,65.2,0.3741657386773941,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,0.819733737,0.0487473892780064,63.4,0.24494897427831777,bi_a100_b100_p10%_v2.col
100,100,200,10,1030,3,0.8801320492,0.1104659850839071,68.4,0.24494897427831777,bi_a100_b100_p10%_v3.col
100,100,200,10,992,4,0.9023371342000001,0.05901037557949535,66.4,0.5099019513592785,bi_a100_b100_p10%_v4.col
100,100,200,10,1020,5,0.966431721,0.08908341044515598,67.8,0.3741657386773941,bi_a100_b100_p10%_v5.col
100,500,600,1,525,1,1.5941203647999997,0.17123696085179269,85.6,2.3366642891095846,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,2.0863545182,0.17948768260483855,81.0,2.3874672772626644,bi_a100_b500_p01%_v2.col
100,500,600,1,518,3,2.0824172852000005,0.13941182472059344,82.0,2.3021728866442674,bi_a100_b500_p01%_v3.col
100,500,600,1,503,4,2.1189799548,0.1534225898852282,75.6,1.3638181696985854,bi_a100_b500_p01%_v4.col
100,500,600,1,511,5,1.8336871843999998,0.14490578092162149,82.0,3.5637059362410923,bi_a100_b500_p01%_v5.col
100,500,600,3,1537,1,2.8362075368,0.3198111839996234,84.4,1.16619037896906,bi_a100_b500_p03%_v1.col
100,500,600,3,1444,2,3.076453557,0.4498764973202266,81.2,2.177154105707724,bi_a100_b500_p03%_v2.col
