a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,92,1,3.1225062358,1.891806031336841,39.6,0.7483314773547882,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,1.3116167676,0.1584060154414764,35.6,0.6782329983125268,bi_a100_b100_p01%_v2.col
100,100,200,3,306,1,4.258768776400001,0.4296206895661211,35.2,1.0677078252031311,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,3.4861763429999995,0.3388889953016936,35.6,0.9273618495495705,bi_a100_b100_p03%_v2.col
100,100,200,5,497,1,3.7216599212000006,0.267735500540723,41.2,0.3741657386773941,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,4.4592242406,0.4300018146516578,41.2,0.3741657386773941,bi_a100_b100_p05%_v2.col
100,100,200,10,971,1,5.926560122,0.8513582061763771,62.8,0.58309518948453,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,4.747083444199999,0.24901594306657165,61.0,0.4472135954999579,bi_a100_b100_p10%_v2.col
100,100,200,20,1973,1,14.115924335799999,1.6441049814318898,104.2,0.7348469228349533,bi_a100_b100_p20%_v1.col
100,100,200,20,2003,2,10.434872327799999,0.5056794108863989,108.4,0.39999999999999997,bi_a100_b100_p20%_v2.col
100,100,200,30,2897,1,18.861952722199998,1.1211084461076197,138.8,0.8602325267042626,bi_a100_b100_p30%_v1.col
100,100,200,30,3016,2,20.1869496916,1.0882882477740332,143.0,0.31622776601683794,bi_a100_b100_p30%_v2.col
100,100,200,40,3953,1,31.2853217416,3.6340561985438993,159.8,0.3741657386773941,bi_a100_b100_p40%_v1.col
100,100,200,40,4048,2,25.036981392199998,1.1495242939960884,163.2,0.2,bi_a100_b100_p40%_v2.col
100,100,200,50,5022,1,38.5763902012,4.83543064540941,173.2,0.3741657386773941,bi_a100_b100_p50%_v1.col
100,100,200,50,5019,2,35.2624329448,2.5009575798575714,172.8,0.3741657386773941,bi_a100_b100_p50%_v2.col
100,100,200,60,6000,1,39.6489491942,1.779962334164249,181.8,0.19999999999999998,bi_a100_b100_p60%_v1.col
100,100,200,60,5978,2,43.49327790899999,3.379845778444446,180.8,0.3741657386773941,bi_a100_b100_p60%_v2.col
100,100,200,70,7039,1,45.6721648356,3.1545050662751892,186.8,0.19999999999999998,bi_a100_b100_p70%_v1.col
100,100,200,70,7044,2,46.442395511200004,6.4019227697860135,186.8,0.19999999999999998,bi_a100_b100_p70%_v2.col
100,100,200,80,8007,1,76.4116744378,8.352912324364645,190.2,0.19999999999999998,bi_a100_b100_p80%_v1.col
100,100,200,80,7988,2,61.2499504766,3.655971778175453,190.2,0.19999999999999998,bi_a100_b100_p80%_v2.col
100,100,200,90,9021,1,57.377457611,0.8165689012519455,194.0,0.0,bi_a100_b100_p90%_v1.col
100,100,200,90,8994,2,57.6151520726,1.4275963047964566,193.8,0.19999999999999998,bi_a100_b100_p90%_v2.col
100,500,600,1,525,1,14.6246910378,2.622849507442411,62.6,2.5019992006393603,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,13.0663586592,1.0905359649795547,61.4,0.9273618495495702,bi_a100_b500_p01%_v2.col
100,500,600,3,1537,1,17.0065977272,2.257218501744988,78.0,1.7320508075688772,bi_a100_b500_p03%_v1.col
100,500,600,3,1444,2,20.7705306756,0.7826025643089636,72.2,0.969535971483266,bi_a100_b500_p03%_v2.col
100,500,600,5,2497,1,18.1937328826,1.1687589282013433,97.2,0.3741657386773941,bi_a100_b500_p05%_v1.col
100,500,600,5,2502,2,20.4366622998,1.2496156275223274,96.0,0.7071067811865476,bi_a100_b500_p05%_v2.col
100,500,600,10,5152,1,41.43953260439999,3.21821601029217,162.8,0.58309518948453,bi_a100_b500_p10%_v1.col
100,500,600,10,4977,2,35.360938569,1.378665432105582,158.0,0.31622776601683794,bi_a100_b500_p10%_v2.col
100,500,600,20,10077,1,189.2016977956,24.393021257944284,331.0,1.51657508881031,bi_a100_b500_p20%_v1.col
100,500,600,20,10063,2,180.42407874000003,15.086986009160684,327.4,1.8601075237738274,bi_a100_b500_p20%_v2.col
100,500,600,30,15047,1,294.70667010959994,27.765969895765625,510.8,1.019803902718557,bi_a100_b500_p30%_v1.col
100,500,600,30,15090,2,290.8599520538,48.61914426223907,519.0,0.31622776601683794,bi_a100_b500_p30%_v2.col
100,500,600,40,20050,1,422.09011857839994,42.0884625852747,550.4,0.6782329983125267,bi_a100_b500_p40%_v1.col
100,500,600,40,19920,2,382.7322304032,40.61366984065331,549.2,0.3741657386773941,bi_a100_b500_p40%_v2.col
100,500,600,50,25075,1,489.5964169252,69.76859686525566,567.0,0.5477225575051661,bi_a100_b500_p50%_v1.col
100,500,600,50,24945,2,559.8307640114,81.87665324207133,567.2,0.58309518948453,bi_a100_b500_p50%_v2.col
