a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
250,750,1000,1,1861,1,20.2330407408,1.849620425554367,164.8,3.184336665618131,bi_a250_b750_p01%_v1.col
250,750,1000,1,1820,2,17.9667318346,2.4166020296766284,169.6,5.297169055259611,bi_a250_b750_p01%_v2.col
250,750,1000,1,1864,3,17.3283035596,2.336988560322587,168.6,5.818934610390462,bi_a250_b750_p01%_v3.col
250,750,1000,1,1758,4,17.3963193188,2.7499680201889007,164.6,3.6959437225152656,bi_a250_b750_p01%_v4.col
250,750,1000,1,1841,5,12.674195758,2.9168924400095007,175.6,6.217716622683925,bi_a250_b750_p01%_v5.col
250,750,1000,3,5697,1,12.533402791399999,1.4925833271056508,166.4,0.8717797887081347,bi_a250_b750_p03%_v1.col
250,750,1000,3,5536,2,11.5175364098,1.4369136093632484,164.8,0.7348469228349535,bi_a250_b750_p03%_v2.col
250,750,1000,3,5674,3,14.9015753528,1.6917267850603017,164.4,0.39999999999999997,bi_a250_b750_p03%_v3.col
250,750,1000,3,5589,4,11.8615206564,0.8650830437731821,164.0,0.7745966692414833,bi_a250_b750_p03%_v4.col
250,750,1000,3,5531,5,13.815391717,1.2632605010023883,162.8,1.3928388277184118,bi_a250_b750_p03%_v5.col
250,750,1000,5,9230,1,16.9328827682,1.3972431357710948,222.8,0.58309518948453,bi_a250_b750_p05%_v1.col
250,750,1000,5,9292,2,14.127102079,1.2712999733937527,225.2,0.2,bi_a250_b750_p05%_v2.col
250,750,1000,5,9269,3,13.161359151400001,0.5633590715406446,225.2,0.3741657386773941,bi_a250_b750_p05%_v3.col
250,750,1000,5,9426,4,18.1296745278,1.6816533452909252,225.8,0.58309518948453,bi_a250_b750_p05%_v4.col
250,750,1000,5,9407,5,15.149368220600001,1.7231815871978438,227.6,0.6782329983125267,bi_a250_b750_p05%_v5.col
250,750,1000,10,18794,1,41.299985038799996,4.871889047384568,399.6,1.0295630140987,bi_a250_b750_p10%_v1.col
250,750,1000,10,18648,2,40.1558556506,2.9225658775900336,396.0,0.5477225575051661,bi_a250_b750_p10%_v2.col
250,750,1000,10,18933,3,43.503821188,6.73989292517083,402.8,1.1575836902790224,bi_a250_b750_p10%_v3.col
250,750,1000,10,18581,4,41.822188218,4.2747104426586615,394.2,0.48989794855663565,bi_a250_b750_p10%_v4.col
250,750,1000,10,18713,5,45.3051081724,5.812097911334866,398.4,0.6782329983125267,bi_a250_b750_p10%_v5.col
