a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,100,3,1.1757010454,0.9451890121971087,34.4,0.39999999999999997,bi_a100_b100_p01%_v3.col
100,100,200,1,78,4,0.25943132080000003,0.05461264923088544,34.6,0.39999999999999997,bi_a100_b100_p01%_v4.col
100,100,200,1,95,5,0.3311594476,0.08703929397137881,37.2,0.3741657386773941,bi_a100_b100_p01%_v5.col
100,100,200,3,331,3,0.7555413932,0.109670615590413,41.6,1.208304597359457,bi_a100_b100_p03%_v3.col
100,100,200,3,289,4,0.6370344254,0.08389088948457556,44.0,0.5477225575051661,bi_a100_b100_p03%_v4.col
100,100,200,3,294,5,0.8565792496,0.12917884818807576,41.4,0.39999999999999997,bi_a100_b100_p03%_v5.col
100,100,200,5,529,3,1.0424532884,0.22573298646326245,43.8,0.6633249580710798,bi_a100_b100_p05%_v3.col
100,100,200,5,483,4,0.979705082,0.1644183823047769,43.8,0.58309518948453,bi_a100_b100_p05%_v4.col
100,100,200,5,479,5,0.8692164538,0.11448763417445725,41.0,0.5477225575051661,bi_a100_b100_p05%_v5.col
100,100,200,10,1030,3,1.210314275,0.15009908562008015,66.2,0.3741657386773941,bi_a100_b100_p10%_v3.col
100,100,200,10,992,4,0.9516472118000001,0.17060489465248993,65.4,0.5099019513592785,bi_a100_b100_p10%_v4.col
100,100,200,10,1020,5,1.2358336521999997,0.14419942388593213,65.8,0.3741657386773941,bi_a100_b100_p10%_v5.col
100,500,600,1,518,3,2.3832986033999997,0.3816088259133631,82.0,1.5491933384829666,bi_a100_b500_p01%_v3.col
100,500,600,1,503,4,2.0758283726,0.3456697142173822,77.8,2.6720778431774774,bi_a100_b500_p01%_v4.col
100,500,600,1,511,5,2.1188131044,0.3985699719181796,81.4,2.8913664589601917,bi_a100_b500_p01%_v5.col
100,500,600,3,1499,3,2.131626115,0.3315041123721032,87.6,0.9273618495495702,bi_a100_b500_p03%_v3.col
100,500,600,3,1505,4,2.8692472629999997,0.5160786270222916,85.2,1.2409673645990857,bi_a100_b500_p03%_v4.col
100,500,600,3,1550,5,2.989519125,0.36445554531269575,85.2,0.8602325267042625,bi_a100_b500_p03%_v5.col
100,500,600,5,2543,3,4.4105268692,0.20880683917081114,100.2,0.3741657386773941,bi_a100_b500_p05%_v3.col
100,500,600,5,2442,4,4.586763202,0.3154228631100532,97.6,0.5099019513592785,bi_a100_b500_p05%_v4.col
100,500,600,5,2454,5,3.35078446,0.46078003538674395,98.2,0.3741657386773941,bi_a100_b500_p05%_v5.col
100,500,600,10,5109,3,7.016329326599999,1.0574070827331314,162.0,0.5477225575051661,bi_a100_b500_p10%_v3.col
100,500,600,10,4929,4,7.809793581999999,1.0838539429487015,157.2,0.19999999999999998,bi_a100_b500_p10%_v4.col
100,500,600,10,5103,5,8.609505410999999,0.8297413256514766,162.0,0.4472135954999579,bi_a100_b500_p10%_v5.col
500,500,1000,1,2522,3,33.750947204599996,7.223071012066148,215.6,9.019977827023745,bi_a500_b500_p01%_v3.col
500,500,1000,1,2462,4,23.4810949206,2.943159185152087,212.4,4.884669896727925,bi_a500_b500_p01%_v4.col
500,500,1000,1,2493,5,23.435722422,5.617067087061797,220.4,5.316013544000805,bi_a500_b500_p01%_v5.col
500,500,1000,3,7541,3,16.1434938398,1.122546133321204,200.6,0.6,bi_a500_b500_p03%_v3.col
500,500,1000,3,7501,4,16.3961524798,3.502209659589332,201.2,0.916515138991168,bi_a500_b500_p03%_v4.col
500,500,1000,3,7478,5,18.662036817,1.59870896921699,199.2,0.6633249580710799,bi_a500_b500_p03%_v5.col
500,500,1000,5,12417,3,23.7047613288,2.3701566047585048,295.0,1.0488088481701516,bi_a500_b500_p05%_v3.col
500,500,1000,5,12678,4,24.160014258,2.179419751948947,300.4,0.6,bi_a500_b500_p05%_v4.col
500,500,1000,5,12596,5,23.8241723342,1.4861530681562969,298.2,0.8602325267042626,bi_a500_b500_p05%_v5.col
500,500,1000,10,25214,3,35.200822543799994,2.3821072398143985,525.2,0.7348469228349535,bi_a500_b500_p10%_v3.col
500,500,1000,10,25129,4,49.3561247664,6.938574978737442,521.8,1.2806248474865696,bi_a500_b500_p10%_v4.col
500,500,1000,10,24870,5,50.330056408999994,8.881936952346614,517.4,0.7483314773547882,bi_a500_b500_p10%_v5.col
