instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,31,1.9477e-5,31,2.9846e-5,31,3.2014e-5
galaxy_a01_b10_c100_v2.col,1,10,100,2,80,79,80,6.7431e-5,80,4.7039e-5,80,4.7675e-5
galaxy_a01_b10_c100_v3.col,1,10,100,3,98,97,98,8.6914e-5,98,5.2289e-5,98,5.2868e-5
galaxy_a01_b10_c100_v4.col,1,10,100,4,22,21,22,1.0969e-5,22,9.605e-6,22,1.0608e-5
galaxy_a01_b10_c100_v5.col,1,10,100,5,52,51,52,3.4538e-5,52,2.502e-5,52,3.8121e-5
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,19,1.0123e-5,19,8.345e-6,19,9.701e-6
galaxy_a01_b10_c20_v2.col,1,10,20,2,15,14,15,7.434e-6,15,8.529e-6,15,7.92e-6
galaxy_a01_b10_c20_v3.col,1,10,20,3,11,10,11,5.399e-6,11,4.23e-6,11,5.1e-6
galaxy_a01_b10_c20_v4.col,1,10,20,4,14,13,14,6.122e-6,14,5.452e-6,14,6.078e-6
galaxy_a01_b10_c20_v5.col,1,10,20,5,15,14,15,6.115e-6,15,5.738e-6,15,6.224e-6
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,16,6.313e-6,16,5.513e-6,16,8.698e-6
galaxy_a01_b10_c30_v2.col,1,10,30,2,13,12,13,6.073e-6,13,6.358e-6,13,5.831e-6
galaxy_a01_b10_c30_v3.col,1,10,30,3,27,26,27,1.2515e-5,27,2.333e-5,27,1.0888e-5
galaxy_a01_b10_c30_v4.col,1,10,30,4,20,19,20,8.631e-6,20,6.76e-6,20,8.185e-6
galaxy_a01_b10_c30_v5.col,1,10,30,5,21,20,21,9.649e-6,21,7.736e-6,21,8.297e-6
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,33,1.59e-5,33,1.31e-5,33,1.3997e-5
galaxy_a01_b10_c40_v2.col,1,10,40,2,18,17,18,7.193e-6,18,6.663e-6,18,7.187e-6
galaxy_a01_b10_c40_v3.col,1,10,40,3,34,33,34,1.5467e-5,34,1.4721e-5,34,1.2361e-5
galaxy_a01_b10_c40_v4.col,1,10,40,4,23,22,23,9.299e-6,23,8.444e-6,23,8.948e-6
galaxy_a01_b10_c40_v5.col,1,10,40,5,32,31,32,1.5115e-5,32,1.319e-5,32,1.2245e-5
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,12,5.326e-6,12,4.707e-6,12,6.834e-6
galaxy_a01_b10_c50_v2.col,1,10,50,2,11,10,11,5.549e-6,11,4.124e-6,11,5.811e-6
galaxy_a01_b10_c50_v3.col,1,10,50,3,29,28,29,1.5309e-5,29,1.3594e-5,29,1.4438e-5
galaxy_a01_b10_c50_v4.col,1,10,50,4,37,36,37,2.122e-5,37,1.7016e-5,37,1.5171e-5
galaxy_a01_b10_c50_v5.col,1,10,50,5,31,30,31,1.5414e-5,31,1.2868e-5,31,1.2988e-5
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,15,7.36e-6,15,5.925e-6,15,6.808e-6
galaxy_a01_b10_c60_v2.col,1,10,60,2,40,39,40,2.1961e-5,40,1.5956e-5,40,1.7052e-5
galaxy_a01_b10_c60_v3.col,1,10,60,3,18,17,18,8.116e-6,18,8.181e-6,18,8.005e-6
galaxy_a01_b10_c60_v4.col,1,10,60,4,18,17,18,7.08e-6,18,8.655e-6,18,7.285e-6
galaxy_a01_b10_c60_v5.col,1,10,60,5,55,54,55,3.9937e-5,55,2.9921e-5,55,3.0063e-5
galaxy_a01_b10_c70_v1.col,1,10,70,1,33,32,33,2.0507e-5,33,1.3955e-5,33,1.2921e-5
galaxy_a01_b10_c70_v2.col,1,10,70,2,19,18,19,9.366e-6,19,6.842e-6,19,8.888e-6
galaxy_a01_b10_c70_v3.col,1,10,70,3,71,70,71,5.535e-5,71,3.8973e-5,71,3.7241e-5
galaxy_a01_b10_c70_v4.col,1,10,70,4,24,23,24,1.0412e-5,24,1.0634e-5,24,8.718e-6
galaxy_a01_b10_c70_v5.col,1,10,70,5,43,42,43,2.4125e-5,43,1.841e-5,43,1.7492e-5
galaxy_a01_b10_c80_v1.col,1,10,80,1,39,38,39,2.041e-5,39,1.5907e-5,39,1.5601e-5
galaxy_a01_b10_c80_v2.col,1,10,80,2,75,74,75,6.5693e-5,75,4.1312e-5,75,4.2325e-5
galaxy_a01_b10_c80_v3.col,1,10,80,3,64,63,64,5.247e-5,64,3.4854e-5,64,3.5442e-5
galaxy_a01_b10_c80_v4.col,1,10,80,4,81,80,81,0.00012163,81,4.6835e-5,81,4.4756e-5
galaxy_a01_b10_c80_v5.col,1,10,80,5,15,14,15,6.072e-6,15,6.554e-6,15,6.451e-6
galaxy_a01_b10_c90_v1.col,1,10,90,1,26,25,26,1.0928e-5,26,1.0481e-5,26,1.01e-5
galaxy_a01_b10_c90_v2.col,1,10,90,2,79,78,79,7.3508e-5,79,4.3009e-5,79,4.617e-5
galaxy_a01_b10_c90_v3.col,1,10,90,3,54,53,54,3.6558e-5,54,2.8406e-5,54,2.7616e-5
galaxy_a01_b10_c90_v4.col,1,10,90,4,77,76,77,6.2524e-5,77,4.5903e-5,77,4.0629e-5
galaxy_a01_b10_c90_v5.col,1,10,90,5,69,68,69,5.2699e-5,69,4.5397e-5,69,3.4212e-5
galaxy_a05_b10_c100_v1.col,5,10,100,1,245,240,241,0.000754258,74,0.00014373,241,0.000615383
galaxy_a05_b10_c100_v2.col,5,10,100,2,318,313,314,0.001230295,91,0.000204936,314,0.001048791
galaxy_a05_b10_c100_v3.col,5,10,100,3,304,299,300,0.001116589,93,0.000194691,300,0.000905545
galaxy_a05_b10_c100_v4.col,5,10,100,4,179,174,175,0.000404453,67,0.00010734,175,0.000340426
galaxy_a05_b10_c100_v5.col,5,10,100,5,251,246,247,0.000774379,77,0.000151241,247,0.00063869
galaxy_a05_b10_c20_v1.col,5,10,20,1,63,58,59,7.3531e-5,18,2.4781e-5,59,6.3152e-5
galaxy_a05_b10_c20_v2.col,5,10,20,2,81,76,77,9.3848e-5,20,3.1368e-5,77,8.2059e-5
galaxy_a05_b10_c20_v3.col,5,10,20,3,81,76,77,9.1832e-5,19,3.1239e-5,77,8.3718e-5
galaxy_a05_b10_c20_v4.col,5,10,20,4,68,63,64,6.8767e-5,19,2.8672e-5,64,6.0088e-5
galaxy_a05_b10_c20_v5.col,5,10,20,5,80,75,76,9.1991e-5,20,3.3113e-5,76,7.941e-5
galaxy_a05_b10_c30_v1.col,5,10,30,1,108,103,104,0.000155261,31,4.2506e-5,104,0.000133382
galaxy_a05_b10_c30_v2.col,5,10,30,2,111,106,107,0.000159844,31,4.6769e-5,107,0.000138201
galaxy_a05_b10_c30_v3.col,5,10,30,3,108,103,104,0.000155877,27,4.5355e-5,104,0.000134576
galaxy_a05_b10_c30_v4.col,5,10,30,4,96,91,92,0.000124663,29,4.0049e-5,92,0.000106763
galaxy_a05_b10_c30_v5.col,5,10,30,5,102,97,98,0.000141742,31,4.0822e-5,98,0.000119181
galaxy_a05_b10_c40_v1.col,5,10,40,1,149,144,145,0.000285309,40,7.7863e-5,145,0.000233251
galaxy_a05_b10_c40_v2.col,5,10,40,2,161,156,157,0.000330537,41,8.0834e-5,157,0.000286478
galaxy_a05_b10_c40_v3.col,5,10,40,3,142,137,138,0.000257969,40,6.252e-5,138,0.000224631
galaxy_a05_b10_c40_v4.col,5,10,40,4,118,113,114,0.000182364,32,4.8659e-5,114,0.000156027
galaxy_a05_b10_c40_v5.col,5,10,40,5,162,157,158,0.00034068,42,7.0332e-5,158,0.000278281
galaxy_a05_b10_c50_v1.col,5,10,50,1,165,160,161,0.000343891,48,7.5405e-5,161,0.000306409
galaxy_a05_b10_c50_v2.col,5,10,50,2,130,125,126,0.00022035,35,5.4565e-5,126,0.000183286
galaxy_a05_b10_c50_v3.col,5,10,50,3,150,145,146,0.000283132,51,6.8083e-5,146,0.000237206
galaxy_a05_b10_c50_v4.col,5,10,50,4,156,151,152,0.000311755,45,6.9967e-5,152,0.000274115
galaxy_a05_b10_c50_v5.col,5,10,50,5,150,145,146,0.000291317,41,7.4141e-5,146,0.000244073
galaxy_a05_b10_c60_v1.col,5,10,60,1,158,153,154,0.000319015,47,7.3486e-5,154,0.000276283
galaxy_a05_b10_c60_v2.col,5,10,60,2,166,161,162,0.00034851,41,7.6512e-5,162,0.000294545
galaxy_a05_b10_c60_v3.col,5,10,60,3,216,211,212,0.000588432,61,0.000120043,212,0.000500061
galaxy_a05_b10_c60_v4.col,5,10,60,4,222,217,218,0.000621544,60,0.000127398,218,0.000510432
galaxy_a05_b10_c60_v5.col,5,10,60,5,147,142,143,0.0002836,58,6.54e-5,143,0.000225173
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,186,0.00045883,67,0.000102784,186,0.000386902
galaxy_a05_b10_c70_v2.col,5,10,70,2,166,161,162,0.000338802,70,7.7829e-5,162,0.000278906
galaxy_a05_b10_c70_v3.col,5,10,70,3,178,173,174,0.000412276,67,9.1324e-5,174,0.000340471
galaxy_a05_b10_c70_v4.col,5,10,70,4,264,259,260,0.000862419,68,0.000153966,260,0.000723258
galaxy_a05_b10_c70_v5.col,5,10,70,5,265,260,261,0.000857514,67,0.000151847,261,0.000726075
