instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,31,1.9477e-5,Satur
galaxy_a01_b10_c100_v2.col,1,10,100,2,80,79,80,4.7039e-5,MinGrau
galaxy_a01_b10_c100_v3.col,1,10,100,3,98,97,98,5.2289e-5,MinGrau
galaxy_a01_b10_c100_v4.col,1,10,100,4,22,21,22,9.605e-6,MinGrau
galaxy_a01_b10_c100_v5.col,1,10,100,5,52,51,52,2.502e-5,MinGrau
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,19,8.345e-6,MinGrau
galaxy_a01_b10_c20_v2.col,1,10,20,2,15,14,15,7.434e-6,Satur
galaxy_a01_b10_c20_v3.col,1,10,20,3,11,10,11,4.23e-6,MinGrau
galaxy_a01_b10_c20_v4.col,1,10,20,4,14,13,14,5.452e-6,MinGrau
galaxy_a01_b10_c20_v5.col,1,10,20,5,15,14,15,5.738e-6,MinGrau
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,16,5.513e-6,MinGrau
galaxy_a01_b10_c30_v2.col,1,10,30,2,13,12,13,5.831e-6,MaxGrau
galaxy_a01_b10_c30_v3.col,1,10,30,3,27,26,27,1.0888e-5,MaxGrau
galaxy_a01_b10_c30_v4.col,1,10,30,4,20,19,20,6.76e-6,MinGrau
galaxy_a01_b10_c30_v5.col,1,10,30,5,21,20,21,7.736e-6,MinGrau
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,33,1.31e-5,MinGrau
galaxy_a01_b10_c40_v2.col,1,10,40,2,18,17,18,6.663e-6,MinGrau
galaxy_a01_b10_c40_v3.col,1,10,40,3,34,33,34,1.2361e-5,MaxGrau
galaxy_a01_b10_c40_v4.col,1,10,40,4,23,22,23,8.444e-6,MinGrau
galaxy_a01_b10_c40_v5.col,1,10,40,5,32,31,32,1.2245e-5,MaxGrau
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,12,4.707e-6,MinGrau
galaxy_a01_b10_c50_v2.col,1,10,50,2,11,10,11,4.124e-6,MinGrau
galaxy_a01_b10_c50_v3.col,1,10,50,3,29,28,29,1.3594e-5,MinGrau
galaxy_a01_b10_c50_v4.col,1,10,50,4,37,36,37,1.5171e-5,MaxGrau
galaxy_a01_b10_c50_v5.col,1,10,50,5,31,30,31,1.2868e-5,MinGrau
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,15,5.925e-6,MinGrau
galaxy_a01_b10_c60_v2.col,1,10,60,2,40,39,40,1.5956e-5,MinGrau
galaxy_a01_b10_c60_v3.col,1,10,60,3,18,17,18,8.005e-6,MaxGrau
galaxy_a01_b10_c60_v4.col,1,10,60,4,18,17,18,7.08e-6,Satur
galaxy_a01_b10_c60_v5.col,1,10,60,5,55,54,55,2.9921e-5,MinGrau
galaxy_a01_b10_c70_v1.col,1,10,70,1,33,32,33,1.2921e-5,MaxGrau
galaxy_a01_b10_c70_v2.col,1,10,70,2,19,18,19,6.842e-6,MinGrau
galaxy_a01_b10_c70_v3.col,1,10,70,3,71,70,71,3.7241e-5,MaxGrau
