instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,31.0,0.0,0.52197,0.5186,103.6959228515625,41.95289154052735
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,19.0,0.0,0.00203,0.0,26.43445587158203,26.421002197265626
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,16.0,0.0,0.0018,0.0001,26.537384033203125,26.500273132324217
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,33.0,0.0,0.00351,0.0,26.703956604003906,26.702961730957032
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,12.0,0.0,0.00142,0.0,26.484695434570312,26.447477722167967
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,15.0,0.0,0.00163,0.0,26.517074584960938,26.479869079589843
galaxy_a01_b10_c70_v1.col,1,10,70,1,33,32,33.0,0.0,0.0036,0.0001,26.7691650390625,26.731959533691406
galaxy_a01_b10_c80_v1.col,1,10,80,1,39,38,39.0,0.0,0.00429,0.0,26.859237670898438,26.845735168457033
galaxy_a01_b10_c90_v1.col,1,10,90,1,26,25,26.0,0.0,0.00265,0.0,26.685256958007812,26.672792053222658
galaxy_a05_b10_c100_v1.col,5,10,100,1,245,240,74.0,0.0,0.42789,0.3483,43.105133056640625,41.33818817138672
galaxy_a05_b10_c20_v1.col,5,10,20,1,63,58,18.0,0.0,0.01396,0.0,31.568252563476562,31.470228576660155
galaxy_a05_b10_c30_v1.col,5,10,30,1,108,103,31.0,0.0,0.02444,0.0,32.754432678222656,32.663734436035156
galaxy_a05_b10_c40_v1.col,5,10,40,1,149,144,40.0,0.0,0.04817,0.002,38.829444885253906,37.19555816650391
galaxy_a05_b10_c50_v1.col,5,10,50,1,165,160,48.0,0.0,0.04609,0.0023,39.21366882324219,36.93992462158203
galaxy_a05_b10_c60_v1.col,5,10,60,1,158,153,47.0,0.0,0.05409,0.0022,40.30580139160156,38.421450805664065
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,67.0,0.0,0.05958,0.0025,41.810760498046875,41.74288787841797
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,66.0,0.0,0.10359,0.0054,47.61048889160156,46.719659423828126
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,88.0,0.0,0.0832,0.0004,43.06194305419922,43.035752868652345
galaxy_a100_b10_c100_v1.col,100,10,100,1,5804,5704,133.8,2.1307,236.73215,65.1293,1715.5013809204102,933.0417236328125
galaxy_a100_b10_c20_v1.col,100,10,20,1,1608,1508,107.0,0.0,14.90091,2.8217,286.6917190551758,208.4477111816406
galaxy_a100_b10_c30_v1.col,100,10,30,1,2041,1941,109.4,0.5099,33.58412,9.6676,768.4705047607422,407.43985443115236
galaxy_a100_b10_c40_v1.col,100,10,40,1,2631,2531,110.8,0.2,32.69667,3.9239,360.17466735839844,297.1924194335937
galaxy_a100_b10_c50_v1.col,100,10,50,1,2995,2895,112.0,0.7746,51.36686,9.1287,532.5048370361328,402.07383880615237
galaxy_a100_b10_c60_v1.col,100,10,60,1,3448,3348,116.2,1.0677,56.21704,5.6725,505.11092376708984,380.29200134277346
galaxy_a100_b10_c70_v1.col,100,10,70,1,3990,3890,117.6,1.2083,123.41308,20.2227,988.8309783935547,695.0070648193359
galaxy_a100_b10_c80_v1.col,100,10,80,1,4490,4390,122.2,1.0677,135.86635,30.4963,1191.056900024414,667.1472595214843
galaxy_a100_b10_c90_v1.col,100,10,90,1,5110,5010,125.2,0.5831,303.68865,125.4619,3267.806396484375,1292.2814712524414
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,94.0,0.0,0.21269,0.0008,51.760581970214844,49.11017761230469
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,22.0,0.0,0.1442,0.0069,67.00079345703125,61.372918701171876
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,28.0,0.0,0.22704,0.0123,48.11949920654297,40.43541259765625
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,37.0,0.0,0.09981,0.001,51.255653381347656,51.17970581054688
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,51.0,0.0,0.13506,0.0006,50.236846923828125,50.13686065673828
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,61.0,0.0,0.12788,0.0073,50.84058380126953,47.86815643310547
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,61.0,0.0,0.40806,0.0095,40.074806213378906,37.6166275024414
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,77.0,0.0,0.27795,0.009,66.64013671875,61.80419769287109
