b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,100,0.28384,0.2806,31,30,1,31.0,1,galaxy_a01_b10_c100_v1.col,0.0
10,100,0.01185,0.0001,80,79,2,80.0,1,galaxy_a01_b10_c100_v2.col,0.0
10,100,0.01387,0.0002,98,97,3,98.0,1,galaxy_a01_b10_c100_v3.col,0.0
10,100,0.00168,0.0,22,21,4,22.0,1,galaxy_a01_b10_c100_v4.col,0.0
10,100,0.00585,0.0,52,51,5,52.0,1,galaxy_a01_b10_c100_v5.col,0.0
10,20,0.0014,0.0,19,18,1,19.0,1,galaxy_a01_b10_c20_v1.col,0.0
10,20,0.00109,0.0,15,14,2,15.0,1,galaxy_a01_b10_c20_v2.col,0.0
10,20,0.00071,0.0,11,10,3,11.0,1,galaxy_a01_b10_c20_v3.col,0.0
10,20,0.00101,0.0,14,13,4,14.0,1,galaxy_a01_b10_c20_v4.col,0.0
10,20,0.00108,0.0,15,14,5,15.0,1,galaxy_a01_b10_c20_v5.col,0.0
10,30,0.00115,0.0,16,15,1,16.0,1,galaxy_a01_b10_c30_v1.col,0.0
10,30,0.00095,0.0,13,12,2,13.0,1,galaxy_a01_b10_c30_v2.col,0.0
10,30,0.00216,0.0,27,26,3,27.0,1,galaxy_a01_b10_c30_v3.col,0.0
10,30,0.00147,0.0,20,19,4,20.0,1,galaxy_a01_b10_c30_v4.col,0.0
10,30,0.00156,0.0,21,20,5,21.0,1,galaxy_a01_b10_c30_v5.col,0.0
10,40,0.00279,0.0,33,32,1,33.0,1,galaxy_a01_b10_c40_v1.col,0.0
10,40,0.00131,0.0,18,17,2,18.0,1,galaxy_a01_b10_c40_v2.col,0.0
10,40,0.0029,0.0,34,33,3,34.0,1,galaxy_a01_b10_c40_v3.col,0.0
10,40,0.00181,0.0,23,22,4,23.0,1,galaxy_a01_b10_c40_v4.col,0.0
10,40,0.01046,0.0071,32,31,5,32.0,1,galaxy_a01_b10_c40_v5.col,0.0
10,50,0.00092,0.0,12,11,1,12.0,1,galaxy_a01_b10_c50_v1.col,0.0
10,50,0.00073,0.0,11,10,2,11.0,1,galaxy_a01_b10_c50_v2.col,0.0
10,50,0.00241,0.0,29,28,3,29.0,1,galaxy_a01_b10_c50_v3.col,0.0
10,50,0.0032,0.0,37,36,4,37.0,1,galaxy_a01_b10_c50_v4.col,0.0
