b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,100,0.60004,0.5944,31,30,1,31.0,1,galaxy_a01_b10_c100_v1.col,0.0
10,100,0.01971,0.0003,80,79,2,80.0,1,galaxy_a01_b10_c100_v2.col,0.0
10,100,0.02368,0.0002,98,97,3,98.0,1,galaxy_a01_b10_c100_v3.col,0.0
10,100,0.00337,0.0001,22,21,4,22.0,1,galaxy_a01_b10_c100_v4.col,0.0
10,100,0.0108,0.0002,52,51,5,52.0,1,galaxy_a01_b10_c100_v5.col,0.0
10,20,0.00325,0.0001,19,18,1,19.0,1,galaxy_a01_b10_c20_v1.col,0.0
10,20,0.00266,0.0001,15,14,2,15.0,1,galaxy_a01_b10_c20_v2.col,0.0
10,20,0.00175,0.0001,11,10,3,11.0,1,galaxy_a01_b10_c20_v3.col,0.0
10,20,0.00251,0.0001,14,13,4,14.0,1,galaxy_a01_b10_c20_v4.col,0.0
10,20,0.0027,0.0001,15,14,5,15.0,1,galaxy_a01_b10_c20_v5.col,0.0
10,30,0.00283,0.0001,16,15,1,16.0,1,galaxy_a01_b10_c30_v1.col,0.0
10,30,0.00238,0.0001,13,12,2,13.0,1,galaxy_a01_b10_c30_v2.col,0.0
10,30,0.00463,0.0001,27,26,3,27.0,1,galaxy_a01_b10_c30_v3.col,0.0
10,30,0.00341,0.0001,20,19,4,20.0,1,galaxy_a01_b10_c30_v4.col,0.0
10,30,0.00332,0.0001,21,20,5,21.0,1,galaxy_a01_b10_c30_v5.col,0.0
10,40,0.00586,0.0002,33,32,1,33.0,1,galaxy_a01_b10_c40_v1.col,0.0
10,40,0.00309,0.0001,18,17,2,18.0,1,galaxy_a01_b10_c40_v2.col,0.0
10,40,0.00592,0.0001,34,33,3,34.0,1,galaxy_a01_b10_c40_v3.col,0.0
10,40,0.00396,0.0001,23,22,4,23.0,1,galaxy_a01_b10_c40_v4.col,0.0
10,40,0.00581,0.0001,32,31,5,32.0,1,galaxy_a01_b10_c40_v5.col,0.0
10,50,0.0023,0.0,12,11,1,12.0,1,galaxy_a01_b10_c50_v1.col,0.0
10,50,0.00184,0.0001,11,10,2,11.0,1,galaxy_a01_b10_c50_v2.col,0.0
10,50,0.00512,0.0001,29,28,3,29.0,1,galaxy_a01_b10_c50_v3.col,0.0
10,50,0.00673,0.0001,37,36,4,37.0,1,galaxy_a01_b10_c50_v4.col,0.0
10,50,0.00562,0.0001,31,30,5,31.0,1,galaxy_a01_b10_c50_v5.col,0.0
10,60,0.00275,0.0001,15,14,1,15.0,1,galaxy_a01_b10_c60_v1.col,0.0
10,60,0.00747,0.0001,40,39,2,40.0,1,galaxy_a01_b10_c60_v2.col,0.0
10,60,0.00325,0.0001,18,17,3,18.0,1,galaxy_a01_b10_c60_v3.col,0.0
10,60,0.02545,0.0226,18,17,4,18.0,1,galaxy_a01_b10_c60_v4.col,0.0
10,60,0.01355,0.0023,55,54,5,55.0,1,galaxy_a01_b10_c60_v5.col,0.0
10,70,0.00499,0.0001,33,32,1,33.0,1,galaxy_a01_b10_c70_v1.col,0.0
10,70,0.00282,0.0,19,18,2,19.0,1,galaxy_a01_b10_c70_v2.col,0.0
10,70,0.01508,0.0001,71,70,3,71.0,1,galaxy_a01_b10_c70_v3.col,0.0
10,70,0.00359,0.0001,24,23,4,24.0,1,galaxy_a01_b10_c70_v4.col,0.0
10,70,0.00721,0.0001,43,42,5,43.0,1,galaxy_a01_b10_c70_v5.col,0.0
10,80,0.00631,0.0001,39,38,1,39.0,1,galaxy_a01_b10_c80_v1.col,0.0
10,80,0.01657,0.0001,75,74,2,75.0,1,galaxy_a01_b10_c80_v2.col,0.0
10,80,0.01381,0.0,64,63,3,64.0,1,galaxy_a01_b10_c80_v3.col,0.0
10,80,0.03067,0.0037,81,80,4,81.0,1,galaxy_a01_b10_c80_v4.col,0.0
10,80,0.00221,0.0001,15,14,5,15.0,1,galaxy_a01_b10_c80_v5.col,0.0
10,90,0.00375,0.0001,26,25,1,26.0,1,galaxy_a01_b10_c90_v1.col,0.0
10,90,0.01674,0.0001,79,78,2,79.0,1,galaxy_a01_b10_c90_v2.col,0.0
10,90,0.01016,0.0001,54,53,3,54.0,1,galaxy_a01_b10_c90_v3.col,0.0
10,90,0.01572,0.0001,77,76,4,77.0,1,galaxy_a01_b10_c90_v4.col,0.0
10,90,0.01389,0.0002,69,68,5,69.0,1,galaxy_a01_b10_c90_v5.col,0.0
10,100,0.06159,0.0044,245,240,1,74.0,5,galaxy_a05_b10_c100_v1.col,0.0
10,100,0.09056,0.0023,318,313,2,91.0,5,galaxy_a05_b10_c100_v2.col,0.0
10,100,0.09113,0.01,304,299,3,93.0,5,galaxy_a05_b10_c100_v3.col,0.0
10,100,0.03936,0.0012,179,174,4,67.0,5,galaxy_a05_b10_c100_v4.col,0.0
