mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
0.00282,10,100,0.0,0.13387,0.1307,0.0,0.0001,0.0,0.0,31,30,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v1.col
0.01123,10,100,0.0,0.01179,0.0001,0.0,0.0001,0.0,0.0,80,79,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v2.col
0.01348,10,100,0.0,0.0138,0.0002,0.0,0.0002,0.0,0.0,98,97,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v3.col
0.00149,10,100,0.0,0.00164,0.0,0.0,0.0,0.0,0.0,22,21,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v4.col
0.00558,10,100,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,52,51,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v5.col
0.00124,10,20,0.0,0.00137,0.0,0.0,0.0,0.0,0.0,19,18,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v1.col
0.00094,10,20,0.0,0.00106,0.0,0.0,0.0,0.0,0.0,15,14,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v2.col
0.00057,10,20,0.0,0.00068,0.0,0.0,0.0,0.0,0.0,11,10,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v3.col
0.00086,10,20,0.0,0.00098,0.0,0.0,0.0,0.0,0.0,14,13,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v4.col
0.00092,10,20,0.0,0.00105,0.0,0.0,0.0,0.0,0.0,15,14,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v5.col
0.001,10,30,0.0,0.00112,0.0,0.0,0.0,0.0,0.0,16,15,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v1.col
0.00079,10,30,0.0,0.00093,0.0,0.0,0.0,0.0,0.0,13,12,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v2.col
0.00198,10,30,0.0,0.00214,0.0,0.0,0.0,0.0,0.0,27,26,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v3.col
0.00131,10,30,0.0,0.00144,0.0,0.0,0.0,0.0,0.0,20,19,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v4.col
0.00139,10,30,0.0,0.00153,0.0,0.0,0.0,0.0,0.0,21,20,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v5.col
0.0026,10,40,0.0,0.00276,0.0,0.0,0.0,0.0,0.0,33,32,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v1.col
0.00114,10,40,0.0,0.00128,0.0,0.0,0.0,0.0,0.0,18,17,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v2.col
0.00265,10,40,0.0,0.00286,0.0,0.0,0.0,0.0,0.0,34,33,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v3.col
0.00161,10,40,0.0,0.00177,0.0,0.0,0.0,0.0,0.0,23,22,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v4.col
0.01009,10,40,0.0,0.01041,0.0071,0.0,0.0071,0.0,0.0,32,31,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v5.col
0.00074,10,50,0.0,0.00088,0.0,0.0,0.0,0.0,0.0,12,11,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v1.col
0.00058,10,50,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,11,10,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v2.col
0.00221,10,50,0.0,0.00238,0.0,0.0,0.0,0.0,0.0,29,28,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v3.col
