mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
0.00493,10,100,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,31,30,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v1.col
0.0187,10,100,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,80,79,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v2.col
0.02301,10,100,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,98,97,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v3.col
0.00289,10,100,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,22,21,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v4.col
0.01018,10,100,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,52,51,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c100_v5.col
0.00276,10,20,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,19,18,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v1.col
0.0022,10,20,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,15,14,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v2.col
0.00132,10,20,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,11,10,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v3.col
0.00207,10,20,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,14,13,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v4.col
0.00224,10,20,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,15,14,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c20_v5.col
0.00239,10,30,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,16,15,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v1.col
0.00193,10,30,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,13,12,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v2.col
0.0041,10,30,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,27,26,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v3.col
0.00292,10,30,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,20,19,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v4.col
0.00285,10,30,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,21,20,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c30_v5.col
0.00524,10,40,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,33,32,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v1.col
0.00255,10,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v2.col
0.00534,10,40,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,34,33,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v3.col
0.00338,10,40,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,23,22,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v4.col
0.00521,10,40,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,32,31,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c40_v5.col
0.00182,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v1.col
0.00139,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v2.col
0.00453,10,50,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,29,28,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v3.col
0.00607,10,50,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,37,36,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v4.col
0.00498,10,50,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,31,30,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c50_v5.col
0.00228,10,60,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,15,14,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c60_v1.col
0.0068,10,60,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,40,39,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c60_v2.col
0.00272,10,60,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,18,17,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c60_v3.col
0.00236,10,60,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,18,17,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c60_v4.col
0.01288,10,60,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,55,54,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c60_v5.col
0.00458,10,70,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,33,32,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c70_v1.col
0.00236,10,70,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,19,18,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c70_v2.col
0.01448,10,70,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,71,70,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c70_v3.col
0.00317,10,70,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,24,23,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c70_v4.col
0.00673,10,70,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,43,42,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c70_v5.col
0.00583,10,80,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,39,38,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v1.col
0.01598,10,80,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,75,74,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v2.col
0.01325,10,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,63,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v3.col
0.02646,10,80,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,81,80,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v4.col
0.00184,10,80,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,15,14,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v5.col
