instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,30,0.153640371,Satur
galaxy_a01_b10_c100_v2.col,1,10,100,2,80,79,79,0.000503712,Satur
galaxy_a01_b10_c100_v3.col,1,10,100,3,98,97,97,0.00123683,Satur
galaxy_a01_b10_c100_v4.col,1,10,100,4,22,21,21,4.6201e-5,Satur
galaxy_a01_b10_c100_v5.col,1,10,100,5,52,51,51,0.000196705,Satur
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,18,1.36e-5,Satur
galaxy_a01_b10_c20_v2.col,1,10,20,2,15,14,14,1.8501e-5,Satur
galaxy_a01_b10_c20_v3.col,1,10,20,3,11,10,10,5.9e-6,Satur
galaxy_a01_b10_c20_v4.col,1,10,20,4,14,13,13,6.901e-6,Satur
galaxy_a01_b10_c20_v5.col,1,10,20,5,15,14,14,7.3e-6,Satur
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,15,7.9e-6,Satur
galaxy_a01_b10_c30_v2.col,1,10,30,2,13,12,12,5.701e-6,Satur
galaxy_a01_b10_c30_v3.col,1,10,30,3,27,26,26,1.62e-5,Satur
galaxy_a01_b10_c30_v4.col,1,10,30,4,20,19,19,1.05e-5,Satur
galaxy_a01_b10_c30_v5.col,1,10,30,5,21,20,20,1.2101e-5,Satur
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,32,2.48e-5,Satur
galaxy_a01_b10_c40_v2.col,1,10,40,2,18,17,17,9.1e-6,Satur
galaxy_a01_b10_c40_v3.col,1,10,40,3,34,33,33,2.63e-5,Satur
galaxy_a01_b10_c40_v4.col,1,10,40,4,23,22,22,1.23e-5,Satur
galaxy_a01_b10_c40_v5.col,1,10,40,5,32,31,31,2.2001e-5,Satur
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,11,6.5801e-5,Satur
galaxy_a01_b10_c50_v2.col,1,10,50,2,11,10,10,6.8e-6,Satur
galaxy_a01_b10_c50_v3.col,1,10,50,3,29,28,28,1.95e-5,Satur
galaxy_a01_b10_c50_v4.col,1,10,50,4,37,36,36,0.000126803,Satur
galaxy_a01_b10_c50_v5.col,1,10,50,5,31,30,30,2.8201e-5,Satur
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,14,2.09e-5,Satur
