instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a01_b10_c100_v1.col,1,10,100,1,31,30,30,0.153640371,31,0.007477495,31,0.91117929
galaxy_a01_b10_c100_v2.col,1,10,100,2,80,79,79,0.000503712,80,0.001228229,80,0.000885422
galaxy_a01_b10_c100_v3.col,1,10,100,3,98,97,97,0.00123683,98,0.002400158,98,0.001742342
galaxy_a01_b10_c100_v4.col,1,10,100,4,22,21,21,4.6201e-5,22,7.6402e-5,22,5.2901e-5
galaxy_a01_b10_c100_v5.col,1,10,100,5,52,51,51,0.000196705,52,0.000447911,52,0.000241806
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,18,1.36e-5,19,1.23e-5,19,1.29e-5
galaxy_a01_b10_c20_v2.col,1,10,20,2,15,14,14,1.8501e-5,15,1.42e-5,15,3.2501e-5
galaxy_a01_b10_c20_v3.col,1,10,20,3,11,10,10,5.9e-6,11,4.6e-6,11,6.1e-6
galaxy_a01_b10_c20_v4.col,1,10,20,4,14,13,13,6.901e-6,14,5.9e-6,14,7.3e-6
galaxy_a01_b10_c20_v5.col,1,10,20,5,15,14,14,7.3e-6,15,7.301e-6,15,7.4e-6
galaxy_a01_b10_c30_v1.col,1,10,30,1,16,15,15,7.9e-6,16,6.6e-6,16,7.0e-6
galaxy_a01_b10_c30_v2.col,1,10,30,2,13,12,12,5.701e-6,13,5.3e-6,13,5.6e-6
galaxy_a01_b10_c30_v3.col,1,10,30,3,27,26,26,1.62e-5,27,2.1701e-5,27,1.4e-5
galaxy_a01_b10_c30_v4.col,1,10,30,4,20,19,19,1.05e-5,20,1.02e-5,20,9.901e-6
galaxy_a01_b10_c30_v5.col,1,10,30,5,21,20,20,1.2101e-5,21,1.5301e-5,21,1.11e-5
galaxy_a01_b10_c40_v1.col,1,10,40,1,33,32,32,2.48e-5,33,3.5101e-5,33,2.1601e-5
galaxy_a01_b10_c40_v2.col,1,10,40,2,18,17,17,9.1e-6,18,8.701e-6,18,9.101e-6
galaxy_a01_b10_c40_v3.col,1,10,40,3,34,33,33,2.63e-5,34,3.7501e-5,34,2.2401e-5
galaxy_a01_b10_c40_v4.col,1,10,40,4,23,22,22,1.23e-5,23,1.35e-5,23,1.09e-5
galaxy_a01_b10_c40_v5.col,1,10,40,5,32,31,31,2.2001e-5,32,3.2001e-5,32,1.84e-5
galaxy_a01_b10_c50_v1.col,1,10,50,1,12,11,11,6.5801e-5,12,5.7e-6,12,5.8e-6
galaxy_a01_b10_c50_v2.col,1,10,50,2,11,10,10,6.8e-6,11,5.6e-6,11,8.2e-6
galaxy_a01_b10_c50_v3.col,1,10,50,3,29,28,28,1.95e-5,29,2.53e-5,29,1.83e-5
galaxy_a01_b10_c50_v4.col,1,10,50,4,37,36,36,0.000126803,37,4.5001e-5,37,2.8301e-5
galaxy_a01_b10_c50_v5.col,1,10,50,5,31,30,30,2.8201e-5,31,3.26e-5,31,2.1601e-5
galaxy_a01_b10_c60_v1.col,1,10,60,1,15,14,14,2.09e-5,15,2.5901e-5,15,2.4401e-5
galaxy_a01_b10_c60_v2.col,1,10,60,2,40,39,39,8.1602e-5,40,0.000120303,40,8.3502e-5
galaxy_a01_b10_c60_v3.col,1,10,60,3,18,17,17,1.1001e-5,18,1.16e-5,18,1.19e-5
galaxy_a01_b10_c60_v4.col,1,10,60,4,18,17,17,2.7701e-5,18,7.3702e-5,18,1.0e-5
galaxy_a01_b10_c60_v5.col,1,10,60,5,55,54,54,6.9802e-5,55,0.000115303,55,6.3702e-5
galaxy_a01_b10_c70_v1.col,1,10,70,1,33,32,32,2.5501e-5,33,3.59e-5,33,2.3101e-5
galaxy_a01_b10_c70_v2.col,1,10,70,2,19,18,18,1.12e-5,19,9.9e-6,19,1.1e-5
galaxy_a01_b10_c70_v3.col,1,10,70,3,71,70,70,0.000132503,71,0.000234306,71,0.000159604
galaxy_a01_b10_c70_v4.col,1,10,70,4,24,23,23,1.4201e-5,24,1.7101e-5,24,1.53e-5
galaxy_a01_b10_c70_v5.col,1,10,70,5,43,42,42,0.000155804,43,6.6401e-5,43,0.000177004
galaxy_a01_b10_c80_v1.col,1,10,80,1,39,38,38,3.3701e-5,39,5.3802e-5,39,3.0301e-5
galaxy_a01_b10_c80_v2.col,1,10,80,2,75,74,74,0.000173805,75,0.000712317,75,0.000375109
galaxy_a01_b10_c80_v3.col,1,10,80,3,64,63,63,0.000134903,64,0.00039351,64,0.000282607
galaxy_a01_b10_c80_v4.col,1,10,80,4,81,80,80,0.000181304,81,0.000324908,81,0.000164204
galaxy_a01_b10_c80_v5.col,1,10,80,5,15,14,14,7.301e-6,15,6.4902e-5,15,7.7e-6
galaxy_a01_b10_c90_v1.col,1,10,90,1,26,25,25,1.6e-5,26,1.88e-5,26,1.38e-5
galaxy_a01_b10_c90_v2.col,1,10,90,2,79,78,78,0.000172505,79,0.000317607,79,0.000165704
galaxy_a01_b10_c90_v3.col,1,10,90,3,54,53,53,0.000124803,54,0.00041261,54,0.000256706
galaxy_a01_b10_c90_v4.col,1,10,90,4,77,76,76,0.000875021,77,0.001358032,77,0.000800219
galaxy_a01_b10_c90_v5.col,1,10,90,5,69,68,68,0.00084212,69,0.001191529,69,0.000508912
galaxy_a05_b10_c100_v1.col,5,10,100,1,245,240,240,0.022816852,74,0.003004873,241,0.022467043
galaxy_a05_b10_c100_v2.col,5,10,100,2,318,313,313,0.057586191,91,0.018882356,314,0.060285356
