N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
100,1,100,51,1,0.81376,0.78945,simples_n100_p01%_v1.col,20.8,0.8
100,1,100,48,2,0.03348,0.00808,simples_n100_p01%_v2.col,18.4,0.6
100,1,100,43,3,0.02762,0.00895,simples_n100_p01%_v3.col,20.2,0.37417
100,1,100,51,4,0.02221,0.00451,simples_n100_p01%_v4.col,21.6,0.5099
100,1,100,56,5,0.02666,0.0026,simples_n100_p01%_v5.col,22.4,0.6
100,3,100,155,1,0.03293,0.00306,simples_n100_p03%_v1.col,24.2,0.73485
100,3,100,154,2,0.04459,0.00184,simples_n100_p03%_v2.col,23.6,0.6
100,3,100,151,3,0.03519,0.00354,simples_n100_p03%_v3.col,25.4,0.4
100,3,100,149,4,0.04126,0.00526,simples_n100_p03%_v4.col,23.0,0.63246
100,3,100,161,5,0.0511,0.00158,simples_n100_p03%_v5.col,24.4,0.5099
100,5,100,213,1,0.04791,0.00412,simples_n100_p05%_v1.col,27.6,0.5099
100,5,100,253,2,0.05744,0.00691,simples_n100_p05%_v2.col,29.8,0.37417
100,5,100,268,3,0.0397,0.00584,simples_n100_p05%_v3.col,31.2,0.4899
100,5,100,219,4,0.04664,0.00392,simples_n100_p05%_v4.col,28.0,0.31623
100,5,100,271,5,0.03924,0.00253,simples_n100_p05%_v5.col,32.0,0.31623
100,10,100,499,1,0.05751,0.00323,simples_n100_p10%_v1.col,47.2,0.37417
100,10,100,493,2,0.05986,0.00359,simples_n100_p10%_v2.col,47.0,0.0
100,10,100,548,3,0.07013,0.00787,simples_n100_p10%_v3.col,50.8,0.2
100,10,100,520,4,0.06379,0.00535,simples_n100_p10%_v4.col,48.8,0.2
100,10,100,513,5,0.06548,0.00349,simples_n100_p10%_v5.col,48.2,0.4899
100,20,100,993,1,0.11885,0.00443,simples_n100_p20%_v1.col,79.6,0.24495
100,20,100,992,2,0.13644,0.01204,simples_n100_p20%_v2.col,79.4,0.24495
100,20,100,991,4,0.11836,0.00232,simples_n100_p20%_v4.col,80.8,0.2
100,30,100,1444,1,0.0646,0.00068,simples_n100_p30%_v1.col,100.0,0.0
100,30,100,1480,2,0.06592,0.00088,simples_n100_p30%_v2.col,100.0,0.0
100,30,100,1454,3,0.17059,0.07426,simples_n100_p30%_v3.col,99.0,0.0
100,30,100,1455,4,0.06863,0.0009,simples_n100_p30%_v4.col,99.0,0.0
100,30,100,1472,5,0.06945,0.00227,simples_n100_p30%_v5.col,100.0,0.0
100,40,100,1963,1,0.09848,8.0e-5,simples_n100_p40%_v1.col,100.0,0.0
100,40,100,1948,2,0.09818,0.00093,simples_n100_p40%_v2.col,100.0,0.0
100,40,100,1980,3,0.10013,9.0e-5,simples_n100_p40%_v3.col,100.0,0.0
100,40,100,1970,4,0.10002,0.00115,simples_n100_p40%_v4.col,100.0,0.0
100,40,100,1946,5,0.09897,0.00121,simples_n100_p40%_v5.col,100.0,0.0
100,50,100,2528,1,0.15159,0.00136,simples_n100_p50%_v1.col,100.0,0.0
100,50,100,2487,2,0.14789,0.00228,simples_n100_p50%_v2.col,100.0,0.0
100,50,100,2456,3,0.14387,0.00065,simples_n100_p50%_v3.col,100.0,0.0
100,50,100,2556,4,0.15499,0.00049,simples_n100_p50%_v4.col,100.0,0.0
100,50,100,2507,5,0.1509,0.00106,simples_n100_p50%_v5.col,100.0,0.0
100,60,100,2969,1,0.21185,0.00039,simples_n100_p60%_v1.col,100.0,0.0
100,60,100,3005,2,0.21587,0.00046,simples_n100_p60%_v2.col,100.0,0.0
100,60,100,2954,3,0.21042,0.00064,simples_n100_p60%_v3.col,100.0,0.0
100,60,100,2967,4,0.2113,0.00038,simples_n100_p60%_v4.col,100.0,0.0
100,60,100,3018,5,0.21667,0.00055,simples_n100_p60%_v5.col,100.0,0.0
100,70,100,3482,1,0.2683,0.00056,simples_n100_p70%_v1.col,100.0,0.0
100,70,100,3500,2,0.27366,0.00078,simples_n100_p70%_v2.col,100.0,0.0
100,70,100,3429,3,0.2663,0.00065,simples_n100_p70%_v3.col,100.0,0.0
100,70,100,3413,4,0.26442,0.00083,simples_n100_p70%_v4.col,100.0,0.0
100,70,100,3490,5,0.27251,0.00038,simples_n100_p70%_v5.col,100.0,0.0
100,80,100,3983,1,0.32388,0.00026,simples_n100_p80%_v1.col,100.0,0.0
100,80,100,3972,2,0.32145,0.00037,simples_n100_p80%_v2.col,100.0,0.0
100,80,100,3983,3,0.32308,0.00023,simples_n100_p80%_v3.col,100.0,0.0
100,80,100,3941,4,0.31899,0.00021,simples_n100_p80%_v4.col,100.0,0.0
100,80,100,3970,5,0.32052,0.00053,simples_n100_p80%_v5.col,100.0,0.0
100,90,100,4487,1,0.35303,0.00046,simples_n100_p90%_v1.col,100.0,0.0
100,90,100,4447,2,0.35086,0.00044,simples_n100_p90%_v2.col,100.0,0.0
100,90,100,4482,3,0.3512,0.00034,simples_n100_p90%_v3.col,100.0,0.0
100,90,100,4505,4,0.34943,0.00057,simples_n100_p90%_v4.col,100.0,0.0
100,90,100,4468,5,0.36118,0.00765,simples_n100_p90%_v5.col,100.0,0.0
