p,n,mean_mem_mb,mean_time,se_time,N,M,peak_mem_mb,v,mean_chi,instancia,se_chi
1,100,87.37319,1.03985,0.85447,100,51,103.57616424560547,1,19.8,simples_n100_p01%_v1.col,0.37417
3,100,82.42819,1.45616,0.30292,100,155,116.66666412353516,1,20.8,simples_n100_p03%_v1.col,0.2
5,100,103.80462,2.67305,0.76968,100,213,172.19071197509766,1,24.6,simples_n100_p05%_v1.col,0.24495
10,100,84.13631,3.72273,0.77803,100,499,114.27618408203125,1,44.4,simples_n100_p10%_v1.col,0.24495
20,100,66.46687,1.23061,0.09977,100,993,83.57654571533203,1,79.0,simples_n100_p20%_v1.col,0.0
30,100,47.24668,0.12916,0.00013,100,1444,47.27268981933594,1,100.0,simples_n100_p30%_v1.col,0.0
40,100,47.30814,0.20732,0.00016,100,1963,47.33415222167969,1,100.0,simples_n100_p40%_v1.col,0.0
50,100,47.51021,0.31208,0.0002,100,2528,47.551841735839844,1,100.0,simples_n100_p50%_v1.col,0.0
60,100,100.4578,0.44828,0.0003,100,2969,100.49632263183594,1,100.0,simples_n100_p60%_v1.col,0.0
70,100,100.47162,0.56459,0.00046,100,3482,100.49763488769531,1,100.0,simples_n100_p70%_v1.col,0.0
80,100,100.47311,0.6753,0.00066,100,3983,100.49906921386719,1,100.0,simples_n100_p80%_v1.col,0.0
90,100,100.46199,0.74042,0.00081,100,4487,100.50050354003906,1,100.0,simples_n100_p90%_v1.col,0.0
