N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
1500,1,1500,11366,1,8.36986,0.71647,simples_n1500_p01%_v1.col,263.4,1.16619
1500,1,1500,11342,2,7.76307,0.53998,simples_n1500_p01%_v2.col,262.4,1.69115
1500,1,1500,11148,3,6.90437,0.48096,simples_n1500_p01%_v3.col,261.4,0.74833
1500,1,1500,11074,4,7.0859,0.61479,simples_n1500_p01%_v4.col,259.2,1.31909
1500,1,1500,11227,5,6.29022,0.38982,simples_n1500_p01%_v5.col,261.6,0.67823
1500,3,1500,33773,1,14.46141,0.81183,simples_n1500_p03%_v1.col,597.0,0.83666
1500,3,1500,33497,2,13.39633,0.50226,simples_n1500_p03%_v2.col,596.0,0.54772
1500,3,1500,33732,3,15.16546,0.89762,simples_n1500_p03%_v3.col,599.2,0.86023
1500,3,1500,33940,4,13.73321,0.53918,simples_n1500_p03%_v4.col,601.2,1.11355
1500,3,1500,33924,5,17.00814,0.8354,simples_n1500_p03%_v5.col,601.6,0.67823
1500,5,1500,56316,1,35.09568,1.70693,simples_n1500_p05%_v1.col,938.2,0.66332
1500,5,1500,56011,2,33.09504,0.95423,simples_n1500_p05%_v2.col,934.6,0.92736
1500,5,1500,55766,3,32.45995,1.65847,simples_n1500_p05%_v3.col,928.4,0.74833
1500,5,1500,56187,4,31.62247,1.61505,simples_n1500_p05%_v4.col,937.2,0.73485
1500,5,1500,56021,5,33.751,1.0983,simples_n1500_p05%_v5.col,936.2,0.37417
1500,10,1500,112217,1,104.08954,1.64797,simples_n1500_p10%_v1.col,1500.0,0.0
1500,10,1500,112691,2,105.20919,2.73607,simples_n1500_p10%_v2.col,1500.0,0.0
1500,10,1500,112672,3,105.78675,1.69612,simples_n1500_p10%_v3.col,1500.0,0.0
1500,10,1500,112801,4,101.46448,2.03772,simples_n1500_p10%_v4.col,1499.0,0.0
1500,10,1500,112693,5,108.06984,2.14594,simples_n1500_p10%_v5.col,1500.0,0.0
1500,20,1500,224745,1,366.3148,8.68191,simples_n1500_p20%_v1.col,1500.0,0.0
1500,20,1500,225120,2,357.14742,5.39193,simples_n1500_p20%_v2.col,1500.0,0.0
1500,20,1500,224419,3,358.97465,5.98154,simples_n1500_p20%_v3.col,1500.0,0.0
1500,20,1500,225907,4,352.29832,2.45098,simples_n1500_p20%_v4.col,1500.0,0.0
1500,20,1500,224803,5,353.52772,5.29947,simples_n1500_p20%_v5.col,1500.0,0.0
1500,30,1500,337438,1,734.12595,9.37918,simples_n1500_p30%_v1.col,1500.0,0.0
1500,30,1500,337407,2,686.12849,11.30301,simples_n1500_p30%_v2.col,1500.0,0.0
1500,30,1500,337774,3,690.59053,7.1422,simples_n1500_p30%_v3.col,1500.0,0.0
1500,30,1500,337081,4,680.24376,11.31167,simples_n1500_p30%_v4.col,1500.0,0.0
1500,30,1500,337047,5,684.56768,7.07909,simples_n1500_p30%_v5.col,1500.0,0.0
1500,40,1500,449641,1,1156.46999,12.33269,simples_n1500_p40%_v1.col,1500.0,0.0
1500,40,1500,449668,2,1156.25688,13.18368,simples_n1500_p40%_v2.col,1500.0,0.0
1500,40,1500,449631,3,1110.18316,17.90574,simples_n1500_p40%_v3.col,1500.0,0.0
1500,40,1500,449348,4,1063.90732,6.04478,simples_n1500_p40%_v4.col,1500.0,0.0
1500,40,1500,450031,5,1080.25371,7.06251,simples_n1500_p40%_v5.col,1500.0,0.0
1500,50,1500,560825,1,1564.04463,8.31629,simples_n1500_p50%_v1.col,1500.0,0.0
1500,50,1500,562370,2,1557.85153,5.18136,simples_n1500_p50%_v2.col,1500.0,0.0
1500,50,1500,562325,3,1543.52498,5.14868,simples_n1500_p50%_v3.col,1500.0,0.0
1500,50,1500,561533,4,1516.75948,11.62364,simples_n1500_p50%_v4.col,1500.0,0.0
1500,50,1500,561820,5,1506.82662,24.00564,simples_n1500_p50%_v5.col,1500.0,0.0
1500,60,1500,674980,1,2033.84333,2.454,simples_n1500_p60%_v1.col,1500.0,0.0
1500,60,1500,675035,2,2035.23059,4.27892,simples_n1500_p60%_v2.col,1500.0,0.0
1500,60,1500,673524,3,2012.10028,8.61442,simples_n1500_p60%_v3.col,1500.0,0.0
1500,60,1500,673908,4,1962.04545,24.8937,simples_n1500_p60%_v4.col,1500.0,0.0
1500,60,1500,673927,5,1899.68987,10.50962,simples_n1500_p60%_v5.col,1500.0,0.0
1500,70,1500,787254,1,2541.2097,5.15553,simples_n1500_p70%_v1.col,1500.0,0.0
1500,70,1500,786348,2,2527.55303,7.77238,simples_n1500_p70%_v2.col,1500.0,0.0
