mean_fit_t,mean_mut_t,n_config,mean_cross_t,mean_init_t,v_config,mean_sel_t,instancia,mean_upd_t,p_config
7.61447,0.0,1500,0.0,7.96424,1,0.0,simples_n1500_p01%_v1.col,0.0,1
7.74263,0.0,1500,0.0,7.76188,2,0.0,simples_n1500_p01%_v2.col,0.0,1
6.89228,0.0,1500,0.0,6.90413,3,0.0,simples_n1500_p01%_v3.col,0.0,1
7.07624,0.0,1500,0.0,7.0857,4,0.0,simples_n1500_p01%_v4.col,0.0,1
6.27867,0.0,1500,0.0,6.29007,5,0.0,simples_n1500_p01%_v5.col,0.0,1
14.4461,0.0,1500,0.0,14.45674,1,0.0,simples_n1500_p03%_v1.col,0.0,3
13.38604,0.0,1500,0.0,13.39534,2,0.0,simples_n1500_p03%_v2.col,0.0,3
15.14696,0.0,1500,0.0,15.16526,3,0.0,simples_n1500_p03%_v3.col,0.0,3
13.71389,0.0,1500,0.0,13.73293,4,0.0,simples_n1500_p03%_v4.col,0.0,3
16.99054,0.0,1500,0.0,17.00785,5,0.0,simples_n1500_p03%_v5.col,0.0,3
35.0823,0.0,1500,0.0,35.09535,1,0.0,simples_n1500_p05%_v1.col,0.0,5
33.07488,0.0,1500,0.0,33.09479,2,0.0,simples_n1500_p05%_v2.col,0.0,5
32.43518,0.0,1500,0.0,32.45978,3,0.0,simples_n1500_p05%_v3.col,0.0,5
31.60727,0.0,1500,0.0,31.6223,4,0.0,simples_n1500_p05%_v4.col,0.0,5
33.74254,0.0,1500,0.0,33.75082,5,0.0,simples_n1500_p05%_v5.col,0.0,5
104.06441,0.0,1500,0.0,104.08925,1,0.0,simples_n1500_p10%_v1.col,0.0,10
105.18301,0.0,1500,0.0,105.20882,2,0.0,simples_n1500_p10%_v2.col,0.0,10
105.76207,0.0,1500,0.0,105.78641,3,0.0,simples_n1500_p10%_v3.col,0.0,10
101.44835,0.0,1500,0.0,101.46403,4,0.0,simples_n1500_p10%_v4.col,0.0,10
108.0395,0.0,1500,0.0,108.06951,5,0.0,simples_n1500_p10%_v5.col,0.0,10
366.03822,0.0,1500,0.0,366.31442,1,0.0,simples_n1500_p20%_v1.col,0.0,20
356.78302,0.0,1500,0.0,357.14707,2,0.0,simples_n1500_p20%_v2.col,0.0,20
358.74531,0.0,1500,0.0,358.97427,3,0.0,simples_n1500_p20%_v3.col,0.0,20
352.05047,0.0,1500,0.0,352.29796,4,0.0,simples_n1500_p20%_v4.col,0.0,20
353.30043,0.0,1500,0.0,353.52734,5,0.0,simples_n1500_p20%_v5.col,0.0,20
734.10927,0.0,1500,0.0,734.12547,1,0.0,simples_n1500_p30%_v1.col,0.0,30
686.11778,0.0,1500,0.0,686.12811,2,0.0,simples_n1500_p30%_v2.col,0.0,30
