N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
2500,1,2500,31065,1,827.73392,90.54652,simples_n2500_p01%_v1.col,460.0,0.83666
2500,1,2500,31095,2,742.75802,65.16984,simples_n2500_p01%_v2.col,462.2,0.2
2500,1,2500,31168,3,673.03004,38.92431,simples_n2500_p01%_v3.col,461.8,0.8
2500,1,2500,31133,4,721.12659,52.84614,simples_n2500_p01%_v4.col,461.2,0.37417
2500,1,2500,31149,5,973.55117,124.19647,simples_n2500_p01%_v5.col,460.6,0.5099
2500,3,2500,93551,1,2531.36238,283.41893,simples_n2500_p03%_v1.col,1165.6,1.80555
2500,3,2500,93836,2,3289.78156,301.08565,simples_n2500_p03%_v2.col,1163.8,2.08327
2500,3,2500,94168,3,2615.76675,540.09744,simples_n2500_p03%_v3.col,1170.2,3.49857
2500,3,2500,93541,4,2948.35093,222.26594,simples_n2500_p03%_v4.col,1167.6,1.80555
2500,3,2500,93528,5,3180.27104,521.57659,simples_n2500_p03%_v5.col,1162.8,2.69072
2500,5,2500,156298,1,8771.40945,531.90752,simples_n2500_p05%_v1.col,1920.0,3.56371
2500,5,2500,155670,2,7460.31622,510.52658,simples_n2500_p05%_v2.col,1920.8,2.57682
2500,5,2500,155827,3,7187.70507,698.49359,simples_n2500_p05%_v3.col,1912.4,1.50333
2500,5,2500,155540,4,7937.69839,483.52738,simples_n2500_p05%_v4.col,1915.8,3.24654
2500,5,2500,155849,5,9521.5698,1806.76309,simples_n2500_p05%_v5.col,1916.2,4.39773
2500,10,2500,312687,1,210.12745,4.26823,simples_n2500_p10%_v1.col,2500.0,0.0
2500,10,2500,311990,2,190.48119,0.72472,simples_n2500_p10%_v2.col,2500.0,0.0
2500,10,2500,313461,3,190.89076,1.17966,simples_n2500_p10%_v3.col,2500.0,0.0
2500,10,2500,311949,4,175.99571,1.14117,simples_n2500_p10%_v4.col,2500.0,0.0
2500,10,2500,312009,5,174.09689,0.18172,simples_n2500_p10%_v5.col,2500.0,0.0
2500,20,2500,625313,1,664.75779,0.60581,simples_n2500_p20%_v1.col,2500.0,0.0
2500,20,2500,626236,2,657.95195,3.40602,simples_n2500_p20%_v2.col,2500.0,0.0
2500,20,2500,624602,3,650.36762,1.46313,simples_n2500_p20%_v3.col,2500.0,0.0
2500,20,2500,625132,4,657.88936,1.2726,simples_n2500_p20%_v4.col,2500.0,0.0
2500,20,2500,625096,5,660.4382,1.26326,simples_n2500_p20%_v5.col,2500.0,0.0
2500,30,2500,937365,1,1479.51575,1.13609,simples_n2500_p30%_v1.col,2500.0,0.0
2500,30,2500,936820,2,1579.67368,14.86423,simples_n2500_p30%_v2.col,2500.0,0.0
2500,30,2500,936923,3,1576.39565,3.26289,simples_n2500_p30%_v3.col,2500.0,0.0
2500,30,2500,936892,4,1563.92504,0.41478,simples_n2500_p30%_v4.col,2500.0,0.0
2500,30,2500,938556,5,1579.28253,2.84139,simples_n2500_p30%_v5.col,2500.0,0.0
2500,40,2500,1250979,1,2704.45223,1.25415,simples_n2500_p40%_v1.col,2500.0,0.0
2500,40,2500,1248586,2,2689.31855,2.50508,simples_n2500_p40%_v2.col,2500.0,0.0
2500,40,2500,1250230,3,2712.35761,3.16222,simples_n2500_p40%_v3.col,2500.0,0.0
2500,40,2500,1250074,4,2708.87685,5.26261,simples_n2500_p40%_v4.col,2500.0,0.0
2500,40,2500,1247517,5,2691.49139,1.95341,simples_n2500_p40%_v5.col,2500.0,0.0
2500,50,2500,1560523,1,4102.89477,3.08185,simples_n2500_p50%_v1.col,2500.0,0.0
2500,50,2500,1560588,2,4105.28405,2.16648,simples_n2500_p50%_v2.col,2500.0,0.0
2500,50,2500,1561941,3,4107.21803,0.70207,simples_n2500_p50%_v3.col,2500.0,0.0
2500,50,2500,1562459,4,4111.90445,1.52638,simples_n2500_p50%_v4.col,2500.0,0.0
2500,50,2500,1563389,5,4093.88165,20.34485,simples_n2500_p50%_v5.col,2500.0,0.0
2500,60,2500,1875671,1,5694.54472,20.36466,simples_n2500_p60%_v1.col,2500.0,0.0
2500,60,2500,1876217,2,5655.12358,33.29346,simples_n2500_p60%_v2.col,2500.0,0.0
2500,60,2500,1872582,3,5561.57139,5.30103,simples_n2500_p60%_v3.col,2500.0,0.0
2500,60,2500,1873774,4,5544.73245,0.33991,simples_n2500_p60%_v4.col,2500.0,0.0
2500,60,2500,1874925,5,5609.47661,55.45944,simples_n2500_p60%_v5.col,2500.0,0.0
2500,70,2500,2186543,1,7648.84624,40.35009,simples_n2500_p70%_v1.col,2500.0,0.0
2500,70,2500,2187736,2,7599.93362,55.09108,simples_n2500_p70%_v2.col,2500.0,0.0
2500,70,2500,2187632,3,7682.01584,43.58373,simples_n2500_p70%_v3.col,2500.0,0.0
2500,70,2500,2187635,4,7478.8049,19.40965,simples_n2500_p70%_v4.col,2500.0,0.0
2500,70,2500,2186381,5,7661.34732,45.72464,simples_n2500_p70%_v5.col,2500.0,0.0
2500,80,2500,2499347,1,9892.47351,59.43718,simples_n2500_p80%_v1.col,2500.0,0.0
2500,80,2500,2499155,2,9762.32579,74.21104,simples_n2500_p80%_v2.col,2500.0,0.0
2500,80,2500,2498226,3,9633.68646,13.85944,simples_n2500_p80%_v3.col,2500.0,0.0
2500,80,2500,2499771,4,9491.56452,79.52083,simples_n2500_p80%_v4.col,2500.0,0.0
2500,80,2500,2500364,5,9225.37095,0.43148,simples_n2500_p80%_v5.col,2500.0,0.0
2500,90,2500,2811005,1,11490.43279,43.56334,simples_n2500_p90%_v1.col,2500.0,0.0
2500,90,2500,2811134,2,11489.98028,36.10397,simples_n2500_p90%_v2.col,2500.0,0.0
2500,90,2500,2811342,3,11456.39849,0.93247,simples_n2500_p90%_v3.col,2500.0,0.0
2500,90,2500,2812292,4,11505.32033,42.71385,simples_n2500_p90%_v4.col,2500.0,0.0
2500,90,2500,2811342,5,11698.95764,100.1051,simples_n2500_p90%_v5.col,2500.0,0.0
