n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
3500,0.106971,1,3500,687,simples_n3500_p01%_v1.col,MaxGrau,61493,1
3500,0.102975,2,3500,681,simples_n3500_p01%_v2.col,MaxGrau,61182,1
3500,0.103726,3,3500,680,simples_n3500_p01%_v3.col,MaxGrau,61221,1
3500,0.104296,4,3500,685,simples_n3500_p01%_v4.col,MaxGrau,61243,1
3500,0.09918,5,3500,680,simples_n3500_p01%_v5.col,MaxGrau,61334,1
3500,0.313848,1,3500,1771,simples_n3500_p03%_v1.col,MaxGrau,183566,3
3500,0.331681,2,3500,1772,simples_n3500_p03%_v2.col,MaxGrau,183866,3
3500,0.315123,3,3500,1768,simples_n3500_p03%_v3.col,MaxGrau,184191,3
3500,0.320077,4,3500,1775,simples_n3500_p03%_v4.col,MaxGrau,183761,3
3500,0.31821,5,3500,1776,simples_n3500_p03%_v5.col,MaxGrau,184208,3
3500,0.726427,1,3500,3194,simples_n3500_p05%_v1.col,MaxGrau,306253,5
3500,0.733478,2,3500,3181,simples_n3500_p05%_v2.col,MaxGrau,305582,5
3500,0.728184,3,3500,3192,simples_n3500_p05%_v3.col,MaxGrau,305760,5
3500,1.111947,4,3500,3186,simples_n3500_p05%_v4.col,MaxGrau,306172,5
3500,0.738135,5,3500,3202,simples_n3500_p05%_v5.col,MaxGrau,306911,5
3500,2.607231,1,3500,3500,simples_n3500_p10%_v1.col,MinGrau,611745,10
3500,2.647558,2,3500,3500,simples_n3500_p10%_v2.col,MaxGrau,612769,10
3500,2.629236,3,3500,3500,simples_n3500_p10%_v3.col,MinGrau,611468,10
3500,2.692121,4,3500,3500,simples_n3500_p10%_v4.col,MaxGrau,612172,10
3500,2.685475,5,3500,3500,simples_n3500_p10%_v5.col,MaxGrau,612408,10
3500,10.223921,1,3500,3500,simples_n3500_p20%_v1.col,MaxGrau,1225480,20
3500,10.521405,2,3500,3500,simples_n3500_p20%_v2.col,MinGrau,1223523,20
3500,11.792818,3,3500,3500,simples_n3500_p20%_v3.col,MinGrau,1223406,20
3500,12.967416,4,3500,3500,simples_n3500_p20%_v4.col,MinGrau,1223313,20
3500,13.221253,5,3500,3500,simples_n3500_p20%_v5.col,MinGrau,1225234,20
3500,28.661129,1,3500,3500,simples_n3500_p30%_v1.col,MaxGrau,1836446,30
3500,24.647457,2,3500,3500,simples_n3500_p30%_v2.col,MaxGrau,1836957,30
3500,32.04657,3,3500,3500,simples_n3500_p30%_v3.col,MaxGrau,1838511,30
3500,36.622816,4,3500,3500,simples_n3500_p30%_v4.col,MinGrau,1838396,30
3500,39.33283,5,3500,3500,simples_n3500_p30%_v5.col,MaxGrau,1838280,30
3500,81.474591,1,3500,3500,simples_n3500_p40%_v1.col,MaxGrau,2451433,40
3500,78.040916,2,3500,3500,simples_n3500_p40%_v2.col,MinGrau,2447350,40
3500,72.863999,3,3500,3500,simples_n3500_p40%_v3.col,MaxGrau,2446610,40
3500,79.899754,4,3500,3500,simples_n3500_p40%_v4.col,MaxGrau,2448603,40
3500,68.778974,5,3500,3500,simples_n3500_p40%_v5.col,MinGrau,2450070,40
3500,112.767177,1,3500,3500,simples_n3500_p50%_v1.col,MinGrau,3061077,50
3500,110.333998,2,3500,3500,simples_n3500_p50%_v2.col,MinGrau,3063011,50
3500,113.65433,3,3500,3500,simples_n3500_p50%_v3.col,MaxGrau,3061919,50
3500,113.221628,4,3500,3500,simples_n3500_p50%_v4.col,MaxGrau,3062325,50
3500,119.517287,5,3500,3500,simples_n3500_p50%_v5.col,MinGrau,3062284,50
3500,145.44862,1,3500,3500,simples_n3500_p60%_v1.col,MaxGrau,3674051,60
3500,152.110301,2,3500,3500,simples_n3500_p60%_v2.col,MinGrau,3672899,60
3500,162.657034,3,3500,3500,simples_n3500_p60%_v3.col,MinGrau,3674655,60
3500,164.457551,4,3500,3500,simples_n3500_p60%_v4.col,MaxGrau,3672959,60
3500,157.236992,5,3500,3500,simples_n3500_p60%_v5.col,MinGrau,3675084,60
3500,215.906187,1,3500,3500,simples_n3500_p70%_v1.col,MaxGrau,4288545,70
3500,218.411951,2,3500,3500,simples_n3500_p70%_v2.col,MinGrau,4286498,70
3500,204.787658,3,3500,3500,simples_n3500_p70%_v3.col,MaxGrau,4286685,70
3500,199.788511,4,3500,3500,simples_n3500_p70%_v4.col,MinGrau,4285370,70
3500,206.308838,5,3500,3500,simples_n3500_p70%_v5.col,MaxGrau,4285301,70
3500,269.525106,1,3500,3500,simples_n3500_p80%_v1.col,MaxGrau,4898062,80
3500,276.403483,2,3500,3500,simples_n3500_p80%_v2.col,MaxGrau,4899108,80
3500,277.491545,3,3500,3500,simples_n3500_p80%_v3.col,MinGrau,4898788,80
3500,250.916488,4,3500,3500,simples_n3500_p80%_v4.col,MinGrau,4899065,80
3500,265.550401,5,3500,3500,simples_n3500_p80%_v5.col,MaxGrau,4898433,80
3500,355.497128,1,3500,3500,simples_n3500_p90%_v1.col,MaxGrau,5510715,90
3500,324.821932,2,3500,3500,simples_n3500_p90%_v2.col,MaxGrau,5510471,90
3500,340.434301,3,3500,3500,simples_n3500_p90%_v3.col,MaxGrau,5511113,90
3500,336.535644,4,3500,3500,simples_n3500_p90%_v4.col,MaxGrau,5509974,90
3500,319.488047,5,3500,3500,simples_n3500_p90%_v5.col,MinGrau,5511312,90
