p,n,mean_mem_mb,mean_time,se_time,N,M,peak_mem_mb,v,mean_chi,instancia,se_chi
1,500,287.35431,34.73343,4.16185,500,1247,351.4673767089844,1,87.0,simples_n500_p01%_v1.col,1.30384
3,500,217.84248,41.41072,1.90251,500,3630,240.33984375,1,134.0,simples_n500_p03%_v1.col,0.54772
5,500,191.6953,60.83392,5.50528,500,6413,221.05284881591797,1,212.0,simples_n500_p05%_v1.col,0.70711
10,500,131.55336,103.51013,14.66708,500,12548,164.98556518554688,1,384.4,simples_n500_p10%_v1.col,0.8124
20,500,40.77684,5.95585,0.00946,500,25054,51.43879699707031,1,500.0,simples_n500_p20%_v1.col,0.0
30,500,39.5723,12.46302,0.01569,500,37350,42.767112731933594,1,500.0,simples_n500_p30%_v1.col,0.0
40,500,41.10814,21.38355,0.03003,500,49424,41.12066650390625,1,500.0,simples_n500_p40%_v1.col,0.0
50,500,41.08438,32.52672,0.01569,500,61956,41.12152099609375,1,500.0,simples_n500_p50%_v1.col,0.0
60,500,42.22315,46.03633,0.00752,500,74574,46.80982208251953,1,500.0,simples_n500_p60%_v1.col,0.0
70,500,45.63645,61.50364,0.02704,500,87094,46.811134338378906,1,500.0,simples_n500_p70%_v1.col,0.0
80,500,43.35055,78.38009,0.02031,500,99614,46.75090026855469,1,500.0,simples_n500_p80%_v1.col,0.0
90,500,45.65184,89.95984,0.03601,500,112458,46.81421661376953,1,500.0,simples_n500_p90%_v1.col,0.0
