chi_sat,M_real,tempo_max,chi_max,chi_min,v_config,p_config,tempo_sat,n_config,N_real,instancia,tempo_min
1354,151836,0.363544,1267,1460,1,1,0.648785,5500,5500,simples_n5500_p01%_v1.col,0.341891
1355,151261,0.352123,1265,1460,2,1,0.554688,5500,5500,simples_n5500_p01%_v2.col,0.349533
1347,150648,0.34829,1259,1453,3,1,0.56144,5500,5500,simples_n5500_p01%_v3.col,0.338223
1363,152189,0.349275,1267,1458,4,1,0.559458,5500,5500,simples_n5500_p01%_v4.col,0.324759
1348,151152,0.348709,1261,1461,5,1,0.558772,5500,5500,simples_n5500_p01%_v5.col,0.323328
3552,453122,1.36016,3436,3778,1,3,2.27354,5500,5500,simples_n5500_p03%_v1.col,1.254359
3574,454158,1.720319,3447,3767,2,3,2.347988,5500,5500,simples_n5500_p03%_v2.col,2.15638
3566,454246,2.330177,3451,3762,3,3,2.329906,5500,5500,simples_n5500_p03%_v3.col,1.646451
3574,454617,1.653788,3457,3804,4,3,1.818406,5500,5500,simples_n5500_p03%_v4.col,1.727097
3541,453019,1.410971,3415,3766,5,3,1.740787,5500,5500,simples_n5500_p03%_v5.col,1.253705
5487,755162,3.024409,5487,5487,1,5,4.280218,5500,5500,simples_n5500_p05%_v1.col,3.057348
5485,756506,3.495623,5485,5485,2,5,3.866789,5500,5500,simples_n5500_p05%_v2.col,3.065773
5486,756384,3.541562,5486,5486,3,5,3.991387,5500,5500,simples_n5500_p05%_v3.col,3.167274
5479,755316,3.058355,5479,5479,4,5,4.460401,5500,5500,simples_n5500_p05%_v4.col,3.098752
5491,755415,3.079728,5491,5491,5,5,3.971589,5500,5500,simples_n5500_p05%_v5.col,3.055585
5500,1512635,12.473608,5500,5500,1,10,18.722895,5500,5500,simples_n5500_p10%_v1.col,14.95478
5500,1513176,11.829378,5500,5500,2,10,17.017131,5500,5500,simples_n5500_p10%_v2.col,11.487669
5500,1512586,14.606644,5500,5500,3,10,18.371622,5500,5500,simples_n5500_p10%_v3.col,14.388166
5500,1512800,15.135507,5500,5500,4,10,18.224831,5500,5500,simples_n5500_p10%_v4.col,14.636676
5500,1512634,15.026376,5500,5500,5,10,18.291572,5500,5500,simples_n5500_p10%_v5.col,15.396715
5500,3024479,58.319607,5500,5500,1,20,80.100403,5500,5500,simples_n5500_p20%_v1.col,65.69127
5500,3022071,70.828825,5500,5500,2,20,99.683308,5500,5500,simples_n5500_p20%_v2.col,80.457891
5500,3025249,83.740932,5500,5500,3,20,105.648748,5500,5500,simples_n5500_p20%_v3.col,84.318659
5500,3027439,90.125673,5500,5500,4,20,109.389228,5500,5500,simples_n5500_p20%_v4.col,81.220063
5500,3024158,81.617339,5500,5500,5,20,106.765082,5500,5500,simples_n5500_p20%_v5.col,86.757132
5500,4538381,169.455079,5500,5500,1,30,227.17755,5500,5500,simples_n5500_p30%_v1.col,172.788243
5500,4536027,184.997665,5500,5500,2,30,217.460675,5500,5500,simples_n5500_p30%_v2.col,177.033763
5500,4538151,183.882064,5500,5500,3,30,204.643515,5500,5500,simples_n5500_p30%_v3.col,170.402103
5500,4535621,178.061959,5500,5500,4,30,205.997092,5500,5500,simples_n5500_p30%_v4.col,173.328265
5500,4537391,172.96263,5500,5500,5,30,199.051707,5500,5500,simples_n5500_p30%_v5.col,173.632469
5500,6051487,275.47884,5500,5500,1,40,362.806263,5500,5500,simples_n5500_p40%_v1.col,284.084704
5500,6050833,326.916772,5500,5500,2,40,385.130409,5500,5500,simples_n5500_p40%_v2.col,310.03641
5500,6050372,283.007169,5500,5500,3,40,348.795479,5500,5500,simples_n5500_p40%_v3.col,308.284374
5500,6047391,293.352958,5500,5500,4,40,364.355688,5500,5500,simples_n5500_p40%_v4.col,301.752461
5500,6051386,287.880827,5500,5500,5,40,361.267764,5500,5500,simples_n5500_p40%_v5.col,275.735259
5500,7563038,441.873271,5500,5500,1,50,560.165791,5500,5500,simples_n5500_p50%_v1.col,449.120948
5500,7558100,445.650822,5500,5500,2,50,567.701506,5500,5500,simples_n5500_p50%_v2.col,432.481399
5500,7563052,435.520624,5500,5500,3,50,557.230161,5500,5500,simples_n5500_p50%_v3.col,417.616818
5500,7558859,419.209163,5500,5500,4,50,552.141596,5500,5500,simples_n5500_p50%_v4.col,422.754122
5500,7558272,433.258902,5500,5500,5,50,560.434433,5500,5500,simples_n5500_p50%_v5.col,442.634635
5500,9072524,610.869738,5500,5500,1,60,779.255885,5500,5500,simples_n5500_p60%_v1.col,614.306132
5500,9074189,601.646934,5500,5500,2,60,724.968719,5500,5500,simples_n5500_p60%_v2.col,586.433935
5500,9070372,568.737305,5500,5500,3,60,759.844298,5500,5500,simples_n5500_p60%_v3.col,590.767066
5500,9073375,550.317115,5500,5500,4,60,753.59131,5500,5500,simples_n5500_p60%_v4.col,548.426491
5500,9071389,564.460154,5500,5500,5,60,734.9464,5500,5500,simples_n5500_p60%_v5.col,594.598735
5500,10584363,787.365579,5500,5500,1,70,1014.527047,5500,5500,simples_n5500_p70%_v1.col,744.800568
5500,10584491,758.52411,5500,5500,2,70,957.007212,5500,5500,simples_n5500_p70%_v2.col,767.423096
5500,10583430,750.585821,5500,5500,3,70,931.669092,5500,5500,simples_n5500_p70%_v3.col,808.353891
5500,10589424,714.078022,5500,5500,4,70,945.966455,5500,5500,simples_n5500_p70%_v4.col,747.487125
5500,10584424,751.978081,5500,5500,5,70,974.520205,5500,5500,simples_n5500_p70%_v5.col,756.132532
5500,12096086,951.633162,5500,5500,1,80,1242.043331,5500,5500,simples_n5500_p80%_v1.col,971.033563
5500,12097740,973.166363,5500,5500,2,80,1233.215952,5500,5500,simples_n5500_p80%_v2.col,973.353917
5500,12097089,960.509874,5500,5500,3,80,1192.940068,5500,5500,simples_n5500_p80%_v3.col,940.616186
5500,12097243,928.070051,5500,5500,4,80,1233.749914,5500,5500,simples_n5500_p80%_v4.col,955.429646
5500,12099439,928.86615,5500,5500,5,80,1239.792439,5500,5500,simples_n5500_p80%_v5.col,930.975077
5500,13609978,1160.27215,5500,5500,1,90,1464.17138,5500,5500,simples_n5500_p90%_v1.col,1134.283369
5500,13610829,1147.987289,5500,5500,2,90,1483.517219,5500,5500,simples_n5500_p90%_v2.col,1152.355199
5500,13610879,1144.749192,5500,5500,3,90,1458.123702,5500,5500,simples_n5500_p90%_v3.col,1120.8606
5500,13607879,1150.372707,5500,5500,4,90,1432.436732,5500,5500,simples_n5500_p90%_v4.col,1140.981822
5500,13611916,1158.932205,5500,5500,5,90,1473.822311,5500,5500,simples_n5500_p90%_v5.col,1135.804725
