instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
100,1,100,51,1,1.1657660259999998,0.8928455612988064,simples_n100_p01%_v1.col,19.4,0.24494897427831777
100,1,100,48,2,0.2684734046,0.06709998018794307,simples_n100_p01%_v2.col,16.4,0.5099019513592784
100,3,100,155,1,0.5218842428,0.09663925693307893,simples_n100_p03%_v1.col,21.0,0.0
100,3,100,154,2,0.5479635996,0.11715129462881071,simples_n100_p03%_v2.col,21.2,0.58309518948453
100,5,100,213,1,0.5866266406,0.07505095869391296,simples_n100_p05%_v1.col,25.2,0.19999999999999998
100,5,100,253,2,0.7669309639999999,0.07646795542348729,simples_n100_p05%_v2.col,28.2,0.19999999999999998
100,10,100,499,1,0.9931841700000001,0.10560748832755072,simples_n100_p10%_v1.col,45.4,0.39999999999999997
100,10,100,493,2,1.0703510892,0.077030121501041,simples_n100_p10%_v2.col,44.8,0.3741657386773941
100,20,100,993,1,1.6781915808,0.1280579824991329,simples_n100_p20%_v1.col,79.2,0.19999999999999998
100,20,100,992,2,1.621755963,0.09715041571935114,simples_n100_p20%_v2.col,79.0,0.0
100,30,100,1444,1,2.3937820488,0.06038967870722483,simples_n100_p30%_v1.col,100.0,0.0
100,30,100,1480,2,2.5526837868000003,0.08683154476535504,simples_n100_p30%_v2.col,100.0,0.0
100,40,100,1963,1,3.8051372287999996,0.10471270806667445,simples_n100_p40%_v1.col,100.0,0.0
100,40,100,1948,2,3.6484408496,0.08166490639626844,simples_n100_p40%_v2.col,100.0,0.0
1000,1,1000,4972,1,52.936368394,4.247296364976727,simples_n1000_p01%_v1.col,159.0,2.16794833886788
1000,1,1000,4997,2,51.25967203180001,3.789344543064667,simples_n1000_p01%_v2.col,157.8,1.5937377450509225
1000,3,1000,15032,1,93.90830801300001,10.082329133312236,simples_n1000_p03%_v1.col,342.0,0.7071067811865476
1000,3,1000,14860,2,128.1993936254,18.098229478040206,simples_n1000_p03%_v2.col,337.8,1.1575836902790224
1000,5,1000,25093,1,236.78417927740003,18.120678822033764,simples_n1000_p05%_v1.col,518.4,0.9273618495495702
1000,5,1000,25053,2,232.11294020220004,19.170260585024604,simples_n1000_p05%_v2.col,517.2,1.1575836902790224
