instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n500_p01%_v1.col,500,1,1,500,1247,101.8,3.8910152916687433,7.6530478234,2.2731302163293066
simples_n500_p01%_v2.col,500,1,2,500,1334,111.2,2.922327839240491,5.4216423878,0.4892048669766815
simples_n500_p03%_v1.col,500,3,1,500,3630,140.8,0.58309518948453,6.505784070199999,0.5908218207340298
simples_n500_p03%_v2.col,500,3,2,500,3730,142.0,0.4472135954999579,9.1564966714,0.8053091967696385
simples_n500_p05%_v1.col,500,5,1,500,6413,218.6,0.24494897427831777,10.2695541896,0.9065455533173737
simples_n500_p05%_v2.col,500,5,2,500,6224,212.0,0.31622776601683794,12.5150080922,1.8183115528130738
simples_n500_p10%_v1.col,500,10,1,500,12548,391.0,1.1401754250991378,39.1494657506,4.528254097947112
simples_n500_p10%_v2.col,500,10,2,500,12537,393.0,0.8944271909999159,31.998667545999997,4.500665892186949
simples_n500_p20%_v1.col,500,20,1,500,25054,500.0,0.0,68.7427480474,0.5840443629033434
simples_n500_p20%_v2.col,500,20,2,500,24765,500.0,0.0,67.65784405939999,0.47397104297189024
simples_n500_p30%_v1.col,500,30,1,500,37350,500.0,0.0,146.51566490559998,1.4296778316114491
simples_n500_p30%_v2.col,500,30,2,500,37393,500.0,0.0,145.6941475956,0.5329760851428501
simples_n500_p40%_v1.col,500,40,1,500,49424,500.0,0.0,257.9046196658,0.9180239295581761
simples_n500_p40%_v2.col,500,40,2,500,50039,500.0,0.0,243.494112695,0.451500177585255
