instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,20.0,0.31622776601683794,0.9756511675999999,0.8396462413475505
simples_n100_p01%_v2.col,100,1,2,100,48,18.2,0.3741657386773941,0.1419663276,0.00938342619913224
simples_n100_p03%_v1.col,100,3,1,100,155,23.4,0.5099019513592785,0.20386250239999998,0.008944218973890063
simples_n100_p03%_v2.col,100,3,2,100,154,24.4,0.6782329983125267,0.27807068040000005,0.031989437462870376
simples_n100_p05%_v1.col,100,5,1,100,213,27.2,0.7348469228349535,0.36601350579999997,0.04977895120688195
simples_n100_p05%_v2.col,100,5,2,100,253,30.0,0.31622776601683794,0.430394544,0.09425647424915456
simples_n100_p10%_v1.col,100,10,1,100,499,46.6,0.24494897427831777,0.6972376158,0.038193645399331705
simples_n100_p10%_v2.col,100,10,2,100,493,46.8,0.19999999999999998,0.7556611144,0.11508167367527115
simples_n100_p20%_v1.col,100,20,1,100,993,79.2,0.19999999999999998,1.4958181754000002,0.058149146563045616
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,1.5566043762,0.105563200765859
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,2.1872258157999998,0.0037966311864114127
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,2.3571518272,0.08576961699906632
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,3.5821618816000003,0.08223071790389276
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,3.6119953738000006,0.09548393162216759
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,175.2,2.353720459187964,24.2862391708,1.5090897639942185
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,181.0,2.9154759474226504,22.3429007306,1.0693447205154145
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,350.2,0.3741657386773941,43.198981554199996,1.3152277086518496
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,346.8,0.48989794855663565,41.5543582336,1.1073334336230882
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,537.6,0.7483314773547882,85.5326138412,6.996600137157333
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,534.8,0.7999999999999999,85.92743281999999,3.758636087888146
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,231.8208336626,0.056551358365376274
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,230.300987923,0.5707354787603512
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,816.5656276458001,9.396752717316565
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,832.0618354156001,1.1613145622164096
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,1791.4967723338,5.629434579838538
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,1792.9559013848,2.6067468714662514
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,3195.145191853,8.751445407547054
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,4010.4846940214,186.32186499307002
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,254.6,2.227105745132009,95.3566188426,8.685721816029492
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,256.2,2.576819745345025,99.9294452956,13.387093052545113
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,596.8,0.8602325267042626,182.842447593,3.2002386182929983
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,593.2,0.6633249580710799,183.6170242064,5.281679048586484
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,937.6,0.5099019513592784,440.0149299908,45.280724206414334
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,932.4,0.5099019513592785,459.30148316699996,70.7342061335445
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,1105.31607325,2.034669414487624
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,1006.8271337399998,60.18940595341443
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,3779.4878968945995,140.71283748614587
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,4019.322315058,19.011997546657966
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,8339.780890705599,49.73635391584393
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,8255.6487492238,162.918195343952
