instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,21.0,0.31622776601683794,0.9553560279999997,0.7845408794080394
simples_n100_p01%_v2.col,100,1,2,100,48,18.2,0.6633249580710798,0.0733143576,0.0041222837852558205
simples_n100_p03%_v1.col,100,3,1,100,155,23.0,0.4472135954999579,0.1584637864,0.021805744667364155
simples_n100_p03%_v2.col,100,3,2,100,154,24.0,0.6324555320336759,0.13558255900000002,0.006974474743412001
simples_n100_p05%_v1.col,100,5,1,100,213,27.6,0.5099019513592785,0.16584335960000002,0.02538608510044889
simples_n100_p05%_v2.col,100,5,2,100,253,29.8,0.3741657386773941,0.2060993168,0.01593723278457414
simples_n100_p10%_v1.col,100,10,1,100,499,47.0,0.0,0.2882217398,0.01952627144459225
simples_n100_p10%_v2.col,100,10,2,100,493,46.8,0.19999999999999998,0.41320712400000004,0.07799531094511974
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,0.7003435888,0.021552918403796962
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,0.7729958561999999,0.06738630231411333
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,0.9469518062000001,0.003190005409720999
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,0.9863497280000001,0.0005574976613955394
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,1.6076070622,0.08500217099610477
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,1.4954021711999999,0.004670397305725699
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,172.0,5.215361924162119,16.6395762114,2.868932168594642
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,175.0,2.8809720581775866,15.3591582746,0.9985983145437705
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,348.8,0.3741657386773941,20.3370102792,1.7267689168056193
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,345.8,0.7348469228349535,20.0032712924,1.9700630685347207
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,536.4,0.8717797887081347,37.6887852988,2.6639480558540627
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,535.6,1.5033296378372907,41.1910218064,5.439661132836766
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,97.7831914934,0.06432802792552297
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,97.51075757779999,0.12690297960706112
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,323.222160714,0.27210026402034626
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,327.33870500980004,3.672094718514265
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,725.8704744652001,1.4897828257660855
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,730.9930884846001,0.9664783193437774
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,1306.9475824582,0.6831046321174518
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,1356.8314828408,25.0728788111956
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,256.8,2.745906043549196,31.6158143768,4.542015239753682
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,253.2,1.0677078252031311,40.110905898599995,3.799801232259374
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,598.4,0.6782329983125267,57.8907142904,4.028529721825938
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,593.4,0.5099019513592785,55.612393735,4.600208958912381
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,937.4,1.9131126469708992,120.561250466,8.856005252584191
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,931.4,0.7483314773547882,118.18096177980001,6.409923531313921
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,331.398532619,0.07170126494442833
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,330.74020314,0.9991507447474739
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,1177.0742038274002,4.16083088615422
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,1186.7769899363998,2.996737591832781
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,2641.4503240681997,86.58719909292185
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,2775.7015504148,154.6973312106703
simples_n1500_p40%_v1.col,1500,40,1,1500,449641,1500.0,0.0,5553.3952871189995,223.67184933046104
simples_n1500_p40%_v2.col,1500,40,2,1500,449668,1500.0,0.0,6030.429813774399,29.579323651984065
simples_n2000_p01%_v1.col,2000,1,1,2000,20148,357.8,1.0677078252031311,117.2078069228,14.702385415328278
simples_n2000_p01%_v2.col,2000,1,2,2000,19958,353.0,0.7745966692414833,111.5988015702,9.900268758978644
simples_n2000_p03%_v1.col,2000,3,1,2000,59842,876.4,0.9797958971132711,211.4379688418,20.269398534249135
simples_n2000_p03%_v2.col,2000,3,2,2000,60488,884.8,0.7348469228349535,211.45249615940003,13.698241305640707
simples_n2000_p05%_v1.col,2000,5,1,2000,100255,1425.2,2.083266665599966,390.760674515,26.325275838999858
simples_n2000_p05%_v2.col,2000,5,2,2000,100340,1424.8,0.9695359714832658,441.9742593643999,47.46172792455468
simples_n2000_p10%_v1.col,2000,10,1,2000,200162,2000.0,0.0,1097.9771754872,12.114850934440872
simples_n2000_p10%_v2.col,2000,10,2,2000,199606,2000.0,0.0,1021.7084778612,49.63972308105422
