instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,19.8,0.1999999999999999,1.1023472507999998,0.9281503431274344
simples_n100_p01%_v2.col,100,1,2,100,48,18.0,0.6324555320336759,0.2232883617999999,0.0610572331405835
simples_n100_p03%_v1.col,100,3,1,100,155,21.0,0.0,0.4436212553999999,0.1010732852572577
simples_n100_p03%_v2.col,100,3,2,100,154,21.6,0.3999999999999999,0.5951672290000001,0.147853789586812
simples_n100_p05%_v1.col,100,5,1,100,213,25.4,0.2449489742783177,0.5917334590000001,0.0743601802445165
simples_n100_p05%_v2.col,100,5,2,100,253,28.8,0.1999999999999999,0.6026190344,0.087922394569311
simples_n100_p10%_v1.col,100,10,1,100,499,45.0,0.3162277660168379,1.029734796,0.160959937633636
simples_n100_p10%_v2.col,100,10,2,100,493,44.2,0.1999999999999999,1.1339796044,0.0624499557991722
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,1.6682394256,0.0836856977151494
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,1.5660528668,0.0912991069758344
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,2.3337679498,0.074562097322173
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,2.4683479342,0.0922098121151832
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,3.7202936228,0.0768569429862729
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,3.6187286336,0.0804265264823951
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,158.6,1.1224972160321824,49.7454114346,4.120229911968966
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,161.6,2.580697580112788,50.1111011426,6.413706244906615
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,339.8,1.019803902718557,117.8294185792,7.851869322326932
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,338.6,0.9273618495495702,106.8339727014,18.02994643339553
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,517.2,1.8275666882497064,316.9048522838,59.56220568325482
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,519.2,2.130727575266252,298.911578996,52.35331166340044
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,242.9663522446,0.4504781484406092
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,242.7780046858,0.2210481960926582
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,842.0797041694001,2.4101796445187644
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,838.6621117441998,0.6883923134972042
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,1839.8100598938,27.080032809346257
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,2025.918652785,117.60815037663622
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,3424.5964817554,152.38820733891197
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,4286.673125829,24.25182570766016
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,247.0,2.345207879911715,195.39372518060003,23.77892573270993
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,250.8,0.7348469228349535,177.8266146592,15.549380486460578
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,584.0,1.3416407864998738,711.3872404832,137.98563312101254
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,579.8,0.58309518948453,565.527508249,26.05403344393592
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,902.0,2.408318915758459,1525.4741406476,156.17162685911546
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,895.8,3.8262252939417984,1734.22635911,161.12957466529576
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,1294.6161695296,26.253038662748526
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,1214.5357463942,22.78976590226789
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,3901.5016305472,173.97187414206553
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,3609.3035609907993,208.19357780750036
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,8582.7764247492,83.91504017069985
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,8526.414680028,15.864924957967467
simples_n500_p01%_v1.col,500,1,1,500,1247,74.6,1.886796226411321,20.052144905,2.3419204495600296
simples_n500_p01%_v2.col,500,1,2,500,1334,77.8,2.477902338672773,19.3594407022,2.518456441536688
simples_n500_p03%_v1.col,500,3,1,500,3630,135.4,0.8124038404635959,29.0868201594,4.094056982793308
simples_n500_p03%_v2.col,500,3,2,500,3730,138.4,0.8124038404635959,26.8771361624,1.484235231919397
simples_n500_p05%_v1.col,500,5,1,500,6413,210.2,0.7348469228349535,55.1643381298,4.182689822133099
simples_n500_p05%_v2.col,500,5,2,500,6224,206.0,0.8944271909999159,35.6283839888,4.079236206539881
simples_n500_p10%_v1.col,500,10,1,500,12548,384.8,1.019803902718557,92.3135436124,7.802865776177683
simples_n500_p10%_v2.col,500,10,2,500,12537,384.6,0.6782329983125268,68.26519543900001,3.289136275414859
simples_n500_p20%_v1.col,500,20,1,500,25054,500.0,0.0,118.0256326106,0.1937817070315434
simples_n500_p20%_v2.col,500,20,2,500,24765,500.0,0.0,114.061422496,0.1096503067714109
simples_n500_p30%_v1.col,500,30,1,500,37350,500.0,0.0,246.229374975,0.0831219968110582
simples_n500_p30%_v2.col,500,30,2,500,37393,500.0,0.0,243.4169644668,0.1495572425054436
simples_n500_p40%_v1.col,500,40,1,500,49424,500.0,0.0,433.8522551398,0.3074706415748108
simples_n500_p40%_v2.col,500,40,2,500,50039,500.0,0.0,537.4703276192,24.993518771932933
