instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n500_p01%_v1.col,500,1,1,500,1247,76.4,3.82883794381533,15.707634525400001,2.8343285919176755
simples_n500_p01%_v2.col,500,1,2,500,1334,80.2,1.9078784028338913,12.847919968400001,1.931293477574931
simples_n500_p03%_v1.col,500,3,1,500,3630,136.2,0.48989794855663565,14.163339014600002,0.9797611372157916
simples_n500_p03%_v2.col,500,3,2,500,3730,140.2,0.6633249580710799,12.7223615028,1.2562435550234077
simples_n500_p05%_v1.col,500,5,1,500,6413,211.8,0.7348469228349535,25.622838129399998,2.947468713481487
simples_n500_p05%_v2.col,500,5,2,500,6224,207.8,0.58309518948453,27.882549344,2.620664376361871
simples_n500_p10%_v1.col,500,10,1,500,12548,385.6,1.0295630140987,67.04246716,5.8894726813145315
simples_n500_p10%_v2.col,500,10,2,500,12537,386.0,1.949358868961793,53.0977864824,5.386874564848459
simples_n500_p20%_v1.col,500,20,1,500,25054,500.0,0.0,68.828927806,0.22429611153893358
simples_n500_p20%_v2.col,500,20,2,500,24765,500.0,0.0,67.46979764300002,1.0537120901922676
simples_n500_p30%_v1.col,500,30,1,500,37350,500.0,0.0,146.7185075888,1.057791386927055
simples_n500_p30%_v2.col,500,30,2,500,37393,500.0,0.0,143.5586309784,0.6081753012339518
simples_n500_p40%_v1.col,500,40,1,500,49424,500.0,0.0,245.0530162292,4.371044483970255
simples_n500_p40%_v2.col,500,40,2,500,50039,500.0,0.0,241.620029891,0.45613115412086214
