instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,19.8,0.19999999999999998,1.1023472507999998,0.9281503431274343
simples_n100_p01%_v2.col,100,1,2,100,48,18.0,0.6324555320336759,0.22328836179999997,0.06105723314058352
simples_n100_p03%_v1.col,100,3,1,100,155,21.0,0.0,0.44362125539999997,0.10107328525725778
simples_n100_p03%_v2.col,100,3,2,100,154,21.6,0.39999999999999997,0.5951672290000001,0.14785378958681208
simples_n100_p05%_v1.col,100,5,1,100,213,25.4,0.24494897427831777,0.5917334590000001,0.0743601802445165
simples_n100_p05%_v2.col,100,5,2,100,253,28.8,0.19999999999999998,0.6026190344,0.08792239456931103
simples_n100_p10%_v1.col,100,10,1,100,499,45.0,0.31622776601683794,1.029734796,0.16095993763363606
simples_n100_p10%_v2.col,100,10,2,100,493,44.2,0.19999999999999998,1.1339796044,0.062449955799172265
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,1.6682394256,0.08368569771514942
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,1.5660528668,0.0912991069758344
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,2.3337679498,0.07456209732217302
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,2.4683479341999996,0.0922098121151832
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,3.7202936228,0.07685694298627294
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,3.6187286336,0.08042652648239512
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,158.6,1.1224972160321824,49.7454114346,4.120229911968966
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,161.6,2.580697580112788,50.1111011426,6.413706244906615
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,339.8,1.019803902718557,117.8294185792,7.851869322326932
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,338.6,0.9273618495495702,106.83397270140001,18.02994643339553
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,517.2,1.8275666882497066,316.9048522838,59.562205683254824
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,519.2,2.130727575266252,298.911578996,52.35331166340044
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,242.96635224459996,0.4504781484406092
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,242.7780046858,0.22104819609265827
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,842.0797041694001,2.4101796445187644
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,838.6621117441998,0.6883923134972042
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,1839.8100598938,27.080032809346257
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,2025.9186527850002,117.60815037663622
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,3424.5964817554,152.38820733891197
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,4286.673125829,24.25182570766016
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,247.0,2.345207879911715,195.39372518060003,23.778925732709926
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,250.8,0.7348469228349535,177.8266146592,15.549380486460578
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,584.0,1.3416407864998738,711.3872404832,137.98563312101254
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,579.8,0.58309518948453,565.527508249,26.05403344393592
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,902.0,2.408318915758459,1525.4741406476,156.17162685911546
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,895.8,3.8262252939417984,1734.22635911,161.12957466529576
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,1294.6161695296,26.253038662748526
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,1214.5357463942,22.78976590226789
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,3901.5016305472004,173.97187414206553
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,3609.3035609907993,208.19357780750033
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,8582.7764247492,83.91504017069985
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,8526.414680028,15.864924957967467
