instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n500_p01%_v1.col,500,1,1,500,1247,82.8,2.009975124224178,21.394311644200002,3.7078214258298434
simples_n500_p01%_v2.col,500,1,2,500,1334,81.6,3.4727510708370675,27.3676629988,2.226332457494536
simples_n500_p03%_v1.col,500,3,1,500,3630,136.6,0.7483314773547882,27.126534024799998,2.1953357519512577
simples_n500_p03%_v2.col,500,3,2,500,3730,139.2,0.9695359714832658,30.435458917400002,3.7294087329612626
simples_n500_p05%_v1.col,500,5,1,500,6413,211.2,0.7348469228349535,57.236095772599995,4.5381019620609795
simples_n500_p05%_v2.col,500,5,2,500,6224,207.6,0.8124038404635959,54.0350726882,13.477563145750144
simples_n500_p10%_v1.col,500,10,1,500,12548,385.0,0.4472135954999579,129.4882812118,9.362101910000284
simples_n500_p10%_v2.col,500,10,2,500,12537,383.8,1.4966629547095764,155.2171648902,20.4362266810353
simples_n500_p20%_v1.col,500,20,1,500,25054,500.0,0.0,214.1397839572,0.43182323100799413
simples_n500_p20%_v2.col,500,20,2,500,24765,500.0,0.0,208.5336602038,0.17021112434898505
simples_n500_p30%_v1.col,500,30,1,500,37350,500.0,0.0,453.71090358720005,0.4872310448176777
simples_n500_p30%_v2.col,500,30,2,500,37393,500.0,0.0,416.52943922659995,16.897680797713413
simples_n500_p40%_v1.col,500,40,1,500,49424,500.0,0.0,708.4328773807999,42.98944912027098
simples_n500_p40%_v2.col,500,40,2,500,50039,500.0,0.0,610.1327723168,0.27286034277649746
