instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,19.6,0.24494897427831777,2.5196322192000005,1.9096448967163666
simples_n100_p01%_v2.col,100,1,2,100,48,16.8,0.3741657386773941,0.4310294352,0.02426758486869027
simples_n100_p03%_v1.col,100,3,1,100,155,21.2,0.3741657386773941,1.1453668316,0.22521103205092247
simples_n100_p03%_v2.col,100,3,2,100,154,20.8,0.19999999999999998,1.2087916558,0.16746215482160715
simples_n100_p05%_v1.col,100,5,1,100,213,25.2,0.19999999999999998,1.2753544896000002,0.1521949824001037
simples_n100_p05%_v2.col,100,5,2,100,253,28.6,0.24494897427831777,1.2923662954000001,0.1603292502312594
simples_n100_p10%_v1.col,100,10,1,100,499,44.8,0.19999999999999998,2.3753922644,0.2497713626052547
simples_n100_p10%_v2.col,100,10,2,100,493,44.6,0.24494897427831777,2.4037680166,0.356522360034853
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,3.5541884592,0.18309626610534574
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,3.5349790332000004,0.153139729430131
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,4.8756917996,0.14379731546459876
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,5.191891664399999,0.16773829675468407
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,7.8000775674,0.19355101252739842
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,7.551145733000001,0.13647414309914538
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,159.2,1.9849433241279204,105.441484743,9.677642793253248
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,159.0,1.3038404810405297,121.31318200280002,11.161859462884369
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,342.2,0.7999999999999999,252.767823533,21.46735429299855
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,338.0,1.0488088481701516,287.297106835,24.485078748271487
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,519.2,1.7435595774162693,599.3802203758,75.03439401366069
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,516.8,2.009975124224178,582.4628084113999,86.86432611761416
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,523.5994148312,1.8128536948873566
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,519.9298280252,0.5413624276835535
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,1660.2685647972,37.627331288657636
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,1713.1527987594,7.0498470019782715
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,3477.9027662848,83.90835182195218
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,3536.3900028942,6.119937967717114
