instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
100,1,100,51,1,0.36922519779999996,0.36551857272173177,simples_n100_p01%_v1.col,24.4,0.24494897427831777
100,1,100,48,2,0.0039004135999999995,7.507596307247747e-5,simples_n100_p01%_v2.col,22.6,0.24494897427831777
100,3,100,155,1,0.0098949174,0.0014446816997979379,simples_n100_p03%_v1.col,27.0,0.7071067811865476
100,3,100,154,2,0.0087194784,0.00019146032293365642,simples_n100_p03%_v2.col,29.0,0.31622776601683794
100,5,100,213,1,0.0114916588,7.216758183796922e-5,simples_n100_p05%_v1.col,29.8,0.7348469228349535
100,5,100,253,2,0.0123241566,5.4938404343955895e-5,simples_n100_p05%_v2.col,31.6,0.24494897427831777
100,10,100,499,1,0.104052941,0.08623506337950228,simples_n100_p10%_v1.col,48.0,0.31622776601683794
100,10,100,493,2,0.017058195399999997,2.6492317321442373e-5,simples_n100_p10%_v2.col,47.0,0.4472135954999579
100,20,100,993,1,0.0401240316,0.0009548340699300365,simples_n100_p20%_v1.col,79.8,0.19999999999999998
100,20,100,992,2,0.038897154,0.00305131558195125,simples_n100_p20%_v2.col,80.0,0.0
100,30,100,1444,1,0.058913451000000006,4.0277940713248354e-5,simples_n100_p30%_v1.col,100.0,0.0
100,30,100,1480,2,0.0624243322,0.0013813515492321791,simples_n100_p30%_v2.col,100.0,0.0
100,40,100,1963,1,0.0948114286,9.239329865666709e-5,simples_n100_p40%_v1.col,100.0,0.0
100,40,100,1948,2,0.0939652862,0.000539064169671609,simples_n100_p40%_v2.col,100.0,0.0
1000,1,1000,4972,1,0.5575417006000001,0.003236026360452229,simples_n1000_p01%_v1.col,203.0,1.3038404810405297
1000,1,1000,4997,2,0.5653536885999999,0.004204346882668069,simples_n1000_p01%_v2.col,197.8,2.497999199359359
1000,3,1000,15032,1,1.0730535084000001,0.08842609253845747,simples_n1000_p03%_v1.col,352.2,0.58309518948453
1000,3,1000,14860,2,1.0514336292,0.06715367685029097,simples_n1000_p03%_v2.col,349.4,0.6782329983125267
1000,5,1000,25093,1,1.8400315649999999,0.026253363662693086,simples_n1000_p05%_v1.col,539.6,1.16619037896906
1000,5,1000,25053,2,1.9480157785999999,0.07596018182718564,simples_n1000_p05%_v2.col,540.4,0.5099019513592785
1000,10,1000,50462,1,6.360641049200001,0.023414457560931103,simples_n1000_p10%_v1.col,986.0,0.0
1000,10,1000,50213,2,6.3447666042,0.06854954708269444,simples_n1000_p10%_v2.col,980.0,0.0
1000,20,1000,100166,1,21.0981586636,0.10176148125413285,simples_n1000_p20%_v1.col,1000.0,0.0
1000,20,1000,99937,2,20.9184355266,0.09191652203487297,simples_n1000_p20%_v2.col,1000.0,0.0
1000,30,1000,149824,1,44.20620279,0.10102306757968715,simples_n1000_p30%_v1.col,1000.0,0.0
1000,30,1000,149947,2,44.354658798799996,0.12281391485707267,simples_n1000_p30%_v2.col,1000.0,0.0
1000,40,1000,199724,1,78.556914621,0.11115160277309288,simples_n1000_p40%_v1.col,1000.0,0.0
1000,40,1000,199519,2,78.45602602000001,0.10468633897595599,simples_n1000_p40%_v2.col,1000.0,0.0
1500,1,1500,11366,1,1.3613282372,0.07147592472944687,simples_n1500_p01%_v1.col,264.4,0.6
1500,1,1500,11342,2,1.3560894647999997,0.07215258646928943,simples_n1500_p01%_v2.col,266.2,0.7348469228349535
1500,3,1500,33773,1,2.7359259426,0.007325013450176326,simples_n1500_p03%_v1.col,600.2,1.1575836902790224
1500,3,1500,33497,2,2.7406547,0.08002058996990445,simples_n1500_p03%_v2.col,596.0,0.9486832980505137
1500,5,1500,56316,1,6.058433741,0.07464772430120721,simples_n1500_p05%_v1.col,940.0,1.2649110640673518
1500,5,1500,56011,2,6.0228822058,0.06785084312890297,simples_n1500_p05%_v2.col,936.2,1.8814887722226779
1500,10,1500,112217,1,18.892081256199997,0.1040734937205296,simples_n1500_p10%_v1.col,1500.0,0.0
1500,10,1500,112691,2,18.675365596,0.11227830418848804,simples_n1500_p10%_v2.col,1500.0,0.0
1500,20,1500,224745,1,68.57614819160001,0.40320526456090877,simples_n1500_p20%_v1.col,1500.0,0.0
1500,20,1500,225120,2,69.136852431,0.0775632832253818,simples_n1500_p20%_v2.col,1500.0,0.0
1500,30,1500,337438,1,147.72092982119997,0.43616589401593164,simples_n1500_p30%_v1.col,1500.0,0.0
1500,30,1500,337407,2,147.69931689519998,0.5775713233727789,simples_n1500_p30%_v2.col,1500.0,0.0
1500,40,1500,449641,1,264.081423504,0.8837022289298279,simples_n1500_p40%_v1.col,1500.0,0.0
1500,40,1500,449668,2,262.5128343946,0.7626400851164544,simples_n1500_p40%_v2.col,1500.0,0.0
2000,1,2000,20148,1,2.2427926452,0.09055311777356913,simples_n2000_p01%_v1.col,364.0,0.4472135954999579
2000,1,2000,19958,2,2.1930093102,0.07855124703495613,simples_n2000_p01%_v2.col,361.2,0.6633249580710799
2000,3,2000,59842,1,6.2309654908,0.06605623937223423,simples_n2000_p03%_v1.col,877.8,0.8602325267042626
2000,3,2000,60488,2,6.248135169,0.005114510434609418,simples_n2000_p03%_v2.col,887.6,0.4
2000,5,2000,100255,1,12.594609462,0.10925008631086862,simples_n2000_p05%_v1.col,1427.6,1.8055470085267786
2000,5,2000,100340,2,12.611340912600001,0.08768905161300852,simples_n2000_p05%_v2.col,1429.2,1.593737745050923
2000,10,2000,200162,1,44.076896679,0.13863127797705424,simples_n2000_p10%_v1.col,2000.0,0.0
2000,10,2000,199606,2,43.981046191199994,0.16270363554867578,simples_n2000_p10%_v2.col,2000.0,0.0
2000,20,2000,399450,1,165.96461414499998,0.46673614136282127,simples_n2000_p20%_v1.col,2000.0,0.0
2000,20,2000,398863,2,164.25267295399996,0.2005573689389245,simples_n2000_p20%_v2.col,2000.0,0.0
2000,30,2000,600020,1,357.5524638682,1.927030352071233,simples_n2000_p30%_v1.col,2000.0,0.0
2000,30,2000,599634,2,360.562997762,1.2429076483296604,simples_n2000_p30%_v2.col,2000.0,0.0
2000,40,2000,798960,1,638.9427225012,1.889240213569401,simples_n2000_p40%_v1.col,2000.0,0.0
2000,40,2000,799929,2,647.2358049256001,0.6530035137767232,simples_n2000_p40%_v2.col,2000.0,0.0
500,1,500,1247,1,0.14483996640000002,0.008869246950731085,simples_n500_p01%_v1.col,132.2,1.8547236990991405
500,1,500,1334,2,0.2050417838,0.06608350229157722,simples_n500_p01%_v2.col,125.6,1.630950643030009
500,3,500,3630,1,0.20719335780000003,0.0006471589497212716,simples_n500_p03%_v1.col,142.0,0.5477225575051661
500,3,500,3730,2,0.21358023080000002,0.00040741359809282036,simples_n500_p03%_v2.col,145.8,0.3741657386773941
500,5,500,6413,1,0.3234896328,0.001392324436802912,simples_n500_p05%_v1.col,221.2,0.3741657386773941
500,5,500,6224,2,0.3190609406,0.0004563871318373893,simples_n500_p05%_v2.col,214.2,0.48989794855663554
500,10,500,12548,1,0.8671227330000001,0.0011383293998797894,simples_n500_p10%_v1.col,396.4,0.812403840463596
500,10,500,12537,2,0.9342832284,0.0706521286918906,simples_n500_p10%_v2.col,396.6,0.8717797887081347
500,20,500,25054,1,2.8313219548,0.06720329905596867,simples_n500_p20%_v1.col,500.0,0.0
500,20,500,24765,2,2.7000347741999997,0.0033476111765822513,simples_n500_p20%_v2.col,500.0,0.0
500,30,500,37350,1,5.8042896364,0.07521160779904046,simples_n500_p30%_v1.col,500.0,0.0
500,30,500,37393,2,5.8040264926,0.09113819267283282,simples_n500_p30%_v2.col,500.0,0.0
500,40,500,49424,1,10.3786873304,0.06439974977645967,simples_n500_p40%_v1.col,500.0,0.0
500,40,500,50039,2,10.540738494600001,0.09749229243634966,simples_n500_p40%_v2.col,500.0,0.0
