instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n500_p01%_v1.col,500,1,1,500,1247,87.2,1.9078784028338913,24.9440059342,3.228109780974322
simples_n500_p01%_v2.col,500,1,2,500,1334,86.4,3.171750305430741,15.870215941200001,1.2360910909628087
simples_n500_p03%_v1.col,500,3,1,500,3630,136.8,0.58309518948453,10.012576939800002,0.7576765193729473
simples_n500_p03%_v2.col,500,3,2,500,3730,139.6,0.7483314773547882,13.867624314,1.8749582589193754
simples_n500_p05%_v1.col,500,5,1,500,6413,214.6,0.7483314773547882,22.830827294000002,5.124569557354396
simples_n500_p05%_v2.col,500,5,2,500,6224,210.4,0.6782329983125267,15.373967988199999,1.7392641338040162
simples_n500_p10%_v1.col,500,10,1,500,12548,384.4,0.9273618495495702,102.7221971984,8.212576118934788
simples_n500_p10%_v2.col,500,10,2,500,12537,384.6,1.833030277982336,119.96514263119998,12.341006076156914
simples_n500_p20%_v1.col,500,20,1,500,25054,500.0,0.0,109.51009572999999,0.02920642633558276
simples_n500_p20%_v2.col,500,20,2,500,24765,500.0,0.0,107.1237561558,0.015993513619054933
simples_n500_p30%_v1.col,500,30,1,500,37350,500.0,0.0,233.1351728936,0.38713766848277215
simples_n500_p30%_v2.col,500,30,2,500,37393,500.0,0.0,229.0402731876,0.18614715998823408
simples_n500_p40%_v1.col,500,40,1,500,49424,500.0,0.0,406.70897736099994,1.6325225200432247
simples_n500_p40%_v2.col,500,40,2,500,50039,500.0,0.0,420.553987397,0.7142483796705288
