instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v3.col,100,1,3,100,43,20.6,0.24494897427831777,1.0246771051999999,0.9577483234274103
simples_n100_p01%_v4.col,100,1,4,100,51,20.0,0.31622776601683794,0.0739233644,0.006052661172680149
simples_n100_p01%_v5.col,100,1,5,100,56,21.0,0.31622776601683794,0.10608521359999998,0.012455100566488641
simples_n100_p03%_v3.col,100,3,3,100,151,22.0,0.4472135954999579,0.29052673660000006,0.07306315179470427
simples_n100_p03%_v4.col,100,3,4,100,149,21.4,0.6,0.200242419,0.03068365635724306
simples_n100_p03%_v5.col,100,3,5,100,161,22.8,0.3741657386773941,0.28834411280000005,0.05216721320561109
simples_n100_p05%_v3.col,100,5,3,100,268,30.2,0.19999999999999998,0.18653974420000002,0.025165909839844434
simples_n100_p05%_v4.col,100,5,4,100,219,26.4,0.39999999999999997,0.3184639632,0.08712980556896731
simples_n100_p05%_v5.col,100,5,5,100,271,30.4,0.39999999999999997,0.17679066440000002,0.010317877133218162
simples_n100_p10%_v3.col,100,10,3,100,548,49.4,0.39999999999999997,0.32474064900000005,0.04217726302694983
simples_n100_p10%_v4.col,100,10,4,100,520,47.8,0.3741657386773941,0.3158520678,0.04703979451935798
simples_n100_p10%_v5.col,100,10,5,100,513,47.0,0.4472135954999579,0.2889480534,0.0517350144672165
simples_n1000_p01%_v3.col,1000,1,3,1000,5119,170.0,3.7416573867739413,19.140829752000002,2.049143860629084
simples_n1000_p01%_v4.col,1000,1,4,1000,4875,164.8,1.8275666882497066,29.1803157942,3.820716517535746
simples_n1000_p01%_v5.col,1000,1,5,1000,4914,162.2,5.616048432839588,24.428965576799996,3.2300763176087797
simples_n1000_p03%_v3.col,1000,3,3,1000,14977,346.4,0.5099019513592785,22.383497055600003,1.2434524414035524
simples_n1000_p03%_v4.col,1000,3,4,1000,15042,347.0,0.4472135954999579,20.9912070196,2.265382621559244
simples_n1000_p03%_v5.col,1000,3,5,1000,14848,344.0,0.5477225575051661,23.864903738,3.921800377841111
simples_n1000_p05%_v3.col,1000,5,3,1000,25160,532.6,1.2884098726725124,42.0509864992,4.037747817797177
simples_n1000_p05%_v4.col,1000,5,4,1000,24797,526.6,1.2884098726725124,53.5245803458,16.02404840870107
simples_n1000_p05%_v5.col,1000,5,5,1000,24991,531.4,0.39999999999999997,43.0684643262,6.831132156906512
simples_n1000_p10%_v3.col,1000,10,3,1000,49945,984.0,0.0,67.5349579706,0.7447615726330814
simples_n1000_p10%_v4.col,1000,10,4,1000,50219,983.0,0.0,66.525968437,0.05831530218232581
simples_n1000_p10%_v5.col,1000,10,5,1000,49888,987.0,0.0,65.94043327680001,0.10883460078035515
simples_n1500_p01%_v3.col,1500,1,3,1500,11148,247.8,1.3190905958272916,37.904758942,2.9856906749569676
simples_n1500_p01%_v4.col,1500,1,4,1500,11074,248.4,2.2271057451320084,43.85872958739999,8.757568441587555
simples_n1500_p01%_v5.col,1500,1,5,1500,11227,249.4,1.6613247725836149,39.6486730092,6.32905257908703
simples_n1500_p03%_v3.col,1500,3,3,1500,33732,591.2,0.9695359714832658,70.77745397359999,11.0972639968465
simples_n1500_p03%_v4.col,1500,3,4,1500,33940,598.0,0.5477225575051661,45.0398299472,6.146868370100972
simples_n1500_p03%_v5.col,1500,3,5,1500,33924,596.6,1.2884098726725124,48.344050213200006,6.8301538337321555
simples_n1500_p05%_v3.col,1500,5,3,1500,55766,921.4,3.2341923257592455,137.0152572166,21.97115724064647
simples_n1500_p05%_v4.col,1500,5,4,1500,56187,930.8,0.7348469228349535,121.82809035780001,5.500424498838567
simples_n1500_p05%_v5.col,1500,5,5,1500,56021,928.4,0.9273618495495705,99.3530318318,9.574309419505427
simples_n1500_p10%_v3.col,1500,10,3,1500,112672,1500.0,0.0,200.6057089862,0.06818749881052522
simples_n1500_p10%_v4.col,1500,10,4,1500,112801,1499.0,0.0,200.85716734399998,0.08264664947612373
simples_n1500_p10%_v5.col,1500,10,5,1500,112693,1500.0,0.0,200.8400866612,0.09532199687791133
simples_n500_p01%_v3.col,500,1,3,500,1196,107.4,5.381449618829484,3.7197529571999994,0.6696522244529404
simples_n500_p01%_v4.col,500,1,4,500,1278,104.8,2.88790581563873,5.5058659104,0.7065101680584891
simples_n500_p01%_v5.col,500,1,5,500,1243,96.0,3.391164991562634,6.8929703028,0.6890586148077752
simples_n500_p03%_v3.col,500,3,3,500,3725,139.6,0.5099019513592785,4.5096206816,0.561542694721977
simples_n500_p03%_v4.col,500,3,4,500,3694,140.2,0.8602325267042626,4.0368663384,0.5645476566066815
simples_n500_p03%_v5.col,500,3,5,500,3741,141.8,0.7999999999999999,4.2029439382,0.4953723566105182
simples_n500_p05%_v3.col,500,5,3,500,6266,211.2,0.6633249580710799,6.589855055399999,0.37287661628425706
simples_n500_p05%_v4.col,500,5,4,500,6217,210.4,0.39999999999999997,5.886571819399999,0.6349750561834687
simples_n500_p05%_v5.col,500,5,5,500,6277,211.4,0.5099019513592785,6.8222685426,0.6881995323173341
simples_n500_p10%_v3.col,500,10,3,500,12464,390.0,0.7071067811865476,15.460740066400001,2.4187544015109386
simples_n500_p10%_v4.col,500,10,4,500,12431,388.8,1.6552945357246849,23.046853466199998,5.936068074286218
simples_n500_p10%_v5.col,500,10,5,500,12664,392.0,1.0488088481701516,27.195385351799995,5.0881852520115824
