instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,20.0,0.31622776601683794,2.0868829518000003,1.8223989784183587
simples_n100_p01%_v2.col,100,1,2,100,48,17.6,0.24494897427831777,0.3998680739999999,0.11229153169609721
simples_n100_p03%_v1.col,100,3,1,100,155,21.0,0.31622776601683794,0.7368229188,0.14636500090961796
simples_n100_p03%_v2.col,100,3,2,100,154,21.8,0.19999999999999998,0.7542803694,0.11043891173512979
simples_n100_p05%_v1.col,100,5,1,100,213,25.2,0.19999999999999998,1.0123684438,0.22244914146922515
simples_n100_p05%_v2.col,100,5,2,100,253,28.6,0.24494897427831777,0.7957778354,0.15982558317632187
simples_n100_p10%_v1.col,100,10,1,100,499,45.0,0.31622776601683794,1.6920075646000001,0.2013211587065221
simples_n100_p10%_v2.col,100,10,2,100,493,45.4,0.24494897427831777,1.1796891727999999,0.2384749506218236
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,2.0601899422,0.2770226310703946
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,1.7975013328,0.1326879340418856
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,2.5412296238,0.15451357212835656
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,2.6310715202,0.1292882243240234
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,3.9603906982,0.13638230840881743
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,3.8708934600000005,0.1280977089999029
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,157.6,1.0295630140987,88.6727186576,6.359063433962114
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,156.8,2.0591260281974,92.503298151,20.683277926799434
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,344.8,0.58309518948453,89.93355008220001,5.543216678779769
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,342.6,0.5099019513592784,82.2011294486,7.929809785462579
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,530.2,1.0198039027185568,170.3534342554,17.017634543573443
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,527.6,2.908607914449797,250.60653478139997,65.9155178145093
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,256.09799883900007,0.4905533586328661
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,256.0978389818,0.16240957012555846
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,878.7694304558001,2.251165095877007
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,873.1198271671999,3.3985833358061557
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,1776.7517854186,6.8140241659602605
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,1815.1669732338,1.6320696981675469
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,3142.9189042778,11.740786338854514
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,3125.6418553832,3.889650844064698
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,251.0,1.0488088481701516,122.05426456740001,8.135817298255493
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,248.8,1.4966629547095764,136.88267841959998,11.269787179489143
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,593.0,0.5477225575051661,284.7512291489999,21.078750610119712
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,588.8,0.3741657386773941,267.9500201142,18.56196489696754
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,918.8,5.073460357586328,1223.5224734592,366.04948654385106
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,906.4,4.985980344927163,1598.3290695878,332.8747831993701
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,907.6043440192,6.328330547951247
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,886.5858491532001,20.81757462921443
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,2691.9409836099994,155.39781597846857
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,2933.7957183259996,5.580506944232942
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,6007.0283531124005,105.35241588218582
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,4545.6300574128,13.147224498114896
simples_n1500_p40%_v1.col,1500,40,1,1500,449641,1500.0,0.0,9279.125481159801,560.5655324836358
simples_n1500_p40%_v2.col,1500,40,2,1500,449668,1500.0,0.0,9876.956086247199,313.64577988076707
simples_n500_p01%_v1.col,500,1,1,500,1247,87.2,3.152776554086889,18.5345443738,2.147241399815317
simples_n500_p01%_v2.col,500,1,2,500,1334,87.4,1.7204650534085253,11.7631906442,0.6578274681099814
simples_n500_p03%_v1.col,500,3,1,500,3630,137.0,0.7071067811865476,10.37637281,0.694183141165831
simples_n500_p03%_v2.col,500,3,2,500,3730,139.0,0.6324555320336759,11.7021815252,0.967126138128092
simples_n500_p05%_v1.col,500,5,1,500,6413,216.0,0.31622776601683794,14.086767221799999,1.4054475965976085
simples_n500_p05%_v2.col,500,5,2,500,6224,209.6,0.24494897427831777,15.1089844548,0.4420960511165264
simples_n500_p10%_v1.col,500,10,1,500,12548,385.2,0.8602325267042626,74.9344308548,6.41838595095988
simples_n500_p10%_v2.col,500,10,2,500,12537,384.8,1.743559577416269,84.0642779042,12.032151685662662
simples_n500_p20%_v1.col,500,20,1,500,25054,500.0,0.0,94.1498517496,5.8886903915114255
simples_n500_p20%_v2.col,500,20,2,500,24765,500.0,0.0,103.5804876132,0.034295185940111605
simples_n500_p30%_v1.col,500,30,1,500,37350,500.0,0.0,218.27239788019997,0.1591670707109067
simples_n500_p30%_v2.col,500,30,2,500,37393,500.0,0.0,220.24579572039997,0.09568083639713786
simples_n500_p40%_v1.col,500,40,1,500,49424,500.0,0.0,377.9209706422,3.9961859432387046
simples_n500_p40%_v2.col,500,40,2,500,50039,500.0,0.0,299.91532212479996,0.12294826262402019
