instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
100,1,100,51,1,0.3790054508,0.3753447176139393,simples_n100_p01%_v1.col,24.4,0.5099019513592785
100,1,100,48,2,0.003585299,5.1851669773499136e-5,simples_n100_p01%_v2.col,22.2,0.6633249580710799
100,3,100,155,1,0.0075540786,2.1050723741952416e-5,simples_n100_p03%_v1.col,27.0,0.4472135954999579
100,3,100,154,2,0.0084116086,0.00019945498541340098,simples_n100_p03%_v2.col,29.2,0.58309518948453
100,5,100,213,1,0.0111073104,3.735419314695467e-5,simples_n100_p05%_v1.col,29.2,0.3741657386773941
100,5,100,253,2,0.0120255974,6.38418678788459e-5,simples_n100_p05%_v2.col,31.6,0.24494897427831777
100,10,100,499,1,0.0925391368,0.0748171464542141,simples_n100_p10%_v1.col,48.6,0.24494897427831777
100,10,100,493,2,0.0167733516,6.597743613054365e-5,simples_n100_p10%_v2.col,47.6,0.24494897427831777
100,20,100,993,1,0.0395748208,0.0015630805845760932,simples_n100_p20%_v1.col,80.2,0.19999999999999998
100,20,100,992,2,0.0452755376,0.008966312468162384,simples_n100_p20%_v2.col,80.0,0.31622776601683794
100,30,100,1444,1,0.05956272419999999,0.00017433250960259826,simples_n100_p30%_v1.col,100.0,0.0
100,30,100,1480,2,0.0655163906,0.0012127817524015443,simples_n100_p30%_v2.col,100.0,0.0
100,40,100,1963,1,0.0954368414,8.192803830472202e-5,simples_n100_p40%_v1.col,100.0,0.0
100,40,100,1948,2,0.09452324100000001,0.0008040397212133233,simples_n100_p40%_v2.col,100.0,0.0
1000,1,1000,4972,1,0.5537149452,0.0030029114942938364,simples_n1000_p01%_v1.col,200.0,2.7386127875258306
1000,1,1000,4997,2,0.5614707494,0.004307963148865997,simples_n1000_p01%_v2.col,198.8,4.5431266766402185
1000,3,1000,15032,1,1.0780124837999998,0.08480168372969003,simples_n1000_p03%_v1.col,351.4,0.5999999999999999
1000,3,1000,14860,2,1.0508600992,0.07478842066116241,simples_n1000_p03%_v2.col,348.4,0.5099019513592785
1000,5,1000,25093,1,1.797681662,0.0026030113882966805,simples_n1000_p05%_v1.col,538.4,1.208304597359457
1000,5,1000,25053,2,1.8950266196,0.08220480883749956,simples_n1000_p05%_v2.col,538.8,0.6633249580710799
1000,10,1000,50462,1,6.2000602564000005,0.034595639773258066,simples_n1000_p10%_v1.col,986.0,0.0
1000,10,1000,50213,2,6.3253322370000005,0.08636873443556713,simples_n1000_p10%_v2.col,980.0,0.0
1000,20,1000,100166,1,20.4286336502,0.08010833283327713,simples_n1000_p20%_v1.col,1000.0,0.0
1000,20,1000,99937,2,20.346587708599998,0.08831203645464648,simples_n1000_p20%_v2.col,1000.0,0.0
1000,30,1000,149824,1,43.3095338922,0.10333645538170055,simples_n1000_p30%_v1.col,1000.0,0.0
1000,30,1000,149947,2,43.38063623359999,0.08008674943707904,simples_n1000_p30%_v2.col,1000.0,0.0
1000,40,1000,199724,1,76.7601305608,0.03922637129767505,simples_n1000_p40%_v1.col,1000.0,0.0
1000,40,1000,199519,2,76.4317252966,0.060276380723146,simples_n1000_p40%_v2.col,1000.0,0.0
1500,1,1500,11366,1,1.3088891508,0.0681525025986205,simples_n1500_p01%_v1.col,265.8,0.8602325267042626
1500,1,1500,11342,2,1.3275051124000001,0.07519364035667413,simples_n1500_p01%_v2.col,263.4,0.6782329983125268
1500,3,1500,33773,1,2.6449516358,0.004442444385653914,simples_n1500_p03%_v1.col,600.4,0.9273618495495702
1500,3,1500,33497,2,2.698956797,0.06840056621867815,simples_n1500_p03%_v2.col,596.0,0.7745966692414833
1500,5,1500,56316,1,5.961121045600001,0.08755217257589845,simples_n1500_p05%_v1.col,939.0,1.0954451150103321
1500,5,1500,56011,2,5.8881270958,0.06959195450225392,simples_n1500_p05%_v2.col,936.2,0.8602325267042625
1500,10,1500,112217,1,18.4051345592,0.08762020802182038,simples_n1500_p10%_v1.col,1500.0,0.0
1500,10,1500,112691,2,18.4774646112,0.07278133676798938,simples_n1500_p10%_v2.col,1500.0,0.0
1500,20,1500,224745,1,67.6147351252,0.029438347832115713,simples_n1500_p20%_v1.col,1500.0,0.0
1500,20,1500,225120,2,67.8335098822,0.023604547279342247,simples_n1500_p20%_v2.col,1500.0,0.0
1500,30,1500,337438,1,145.02229424599997,0.053713803678309316,simples_n1500_p30%_v1.col,1500.0,0.0
1500,30,1500,337407,2,144.59950555900002,0.07644661544064897,simples_n1500_p30%_v2.col,1500.0,0.0
1500,40,1500,449641,1,257.71574873540004,0.36160977060892224,simples_n1500_p40%_v1.col,1500.0,0.0
1500,40,1500,449668,2,257.7092506156,0.13245239226046568,simples_n1500_p40%_v2.col,1500.0,0.0
2000,1,2000,20148,1,2.1494839394,0.07214520909320604,simples_n2000_p01%_v1.col,363.4,0.6782329983125267
2000,1,2000,19958,2,2.1431755578000002,0.0663282222679939,simples_n2000_p01%_v2.col,361.8,0.58309518948453
2000,3,2000,59842,1,6.0464319994,0.06821900395695386,simples_n2000_p03%_v1.col,879.2,1.2409673645990857
2000,3,2000,60488,2,6.063951859200001,0.017807447844113113,simples_n2000_p03%_v2.col,889.0,0.5477225575051661
2000,5,2000,100255,1,12.4246162908,0.08964556323098653,simples_n2000_p05%_v1.col,1429.2,0.7999999999999999
2000,5,2000,100340,2,12.4738747836,0.07689282179821394,simples_n2000_p05%_v2.col,1430.2,1.5297058540778354
2000,10,2000,200162,1,43.6763803982,0.08739688253456601,simples_n2000_p10%_v1.col,2000.0,0.0
2000,10,2000,199606,2,43.4274600552,0.06475057687366463,simples_n2000_p10%_v2.col,2000.0,0.0
2000,20,2000,399450,1,161.18977539500003,0.12822137073306358,simples_n2000_p20%_v1.col,2000.0,0.0
2000,20,2000,398863,2,161.1382507662,0.3800966315909118,simples_n2000_p20%_v2.col,2000.0,0.0
2000,30,2000,600020,1,352.61760782059997,0.27545094575190976,simples_n2000_p30%_v1.col,2000.0,0.0
2000,30,2000,599634,2,351.50287755600004,0.28651847545715436,simples_n2000_p30%_v2.col,2000.0,0.0
