instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,20.6,0.24494897427831777,1.0043606404,0.816740007729028
simples_n100_p01%_v2.col,100,1,2,100,48,18.2,0.3741657386773941,0.073849927,0.004977563419178605
simples_n100_p01%_v3.col,100,1,3,100,43,20.2,0.19999999999999998,0.1483890766,0.07477674467086105
simples_n100_p01%_v4.col,100,1,4,100,51,20.0,0.31622776601683794,0.0827474004,0.0022721430642080086
simples_n100_p01%_v5.col,100,1,5,100,56,21.6,0.5099019513592784,0.0961886488,0.0031798503587356017
simples_n100_p03%_v1.col,100,3,1,100,155,22.2,0.48989794855663554,0.24193013280000003,0.0697544315990454
simples_n100_p03%_v2.col,100,3,2,100,154,23.8,0.3741657386773941,0.150894782,0.019395197515918967
simples_n100_p03%_v3.col,100,3,3,100,151,23.4,0.6,0.2204601106,0.08190335493457436
simples_n100_p03%_v4.col,100,3,4,100,149,22.4,0.6,0.1435005602,0.011554875149234046
simples_n100_p03%_v5.col,100,3,5,100,161,24.2,0.6633249580710799,0.15840855059999998,0.010509335394161672
simples_n100_p05%_v1.col,100,5,1,100,213,26.6,0.39999999999999997,0.22668297939999998,0.027090686591902564
simples_n100_p05%_v2.col,100,5,2,100,253,30.2,0.19999999999999998,0.27204426119999997,0.06877216927493056
simples_n100_p05%_v3.col,100,5,3,100,268,31.0,0.31622776601683794,0.199074089,0.02006486438138259
simples_n100_p05%_v4.col,100,5,4,100,219,27.2,0.48989794855663554,0.29695742519999996,0.09279954483747102
simples_n100_p05%_v5.col,100,5,5,100,271,31.2,0.19999999999999998,0.1814265706,0.009455154037499422
simples_n100_p10%_v1.col,100,10,1,100,499,46.8,0.3741657386773941,0.32121770559999996,0.02042741461262784
simples_n100_p10%_v2.col,100,10,2,100,493,46.8,0.3741657386773941,0.3732439844,0.06708417429583335
simples_n100_p10%_v3.col,100,10,3,100,548,50.4,0.24494897427831777,0.3578072244,0.009514073580938937
simples_n100_p10%_v4.col,100,10,4,100,520,48.4,0.24494897427831777,0.4108721424,0.09328073513605425
simples_n100_p10%_v5.col,100,10,5,100,513,47.8,0.19999999999999998,0.351382024,0.0381885779375647
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,175.2,6.374950980203691,13.2479557618,1.331643675125096
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,171.2,3.2771939216347876,15.0413555802,1.068948646746563
simples_n1000_p01%_v3.col,1000,1,3,1000,5119,179.0,3.9623225512317894,12.9288521404,1.7030240650279171
simples_n1000_p01%_v4.col,1000,1,4,1000,4875,179.0,4.123105625617661,13.8171401096,1.0589655360978478
simples_n1000_p01%_v5.col,1000,1,5,1000,4914,185.2,6.763135367564366,12.8125187718,1.8476672570758348
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,348.2,0.7348469228349535,23.280066190000003,2.9625801949509936
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,346.8,0.3741657386773941,17.985852701000002,0.9211314275904694
simples_n1000_p03%_v3.col,1000,3,3,1000,14977,348.2,0.7999999999999999,27.707877848200003,4.264352052099169
simples_n1000_p03%_v4.col,1000,3,4,1000,15042,349.8,0.58309518948453,22.6094841108,2.546926000153811
simples_n1000_p03%_v5.col,1000,3,5,1000,14848,346.4,0.6782329983125268,20.702982028199997,2.7356644579417124
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,537.2,0.3741657386773941,36.594453567,2.9607772600561266
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,536.4,0.9273618495495705,36.667761074000005,2.8703690112019875
simples_n1000_p05%_v3.col,1000,5,3,1000,25160,537.2,1.0677078252031311,38.8322322064,2.8424063083269093
simples_n1000_p05%_v4.col,1000,5,4,1000,24797,531.2,0.6633249580710799,32.3371119366,1.2718124214869717
simples_n1000_p05%_v5.col,1000,5,5,1000,24991,536.2,0.7999999999999999,36.342729938400005,2.7422736582421208
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,93.614551498,0.15344663567484243
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,93.14284543020001,0.28776816401385924
simples_n1000_p10%_v3.col,1000,10,3,1000,49945,984.0,0.0,91.7687608706,0.2161799007482415
simples_n1000_p10%_v4.col,1000,10,4,1000,50219,983.0,0.0,93.2958164124,0.23995617324705576
simples_n1000_p10%_v5.col,1000,10,5,1000,49888,987.0,0.0,90.97431010839999,0.7069748710589379
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,259.8,1.1575836902790224,25.0714870432,1.5823326661574044
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,254.4,2.2494443758403984,33.9012770006,3.7504139098018663
simples_n1500_p01%_v3.col,1500,1,3,1500,11148,255.0,2.449489742783178,28.8766799294,4.250679924792741
simples_n1500_p01%_v4.col,1500,1,4,1500,11074,251.2,2.154065922853801,29.1588392574,4.378016015142536
simples_n1500_p01%_v5.col,1500,1,5,1500,11227,254.0,2.449489742783178,28.014298644399997,3.281800804665906
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,597.0,1.1832159566199232,52.1307391422,3.9267527754261042
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,593.4,0.6782329983125267,52.373914185800004,7.10401154549859
simples_n1500_p03%_v3.col,1500,3,3,1500,33732,597.2,0.8602325267042625,50.4620263252,3.025432145186954
simples_n1500_p03%_v4.col,1500,3,4,1500,33940,600.2,0.58309518948453,59.447039950800004,8.154793287044928
simples_n1500_p03%_v5.col,1500,3,5,1500,33924,600.6,1.0770329614269007,56.0711181442,5.146205849536204
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,936.6,0.6782329983125267,113.19779924260001,15.6819333616308
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,932.2,1.1575836902790224,138.14056271180002,33.44724543341056
